h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.433,2.409,0.433,2.409,"{'att': 406, 'def': 28}","{'att': 268, 'def': 19}",3,7,1,1,0.203,d,2014-08-24 16:30:00,0,1,0,1,-1.976
h,0.723,1.298,0.723,1.298,"{'att': 170, 'def': 27}","{'att': 468, 'def': 18}",9,4,0,2,0.818,l,2014-08-30 14:30:00,0,0,1,0,-0.575
a,0.31,1.23,0.31,1.23,"{'att': 441, 'def': 26}","{'att': 167, 'def': 33}",3,13,0,2,0.55,l,2014-09-13 14:30:00,0,0,1,0,-0.92
h,1.33,1.15,1.33,1.15,"{'att': 124, 'def': 34}","{'att': 322, 'def': 31}",9,5,0,2,1.457,l,2014-09-20 14:30:00,0,0,1,0,0.18
a,1.48,2.137,1.48,2.137,"{'att': 378, 'def': 17}","{'att': 195, 'def': 22}",5,14,2,2,0.94,d,2014-09-24 19:00:00,0,1,0,1,-0.656
h,0.826,0.853,0.826,0.853,"{'att': 272, 'def': 33}","{'att': 333, 'def': 21}",5,5,1,0,1.261,w,2014-09-27 14:30:00,1,0,0,3,-0.027
a,1.429,2.366,1.429,1.608,"{'att': 178, 'def': 30}","{'att': 291, 'def': 22}",8,5,2,3,0.699,l,2014-10-03 19:30:00,0,0,1,0,-0.179
h,1.305,1.868,1.305,1.868,"{'att': 169, 'def': 31}","{'att': 184, 'def': 22}",3,4,3,3,0.95,d,2014-10-18 14:30:00,0,1,0,1,-0.564
a,3.134,2.98,3.134,2.98,"{'att': 213, 'def': 30}","{'att': 188, 'def': 27}",5,9,5,4,1.504,w,2014-10-25 14:30:00,1,0,0,3,0.155
h,0.925,2.699,0.925,2.699,"{'att': 239, 'def': 32}","{'att': 319, 'def': 16}",4,8,0,4,0.308,l,2014-11-01 14:30:00,0,0,1,0,-1.775
a,0.774,0.645,0.774,0.645,"{'att': 176, 'def': 32}","{'att': 368, 'def': 27}",3,6,0,2,1.474,l,2014-11-08 17:30:00,0,0,1,0,0.129
h,0.383,2.062,0.383,1.304,"{'att': 320, 'def': 32}","{'att': 163, 'def': 30}",1,5,0,1,0.222,l,2014-11-23 16:30:00,0,0,1,0,-0.922
a,3.364,1.495,3.364,1.495,"{'att': 324, 'def': 26}","{'att': 223, 'def': 21}",3,11,4,1,2.513,w,2014-11-28 19:30:00,1,0,0,3,1.869
h,0.675,1.695,0.675,1.695,"{'att': 310, 'def': 32}","{'att': 288, 'def': 21}",7,5,0,4,0.57,l,2014-12-06 14:30:00,0,0,1,0,-1.02
a,0.545,1.352,0.545,1.352,"{'att': 297, 'def': 33}","{'att': 161, 'def': 38}",1,4,1,1,0.692,d,2014-12-13 17:30:00,0,1,0,1,-0.807
