h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.079,1.82,1.079,1.062,"{'att': 456, 'def': 35}","{'att': 108, 'def': 20}",5,3,1,2,0.783,l,2016-08-27 17:30:00,0,0,1,0,0.017
h,0.788,2.267,0.788,2.267,"{'att': 348, 'def': 25}","{'att': 104, 'def': 22}",5,8,4,4,0.433,d,2016-09-11 19:30:00,0,1,0,1,-1.479
a,1.544,0.829,1.544,0.829,"{'att': 224, 'def': 24}","{'att': 181, 'def': 34}",3,2,3,1,2.004,w,2016-09-18 17:30:00,1,0,0,3,0.715
a,1.386,0.916,1.386,0.916,"{'att': 156, 'def': 29}","{'att': 287, 'def': 28}",6,3,2,1,1.761,w,2016-09-21 22:00:00,1,0,0,3,0.47
h,1.739,1.736,1.739,1.736,"{'att': 214, 'def': 23}","{'att': 108, 'def': 25}",2,19,2,3,1.406,l,2016-09-24 17:30:00,0,0,1,0,0.003
a,0.256,1.323,0.256,1.323,"{'att': 331, 'def': 29}","{'att': 197, 'def': 25}",7,8,0,0,0.428,d,2016-10-02 17:30:00,0,1,0,1,-1.067
h,2.865,1.931,2.107,0.416,"{'att': 136, 'def': 17}","{'att': 159, 'def': 33}",7,4,2,1,2.058,w,2016-10-16 17:30:00,1,0,0,3,1.692
a,0.987,1.212,0.987,1.212,"{'att': 242, 'def': 26}","{'att': 223, 'def': 32}",4,9,0,3,1.144,l,2016-10-23 19:30:00,0,0,1,0,-0.225
h,2.211,0.217,1.453,0.217,"{'att': 152, 'def': 31}","{'att': 206, 'def': 22}",5,0,2,0,2.798,w,2016-10-29 17:30:00,1,0,0,3,1.236
a,0.511,2.98,0.511,2.98,"{'att': 216, 'def': 35}","{'att': 246, 'def': 37}",3,9,1,3,0.146,l,2016-11-06 18:30:00,0,0,1,0,-2.469
h,2.511,2.462,1.753,2.462,"{'att': 297, 'def': 35}","{'att': 131, 'def': 21}",4,11,4,2,1.458,w,2016-11-19 18:30:00,1,0,0,3,-0.709
a,1.522,1.635,1.522,1.635,"{'att': 343, 'def': 31}","{'att': 140, 'def': 18}",4,5,1,2,1.284,l,2016-11-27 20:30:00,0,0,1,0,-0.112
h,0.475,1.676,0.475,1.676,"{'att': 451, 'def': 27}","{'att': 122, 'def': 23}",3,12,1,3,0.461,l,2016-12-02 23:30:00,0,0,1,0,-1.2
a,0.531,0.356,0.531,0.356,"{'att': 320, 'def': 35}","{'att': 201, 'def': 28}",7,2,0,1,1.435,l,2016-12-11 18:30:00,0,0,1,0,0.175
h,1.365,0.901,1.365,0.901,"{'att': 118, 'def': 30}","{'att': 203, 'def': 24}",3,2,3,1,1.716,w,2016-12-17 18:30:00,1,0,0,3,0.465
a,1.05,1.763,1.05,1.763,"{'att': 267, 'def': 24}","{'att': 194, 'def': 34}",2,5,0,3,0.695,l,2016-12-20 23:00:00,0,0,1,0,-0.713
h,0.49,0.408,0.49,0.408,"{'att': 301, 'def': 38}","{'att': 219, 'def': 26}",5,6,0,0,1.354,d,2017-01-22 19:30:00,0,1,0,1,0.082
h,0.682,1.169,0.682,1.169,"{'att': 310, 'def': 24}","{'att': 144, 'def': 25}",2,3,1,1,0.926,d,2017-01-29 19:30:00,0,1,0,1,-0.487
a,0.895,2.433,0.895,2.433,"{'att': 347, 'def': 37}","{'att': 213, 'def': 30}",3,4,0,4,0.403,l,2017-02-04 14:30:00,0,0,1,0,-1.538
h,1.636,0.427,0.878,0.427,"{'att': 262, 'def': 40}","{'att': 177, 'def': 33}",6,3,2,0,2.462,w,2017-02-10 19:30:00,1,0,0,3,0.45
h,0.856,0.56,0.856,0.56,"{'att': 135, 'def': 32}","{'att': 290, 'def': 18}",3,1,0,2,1.609,l,2017-02-18 14:30:00,0,0,1,0,0.295
a,1.37,1.009,1.37,1.009,"{'att': 170, 'def': 23}","{'att': 74, 'def': 39}",2,7,2,0,1.662,w,2017-02-25 14:30:00,1,0,0,3,0.36
h,0.943,0.753,0.943,0.753,"{'att': 336, 'def': 30}","{'att': 141, 'def': 10}",6,1,1,1,1.499,d,2017-03-04 14:30:00,0,1,0,1,0.19
a,1.299,1.662,1.299,0.904,"{'att': 135, 'def': 28}","{'att': 208, 'def': 24}",6,6,1,2,1.054,l,2017-03-11 14:30:00,0,0,1,0,0.394
h,0.645,1.046,0.645,1.046,"{'att': 206, 'def': 22}","{'att': 217, 'def': 44}",9,2,0,1,0.941,l,2017-03-19 14:30:00,0,0,1,0,-0.401
a,0.767,1.509,0.767,1.509,"{'att': 98, 'def': 26}","{'att': 188, 'def': 28}",5,7,1,2,0.739,l,2017-04-02 14:30:00,0,0,1,0,-0.742
h,2.901,1.626,2.143,1.626,"{'att': 210, 'def': 28}","{'att': 143, 'def': 27}",6,9,2,3,2.225,l,2017-04-05 19:00:00,0,0,1,0,0.518
a,0.851,0.937,0.851,0.937,"{'att': 158, 'def': 27}","{'att': 262, 'def': 30}",7,3,0,1,1.197,l,2017-04-08 14:30:00,0,0,1,0,-0.086
h,1.026,0.261,1.026,0.261,"{'att': 229, 'def': 33}","{'att': 198, 'def': 19}",10,4,1,0,2.028,w,2017-04-15 14:30:00,1,0,0,3,0.765
a,1.752,0.917,0.994,0.917,"{'att': 413, 'def': 13}","{'att': 121, 'def': 25}",5,14,2,2,2.092,d,2017-04-22 14:30:00,0,1,0,1,0.077
h,2.14,1.228,2.14,1.228,"{'att': 216, 'def': 30}","{'att': 236, 'def': 17}",5,3,1,2,2.137,l,2017-04-29 14:30:00,0,0,1,0,0.912
a,1.375,0.328,1.375,0.328,"{'att': 97, 'def': 23}","{'att': 140, 'def': 38}",5,6,0,0,2.385,d,2017-05-07 14:30:00,0,1,0,1,1.048
h,1.775,1.644,1.017,1.644,"{'att': 160, 'def': 30}","{'att': 242, 'def': 21}",6,2,4,2,1.418,w,2017-05-13 14:30:00,1,0,0,3,-0.627
a,0.142,1.292,0.142,1.292,"{'att': 177, 'def': 23}","{'att': 238, 'def': 29}",3,6,0,2,0.337,l,2017-05-20 14:30:00,0,0,1,0,-1.15
