h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.574,0.552,0.574,0.552,"{'att': 110, 'def': 24}","{'att': 267, 'def': 25}",11,4,0,1,1.326,l,2017-08-19 14:30:00,0,0,1,0,0.022
h,2.457,1.323,2.457,1.323,"{'att': 267, 'def': 35}","{'att': 219, 'def': 15}",12,6,2,2,2.108,d,2017-08-26 14:30:00,0,1,0,1,1.133
h,2.277,0.458,1.519,0.458,"{'att': 296, 'def': 25}","{'att': 110, 'def': 20}",1,8,3,0,2.692,w,2017-09-09 14:30:00,1,0,0,3,1.06
a,0.728,1.325,0.728,1.325,"{'att': 302, 'def': 21}","{'att': 122, 'def': 25}",5,14,2,1,0.873,w,2017-09-16 14:30:00,1,0,0,3,-0.597
h,1.3,1.004,1.3,1.004,"{'att': 348, 'def': 21}","{'att': 134, 'def': 26}",3,9,1,0,1.629,w,2017-09-19 19:30:00,1,0,0,3,0.296
a,0.374,0.437,0.374,0.437,"{'att': 366, 'def': 20}","{'att': 151, 'def': 20}",2,8,0,0,1.186,d,2017-09-23 14:30:00,0,1,0,1,-0.064
h,1.04,1.938,1.04,1.181,"{'att': 267, 'def': 27}","{'att': 124, 'def': 35}",4,7,1,2,0.688,l,2017-09-30 14:30:00,0,0,1,0,-0.14
a,0.919,1.921,0.919,1.921,"{'att': 294, 'def': 23}","{'att': 221, 'def': 14}",4,10,2,2,0.676,d,2017-10-14 14:30:00,0,1,0,1,-1.002
h,0.864,0.805,0.864,0.805,"{'att': 174, 'def': 27}","{'att': 157, 'def': 26}",4,4,1,2,1.367,l,2017-10-21 14:30:00,0,0,1,0,0.059
a,2.806,1.055,2.048,1.055,"{'att': 286, 'def': 23}","{'att': 201, 'def': 23}",5,3,3,0,2.51,w,2017-10-29 14:30:00,1,0,0,3,0.993
h,1.408,1.167,1.408,1.167,"{'att': 268, 'def': 26}","{'att': 166, 'def': 18}",4,8,1,1,1.544,d,2017-11-04 14:30:00,0,1,0,1,0.241
a,0.282,1.915,0.282,1.915,"{'att': 404, 'def': 19}","{'att': 133, 'def': 26}",1,10,0,3,0.249,l,2017-11-18 14:30:00,0,0,1,0,-1.633
h,2.099,0.211,2.099,0.211,"{'att': 176, 'def': 26}","{'att': 242, 'def': 9}",16,2,2,1,2.749,w,2017-11-25 14:30:00,1,0,0,3,1.888
a,2.189,0.578,1.431,0.578,"{'att': 217, 'def': 40}","{'att': 147, 'def': 40}",4,5,3,1,2.635,w,2017-12-02 14:30:00,1,0,0,3,0.853
h,1.632,0.647,1.632,0.647,"{'att': 178, 'def': 34}","{'att': 253, 'def': 18}",5,2,1,1,2.165,d,2017-12-10 17:00:00,0,1,0,1,0.985
a,1.415,2.608,0.657,1.85,"{'att': 277, 'def': 30}","{'att': 233, 'def': 23}",3,1,2,3,0.459,l,2017-12-13 19:30:00,0,0,1,0,-1.193
