h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.328,0.755,1.328,0.755,"{'att': 255, 'def': 27}","{'att': 276, 'def': 25}",5,4,1,2,1.874,l,2018-08-25 16:30:00,0,0,1,0,0.573
a,1.437,2.25,1.437,2.25,"{'att': 258, 'def': 30}","{'att': 117, 'def': 21}",5,10,1,1,0.844,d,2018-09-02 13:30:00,0,1,0,1,-0.813
h,1.784,2.2,1.026,2.2,"{'att': 287, 'def': 16}","{'att': 114, 'def': 23}",0,15,2,1,1.076,w,2018-09-15 13:30:00,1,0,0,3,-1.174
a,1.24,1.394,1.24,1.394,"{'att': 262, 'def': 28}","{'att': 229, 'def': 27}",6,10,0,0,1.212,d,2018-09-21 18:30:00,0,1,0,1,-0.154
h,1.752,1.481,0.995,1.481,"{'att': 311, 'def': 24}","{'att': 216, 'def': 23}",8,5,1,2,1.559,l,2018-09-26 16:30:00,0,0,1,0,-0.486
a,1.172,2.422,1.172,1.664,"{'att': 195, 'def': 15}","{'att': 341, 'def': 13}",11,3,0,3,0.486,l,2018-09-29 13:30:00,0,0,1,0,-0.493
h,0.558,1.758,0.558,1.758,"{'att': 219, 'def': 21}","{'att': 193, 'def': 26}",5,4,0,2,0.412,l,2018-10-06 13:30:00,0,0,1,0,-1.2
a,0.666,3.513,0.666,2.755,"{'att': 336, 'def': 23}","{'att': 266, 'def': 18}",3,8,1,7,0.105,l,2018-10-19 18:30:00,0,0,1,0,-2.089
h,0.245,1.75,0.245,0.992,"{'att': 289, 'def': 19}","{'att': 166, 'def': 24}",3,6,0,3,0.234,l,2018-10-27 13:30:00,0,0,1,0,-0.747
a,0.72,3.162,0.72,2.404,"{'att': 346, 'def': 13}","{'att': 255, 'def': 28}",1,9,0,3,0.158,l,2018-11-04 14:30:00,0,0,1,0,-1.685
h,2.898,0.96,2.898,0.96,"{'att': 317, 'def': 24}","{'att': 263, 'def': 20}",8,3,4,1,2.593,w,2018-11-10 14:30:00,1,0,0,3,1.938
a,1.368,2.811,1.368,2.811,"{'att': 562, 'def': 9}","{'att': 122, 'def': 18}",0,13,3,3,0.507,d,2018-11-24 14:30:00,0,1,0,1,-1.444
h,1.109,1.026,1.109,1.026,"{'att': 279, 'def': 17}","{'att': 295, 'def': 13}",6,8,0,1,1.414,l,2018-11-30 19:30:00,0,0,1,0,0.084
a,1.378,2.837,0.62,2.837,"{'att': 411, 'def': 21}","{'att': 142, 'def': 27}",4,5,1,3,0.396,l,2018-12-07 19:30:00,0,0,1,0,-2.217
h,2.598,0.799,2.598,0.799,"{'att': 418, 'def': 25}","{'att': 177, 'def': 21}",14,6,2,0,2.547,w,2018-12-15 14:30:00,1,0,0,3,1.799
h,1.373,1.295,1.373,1.295,"{'att': 424, 'def': 18}","{'att': 156, 'def': 20}",1,12,2,1,1.401,w,2018-12-18 19:30:00,1,0,0,3,0.078
a,1.132,0.67,1.132,0.67,"{'att': 276, 'def': 27}","{'att': 164, 'def': 26}",5,5,1,0,1.756,w,2018-12-22 14:30:00,1,0,0,3,0.461
a,1.041,0.87,1.041,0.87,"{'att': 286, 'def': 17}","{'att': 294, 'def': 23}",3,3,2,1,1.459,w,2019-01-19 14:30:00,1,0,0,3,0.171
h,0.291,2.027,0.291,2.027,"{'att': 258, 'def': 22}","{'att': 322, 'def': 30}",2,3,0,4,0.205,l,2019-01-27 17:00:00,0,0,1,0,-1.737
a,1.179,1.636,1.179,0.879,"{'att': 355, 'def': 22}","{'att': 149, 'def': 30}",1,3,1,1,0.982,d,2019-02-02 14:30:00,0,1,0,1,0.301
h,1.647,1.18,1.647,1.18,"{'att': 299, 'def': 25}","{'att': 213, 'def': 25}",7,5,3,0,1.719,w,2019-02-10 17:00:00,1,0,0,3,0.467
a,0.209,1.904,0.209,1.904,"{'att': 752, 'def': 21}","{'att': 108, 'def': 13}",0,6,0,2,0.189,l,2019-02-17 17:00:00,0,0,1,0,-1.694
h,1.552,0.113,1.552,0.113,"{'att': 118, 'def': 22}","{'att': 300, 'def': 11}",11,0,2,1,2.582,w,2019-02-23 17:30:00,1,0,0,3,1.439
a,2.895,0.708,2.137,0.708,"{'att': 229, 'def': 26}","{'att': 192, 'def': 33}",4,6,4,0,2.741,w,2019-03-02 14:30:00,1,0,0,3,1.429
h,0.837,2.763,0.837,2.763,"{'att': 265, 'def': 16}","{'att': 259, 'def': 29}",3,2,0,3,0.178,l,2019-03-11 19:30:00,0,0,1,0,-1.925
a,1.939,3.876,1.939,3.876,"{'att': 354, 'def': 24}","{'att': 224, 'def': 34}",2,4,2,5,0.357,l,2019-03-16 14:30:00,0,0,1,0,-1.937
h,1.67,1.342,1.67,1.342,"{'att': 408, 'def': 18}","{'att': 158, 'def': 23}",4,9,3,1,1.651,w,2019-03-30 14:30:00,1,0,0,3,0.328
a,2.728,1.9,2.728,1.9,"{'att': 361, 'def': 22}","{'att': 209, 'def': 31}",4,7,2,1,1.96,w,2019-04-06 14:30:00,1,0,0,3,0.827
h,0.972,3.349,0.215,3.349,"{'att': 467, 'def': 14}","{'att': 229, 'def': 26}",1,12,1,4,0.126,l,2019-04-14 14:30:00,0,0,1,0,-3.134
a,2.527,3.243,1.769,3.243,"{'att': 258, 'def': 18}","{'att': 186, 'def': 23}",4,7,1,3,0.904,l,2019-04-20 14:30:00,0,0,1,0,-1.474
