h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,3.259,0.904,3.259,0.904,"{'att': 136, 'def': 23}","{'att': 408, 'def': 18}",14,3,5,1,2.739,w,2019-08-17 14:30:00,1,0,0,3,2.355
a,2.082,0.937,2.082,0.937,"{'att': 105, 'def': 23}","{'att': 399, 'def': 24}",6,2,3,1,2.275,w,2019-08-23 19:30:00,1,0,0,3,1.144
a,1.602,1.421,1.602,1.421,"{'att': 107, 'def': 13}","{'att': 451, 'def': 19}",12,2,1,3,1.518,l,2019-08-31 17:30:00,0,0,1,0,0.181
h,3.231,1.148,3.231,1.148,"{'att': 465, 'def': 28}","{'att': 173, 'def': 25}",9,3,4,0,2.676,w,2019-09-14 13:30:00,1,0,0,3,2.083
a,2.366,1.159,2.366,1.159,"{'att': 166, 'def': 21}","{'att': 402, 'def': 40}",6,1,2,2,2.241,d,2019-09-22 16:00:00,0,1,0,1,1.207
h,1.763,0.982,1.763,0.982,"{'att': 245, 'def': 21}","{'att': 381, 'def': 17}",8,3,2,2,1.984,d,2019-09-28 16:30:00,0,1,0,1,0.78
a,0.774,0.468,0.774,0.468,"{'att': 222, 'def': 18}","{'att': 462, 'def': 23}",4,2,2,2,1.63,d,2019-10-05 14:30:00,0,1,0,1,0.306
h,1.63,3.217,1.63,3.217,"{'att': 205, 'def': 22}","{'att': 265, 'def': 21}",6,11,1,0,0.425,w,2019-10-19 17:30:00,1,0,0,3,-1.587
a,0.347,1.085,0.347,1.085,"{'att': 200, 'def': 25}","{'att': 286, 'def': 26}",4,3,0,0,0.615,d,2019-10-26 14:30:00,0,1,0,1,-0.739
h,2.148,1.314,1.391,1.314,"{'att': 180, 'def': 18}","{'att': 346, 'def': 32}",11,9,3,0,2.006,w,2019-11-02 14:30:00,1,0,0,3,0.076
a,0.609,3.91,0.609,3.91,"{'att': 402, 'def': 22}","{'att': 270, 'def': 27}",1,8,0,4,0.039,l,2019-11-09 17:30:00,0,0,1,0,-3.301
h,1.908,2.107,1.908,2.107,"{'att': 222, 'def': 37}","{'att': 446, 'def': 14}",14,3,3,3,1.202,d,2019-11-22 19:30:00,0,1,0,1,-0.2
a,1.483,0.751,1.483,0.751,"{'att': 319, 'def': 20}","{'att': 296, 'def': 33}",9,7,2,1,2.017,w,2019-11-30 14:30:00,1,0,0,3,0.732
h,3.95,0.102,3.95,0.102,"{'att': 211, 'def': 26}","{'att': 513, 'def': 15}",24,4,5,0,2.983,w,2019-12-07 14:30:00,1,0,0,3,3.848
a,1.472,0.233,1.472,0.233,"{'att': 200, 'def': 23}","{'att': 368, 'def': 24}",12,4,4,0,2.396,w,2019-12-14 14:30:00,1,0,0,3,1.238
h,1.897,2.907,1.897,2.907,"{'att': 283, 'def': 26}","{'att': 408, 'def': 27}",10,5,3,3,0.704,d,2019-12-17 19:30:00,0,1,0,1,-1.011
a,2.045,1.336,2.045,1.336,"{'att': 362, 'def': 19}","{'att': 306, 'def': 25}",18,3,1,2,1.925,l,2019-12-20 19:30:00,0,0,1,0,0.709
a,3.751,1.81,3.751,1.81,"{'att': 182, 'def': 20}","{'att': 542, 'def': 22}",11,6,5,3,2.601,w,2020-01-18 14:30:00,1,0,0,3,1.941
