h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,3.934,0.783,3.934,0.783,"{'att': 181, 'def': 22}","{'att': 410, 'def': 26}",12,2,4,0,2.887,w,2019-08-18 17:00:00,1,0,0,3,3.151
h,1.776,0.935,1.776,0.935,"{'att': 305, 'def': 22}","{'att': 251, 'def': 27}",2,4,2,1,2.072,w,2019-08-25 14:30:00,1,0,0,3,0.841
a,3.131,1.459,3.131,1.459,"{'att': 294, 'def': 36}","{'att': 290, 'def': 35}",7,4,3,1,2.472,w,2019-08-30 19:30:00,1,0,0,3,1.673
h,1.654,1.67,0.896,1.67,"{'att': 481, 'def': 28}","{'att': 192, 'def': 21}",7,10,1,1,1.363,d,2019-09-14 16:30:00,0,1,0,1,-0.774
a,1.726,0.583,1.726,0.583,"{'att': 274, 'def': 28}","{'att': 293, 'def': 21}",8,9,3,0,2.283,w,2019-09-21 16:30:00,1,0,0,3,1.142
h,1.278,2.647,1.278,1.889,"{'att': 159, 'def': 25}","{'att': 317, 'def': 33}",13,10,1,3,0.476,l,2019-09-28 13:30:00,0,0,1,0,-0.611
a,2.458,1.662,2.458,1.662,"{'att': 507, 'def': 30}","{'att': 211, 'def': 27}",3,9,1,1,1.966,d,2019-10-05 14:30:00,0,1,0,1,0.796
h,1.358,1.694,1.358,1.694,"{'att': 205, 'def': 29}","{'att': 263, 'def': 26}",6,6,1,1,1.078,d,2019-10-19 14:30:00,0,1,0,1,-0.337
a,2.559,1.776,2.559,1.776,"{'att': 242, 'def': 21}","{'att': 311, 'def': 24}",8,3,1,2,1.95,l,2019-10-26 14:30:00,0,0,1,0,0.783
h,3.958,0.855,3.958,0.855,"{'att': 212, 'def': 26}","{'att': 449, 'def': 19}",11,4,8,0,2.88,w,2019-11-02 14:30:00,1,0,0,3,3.103
a,1.939,0.464,1.182,0.464,"{'att': 205, 'def': 29}","{'att': 371, 'def': 23}",9,2,4,2,2.634,w,2019-11-09 14:30:00,1,0,0,3,0.717
h,2.572,0.887,1.814,0.887,"{'att': 177, 'def': 18}","{'att': 421, 'def': 14}",22,3,4,1,2.518,w,2019-11-23 17:30:00,1,0,0,3,0.928
a,1.793,1.556,1.793,1.556,"{'att': 307, 'def': 37}","{'att': 285, 'def': 31}",10,4,3,2,1.525,w,2019-11-30 14:30:00,1,0,0,3,0.237
h,3.589,1.28,2.831,1.28,"{'att': 402, 'def': 38}","{'att': 237, 'def': 24}",5,8,3,1,2.679,w,2019-12-07 14:30:00,1,0,0,3,1.551
a,3.985,0.264,3.228,0.264,"{'att': 178, 'def': 19}","{'att': 461, 'def': 7}",10,0,3,0,2.97,w,2019-12-14 17:30:00,1,0,0,3,2.964
a,2.907,1.897,2.907,1.897,"{'att': 408, 'def': 27}","{'att': 283, 'def': 26}",5,10,3,3,2.095,d,2019-12-17 19:30:00,0,1,0,1,1.011
h,3.845,0.598,3.845,0.598,"{'att': 95, 'def': 22}","{'att': 335, 'def': 30}",10,1,3,1,2.935,w,2019-12-21 14:30:00,1,0,0,3,3.247
h,1.346,1.023,1.346,1.023,"{'att': 150, 'def': 17}","{'att': 359, 'def': 26}",12,5,3,1,1.614,w,2020-01-18 17:30:00,1,0,0,3,0.323
a,1.427,1.303,1.427,1.303,"{'att': 144, 'def': 14}","{'att': 324, 'def': 28}",8,2,0,2,1.437,l,2020-01-25 14:30:00,0,0,1,0,0.125
