h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.108,1.626,2.108,1.626,"{'att': 242, 'def': 17}","{'att': 170, 'def': 33}",4,8,1,3,1.788,l,2021-08-15 15:30:00,0,0,1,0,0.482
h,1.174,0.558,0.416,0.558,"{'att': 318, 'def': 21}","{'att': 200, 'def': 28}",2,14,1,2,2.005,l,2021-08-21 13:30:00,0,0,1,0,-0.142
a,0.576,4.255,0.576,4.255,"{'att': 359, 'def': 16}","{'att': 229, 'def': 26}",2,23,0,5,0.031,l,2021-08-28 16:30:00,0,0,1,0,-3.68
a,0.605,1.027,0.605,1.027,"{'att': 241, 'def': 13}","{'att': 131, 'def': 32}",1,3,3,1,0.904,w,2021-09-12 15:30:00,1,0,0,3,-0.422
h,1.591,1.553,1.591,0.795,"{'att': 142, 'def': 23}","{'att': 248, 'def': 30}",8,2,2,1,1.342,w,2021-09-17 18:30:00,1,0,0,3,0.796
a,0.341,4.251,0.341,3.493,"{'att': 334, 'def': 22}","{'att': 199, 'def': 30}",1,11,0,6,0.016,l,2021-09-25 13:30:00,0,0,1,0,-3.152
h,0.914,0.861,0.914,0.861,"{'att': 275, 'def': 19}","{'att': 239, 'def': 29}",2,7,1,2,1.402,l,2021-10-02 13:30:00,0,0,1,0,0.053
a,2.564,1.703,2.564,0.945,"{'att': 269, 'def': 26}","{'att': 192, 'def': 38}",4,5,2,1,2.024,w,2021-10-16 13:30:00,1,0,0,3,1.619
h,1.474,0.471,1.474,0.471,"{'att': 324, 'def': 26}","{'att': 213, 'def': 29}",1,5,1,0,2.311,w,2021-10-23 16:30:00,1,0,0,3,1.003
a,0.472,0.86,0.472,0.86,"{'att': 319, 'def': 16}","{'att': 301, 'def': 38}",4,7,0,2,0.934,l,2021-10-29 18:30:00,0,0,1,0,-0.389
h,0.903,0.774,0.903,0.774,"{'att': 266, 'def': 24}","{'att': 218, 'def': 23}",8,5,1,1,1.396,d,2021-11-07 14:30:00,0,1,0,1,0.129
a,0.211,1.891,0.211,1.891,"{'att': 201, 'def': 23}","{'att': 270, 'def': 34}",1,3,0,2,0.208,l,2021-11-20 17:30:00,0,0,1,0,-1.68
h,1.927,1.613,1.927,1.613,"{'att': 215, 'def': 18}","{'att': 232, 'def': 18}",2,9,1,1,1.602,d,2021-11-27 14:30:00,0,1,0,1,0.314
a,1.258,0.922,1.258,0.922,"{'att': 339, 'def': 24}","{'att': 252, 'def': 19}",6,4,2,2,1.702,d,2021-12-05 14:30:00,0,1,0,1,0.337
