h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.756,4.56,0.756,4.56,"{'att': 414, 'def': 13}","{'att': 188, 'def': 23}",3,12,1,6,0.032,l,2022-08-05 18:30:00,0,0,1,0,-3.804
a,1.204,2.065,1.204,2.065,"{'att': 140, 'def': 25}","{'att': 296, 'def': 14}",4,6,1,1,0.748,d,2022-08-13 13:30:00,0,1,0,1,-0.861
h,0.54,0.236,0.54,0.236,"{'att': 188, 'def': 28}","{'att': 221, 'def': 25}",11,2,1,1,1.579,d,2022-08-21 13:30:00,0,1,0,1,0.304
a,1.873,1.889,1.873,1.131,"{'att': 272, 'def': 29}","{'att': 180, 'def': 22}",5,7,4,3,1.347,w,2022-08-28 15:30:00,1,0,0,3,0.742
h,3.626,0.22,2.868,0.22,"{'att': 344, 'def': 31}","{'att': 231, 'def': 25}",4,4,4,0,2.974,w,2022-09-03 16:30:00,1,0,0,3,2.648
h,0.453,0.97,0.453,0.97,"{'att': 180, 'def': 19}","{'att': 326, 'def': 17}",4,3,0,1,0.804,l,2022-09-10 13:30:00,0,0,1,0,-0.516
a,1.49,0.774,1.49,0.774,"{'att': 282, 'def': 14}","{'att': 239, 'def': 33}",4,7,3,1,1.963,w,2022-09-17 13:30:00,1,0,0,3,0.717
h,1.182,0.767,1.182,0.767,"{'att': 265, 'def': 10}","{'att': 305, 'def': 29}",6,8,2,0,1.709,w,2022-10-01 13:30:00,1,0,0,3,0.415
a,0.784,0.65,0.784,0.65,"{'att': 157, 'def': 19}","{'att': 215, 'def': 26}",9,3,0,3,1.467,l,2022-10-08 13:30:00,0,0,1,0,0.134
h,4.358,0.503,2.842,0.503,"{'att': 366, 'def': 22}","{'att': 319, 'def': 8}",5,4,5,1,2.966,w,2022-10-15 13:30:00,1,0,0,3,2.339
a,1.802,1.365,1.802,1.365,"{'att': 396, 'def': 40}","{'att': 215, 'def': 19}",5,5,3,1,1.698,w,2022-10-22 16:30:00,1,0,0,3,0.436
h,1.71,0.731,1.71,0.731,"{'att': 278, 'def': 25}","{'att': 381, 'def': 27}",12,5,1,2,2.11,l,2022-10-29 16:30:00,0,0,1,0,0.98
a,1.316,1.074,1.316,1.074,"{'att': 159, 'def': 21}","{'att': 257, 'def': 29}",8,4,2,1,1.537,w,2022-11-05 14:30:00,1,0,0,3,0.242
h,3.782,1.528,3.782,1.528,"{'att': 287, 'def': 19}","{'att': 298, 'def': 31}",11,6,4,2,2.662,w,2022-11-09 19:30:00,1,0,0,3,2.254
a,1.398,1.786,1.398,1.786,"{'att': 137, 'def': 13}","{'att': 331, 'def': 18}",8,10,1,1,0.967,d,2022-11-13 14:30:00,0,1,0,1,-0.388
h,1.681,2.378,1.681,2.378,"{'att': 298, 'def': 25}","{'att': 179, 'def': 28}",6,7,3,0,0.92,w,2023-01-21 14:30:00,1,0,0,3,-0.697
a,0.262,1.786,0.262,1.786,"{'att': 194, 'def': 23}","{'att': 333, 'def': 28}",4,17,1,1,0.241,d,2023-01-25 19:30:00,0,1,0,1,-1.524
a,0.883,1.38,0.883,1.38,"{'att': 441, 'def': 20}","{'att': 201, 'def': 24}",4,12,1,1,0.933,d,2023-01-28 17:30:00,0,1,0,1,-0.497
h,2.002,0.94,1.245,0.94,"{'att': 253, 'def': 20}","{'att': 404, 'def': 25}",9,5,3,0,2.222,w,2023-02-04 14:30:00,1,0,0,3,0.305
a,0.369,1.722,0.369,1.722,"{'att': 244, 'def': 17}","{'att': 342, 'def': 33}",5,2,0,3,0.288,l,2023-02-12 16:30:00,0,0,1,0,-1.353
