h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.543,0.586,1.543,0.586,"{'att': 238, 'def': 24}","{'att': 160, 'def': 24}",6,6,4,0,2.129,w,2022-08-06 13:30:00,1,0,0,3,0.957
h,1.083,0.782,1.083,0.782,"{'att': 319, 'def': 28}","{'att': 136, 'def': 17}",5,8,1,3,1.603,l,2022-08-12 18:30:00,0,0,1,0,0.302
a,0.904,0.767,0.904,0.767,"{'att': 345, 'def': 19}","{'att': 214, 'def': 15}",2,14,1,0,1.5,w,2022-08-20 13:30:00,1,0,0,3,0.137
h,4.409,1.13,3.564,1.13,"{'att': 195, 'def': 24}","{'att': 158, 'def': 20}",9,5,1,0,2.909,w,2022-08-26 18:30:00,1,0,0,3,2.433
a,2.354,1.797,2.354,1.797,"{'att': 231, 'def': 25}","{'att': 286, 'def': 17}",3,7,3,2,1.846,w,2022-09-03 13:30:00,1,0,0,3,0.557
h,0.991,1.379,0.991,1.379,"{'att': 375, 'def': 31}","{'att': 199, 'def': 15}",9,4,0,0,1.011,d,2022-09-11 15:30:00,0,1,0,1,-0.388
a,0.676,0.743,0.676,0.743,"{'att': 273, 'def': 25}","{'att': 250, 'def': 20}",9,7,0,0,1.246,d,2022-09-18 17:30:00,0,1,0,1,-0.067
h,1.972,1.845,1.972,1.845,"{'att': 208, 'def': 23}","{'att': 266, 'def': 24}",9,10,2,1,1.481,w,2022-10-01 13:30:00,1,0,0,3,0.127
a,1.759,1.259,1.759,0.501,"{'att': 174, 'def': 26}","{'att': 286, 'def': 29}",6,4,2,2,1.767,d,2022-10-09 15:30:00,0,1,0,1,1.258
a,0.328,2.08,0.328,2.08,"{'att': 390, 'def': 23}","{'att': 174, 'def': 12}",4,16,0,5,0.247,l,2022-10-16 17:30:00,0,0,1,0,-1.752
h,3.337,0.394,2.579,0.394,"{'att': 149, 'def': 17}","{'att': 179, 'def': 22}",9,2,2,0,2.888,w,2022-10-22 13:30:00,1,0,0,3,2.186
a,2.253,0.841,1.496,0.841,"{'att': 177, 'def': 14}","{'att': 197, 'def': 24}",7,7,2,0,2.418,w,2022-10-30 16:30:00,1,0,0,3,0.654
h,1.463,0.995,1.463,0.995,"{'att': 234, 'def': 20}","{'att': 301, 'def': 14}",7,2,2,0,1.726,w,2022-11-06 16:30:00,1,0,0,3,0.467
a,0.148,3.289,0.148,2.531,"{'att': 337, 'def': 23}","{'att': 239, 'def': 16}",5,9,1,3,0.018,l,2022-11-09 19:30:00,0,0,1,0,-2.383
h,2.69,1.656,1.175,0.14,"{'att': 156, 'def': 16}","{'att': 471, 'def': 11}",9,3,4,1,2.25,w,2022-11-13 16:30:00,1,0,0,3,1.035
a,0.809,2.881,0.809,2.123,"{'att': 331, 'def': 15}","{'att': 268, 'def': 22}",8,11,0,6,0.222,l,2023-01-21 14:30:00,0,0,1,0,-1.314
h,1.786,0.262,1.786,0.262,"{'att': 333, 'def': 28}","{'att': 194, 'def': 23}",17,4,1,1,2.604,d,2023-01-25 19:30:00,0,1,0,1,1.524
h,1.922,2.004,1.922,1.247,"{'att': 262, 'def': 24}","{'att': 204, 'def': 22}",10,13,3,1,1.289,w,2023-01-28 14:30:00,1,0,0,3,0.676
a,0.244,2.104,0.244,2.104,"{'att': 324, 'def': 15}","{'att': 114, 'def': 23}",2,13,1,5,0.212,l,2023-02-04 14:30:00,0,0,1,0,-1.86
h,2.211,1.027,0.695,1.027,"{'att': 254, 'def': 23}","{'att': 258, 'def': 13}",8,5,2,1,2.35,w,2023-02-11 14:30:00,1,0,0,3,-0.332
a,2.399,1.408,2.399,1.408,"{'att': 165, 'def': 28}","{'att': 194, 'def': 35}",7,6,2,0,2.059,w,2023-02-18 14:30:00,1,0,0,3,0.991
h,1.288,2.061,1.288,2.061,"{'att': 367, 'def': 29}","{'att': 243, 'def': 21}",0,4,1,1,0.774,d,2023-02-26 14:30:00,0,1,0,1,-0.773
a,0.286,1.114,0.286,1.114,"{'att': 319, 'def': 23}","{'att': 276, 'def': 18}",7,9,0,0,0.532,d,2023-03-04 14:30:00,0,1,0,1,-0.828
h,0.452,1.161,0.452,1.161,"{'att': 157, 'def': 22}","{'att': 275, 'def': 29}",1,7,2,1,0.682,w,2023-03-12 14:30:00,1,0,0,3,-0.709
a,1.353,1.578,1.353,1.578,"{'att': 179, 'def': 19}","{'att': 213, 'def': 30}",6,5,1,1,1.183,d,2023-03-19 18:30:00,0,1,0,1,-0.226
h,0.862,2.085,0.862,2.085,"{'att': 233, 'def': 18}","{'att': 272, 'def': 15}",3,5,1,1,0.542,d,2023-04-01 13:30:00,0,1,0,1,-1.223
h,1.091,3.092,1.091,3.092,"{'att': 390, 'def': 21}","{'att': 160, 'def': 24}",6,19,0,1,0.324,l,2023-04-08 13:30:00,0,0,1,0,-2.001
