h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.228,4.422,0.228,4.422,"{'att': 325, 'def': 15}","{'att': 91, 'def': 21}",2,11,1,3,0.008,l,2022-08-07 15:30:00,0,0,1,0,-4.195
h,1.693,1.411,0.935,1.411,"{'att': 394, 'def': 23}","{'att': 130, 'def': 8}",9,6,2,2,1.602,d,2022-08-13 16:30:00,0,1,0,1,-0.476
a,1.033,1.206,0.275,1.206,"{'att': 338, 'def': 21}","{'att': 107, 'def': 17}",1,11,0,0,1.224,d,2022-08-20 13:30:00,0,1,0,1,-0.931
h,1.866,1.065,1.108,1.065,"{'att': 179, 'def': 13}","{'att': 312, 'def': 15}",3,7,1,6,2.018,l,2022-08-27 13:30:00,0,0,1,0,0.043
a,2.105,0.706,2.105,0.706,"{'att': 182, 'def': 28}","{'att': 258, 'def': 22}",9,8,1,1,2.412,d,2022-09-03 13:30:00,0,1,0,1,1.399
h,1.413,1.313,1.413,1.313,"{'att': 208, 'def': 21}","{'att': 173, 'def': 19}",10,6,3,1,1.428,w,2022-09-10 16:30:00,1,0,0,3,0.1
a,0.097,2.535,0.097,2.535,"{'att': 269, 'def': 17}","{'att': 142, 'def': 25}",2,8,0,1,0.064,l,2022-09-17 13:30:00,0,0,1,0,-2.438
h,2.059,1.484,2.059,1.484,"{'att': 122, 'def': 15}","{'att': 166, 'def': 17}",8,3,2,3,1.824,l,2022-10-02 15:30:00,0,0,1,0,0.575
a,0.14,2.069,0.14,2.069,"{'att': 384, 'def': 34}","{'att': 232, 'def': 22}",2,10,0,4,0.137,l,2022-10-08 13:30:00,0,0,1,0,-1.93
h,0.698,3.517,0.698,2.001,"{'att': 215, 'def': 29}","{'att': 219, 'def': 11}",4,9,0,3,0.094,l,2022-10-14 18:30:00,0,0,1,0,-1.304
a,0.523,1.058,0.523,1.058,"{'att': 211, 'def': 20}","{'att': 176, 'def': 26}",2,7,1,2,0.826,l,2022-10-23 15:30:00,0,0,1,0,-0.535
h,0.841,2.253,0.841,1.496,"{'att': 197, 'def': 24}","{'att': 177, 'def': 14}",7,7,0,2,0.412,l,2022-10-30 16:30:00,0,0,1,0,-0.654
a,1.351,1.331,1.351,1.331,"{'att': 165, 'def': 24}","{'att': 260, 'def': 27}",9,5,1,2,1.38,l,2022-11-05 17:30:00,0,0,1,0,0.021
h,1.98,0.609,1.98,0.609,"{'att': 178, 'def': 29}","{'att': 130, 'def': 25}",7,5,1,0,2.397,w,2022-11-09 19:30:00,1,0,0,3,1.371
