h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.901,1.118,1.127,1.118,"{'att': 218, 'def': 17}","{'att': 216, 'def': 21}",1,5,0,1,2.015,l,2014-08-16 15:00:00,0,0,1,0,0.009
a,1.076,2.389,1.076,2.389,"{'att': 456, 'def': 28}","{'att': 224, 'def': 29}",2,8,0,4,0.538,l,2014-08-24 13:30:00,0,0,1,0,-1.313
h,1.273,0.964,1.273,0.964,"{'att': 322, 'def': 26}","{'att': 166, 'def': 21}",7,7,1,0,1.589,w,2014-08-30 15:00:00,1,0,0,3,0.308
a,0.564,2.209,0.564,2.209,"{'att': 546, 'def': 12}","{'att': 228, 'def': 26}",4,9,0,4,0.314,l,2014-09-14 16:00:00,0,0,1,0,-1.646
h,1.056,1.458,1.056,1.458,"{'att': 238, 'def': 24}","{'att': 235, 'def': 24}",3,6,2,2,0.974,d,2014-09-20 12:45:00,0,1,0,1,-0.402
a,0.456,2.345,0.456,2.345,"{'att': 262, 'def': 18}","{'att': 210, 'def': 22}",3,8,1,2,0.23,l,2014-09-27 15:00:00,0,0,1,0,-1.888
a,0.697,1.64,0.697,1.64,"{'att': 234, 'def': 24}","{'att': 273, 'def': 22}",0,5,0,2,0.512,l,2014-10-05 16:15:00,0,0,1,0,-0.943
h,2.609,1.518,2.609,1.518,"{'att': 258, 'def': 34}","{'att': 126, 'def': 20}",8,8,2,3,2.152,l,2014-10-19 13:30:00,0,0,1,0,1.09
h,0.817,1.187,0.817,1.187,"{'att': 340, 'def': 25}","{'att': 123, 'def': 22}",3,6,2,0,0.996,w,2014-10-27 20:00:00,1,0,0,3,-0.37
a,0.51,2.237,0.51,1.476,"{'att': 300, 'def': 23}","{'att': 176, 'def': 32}",3,12,1,2,0.242,l,2014-11-01 15:00:00,0,0,1,0,-0.966
h,1.865,1.702,1.865,1.702,"{'att': 271, 'def': 28}","{'att': 175, 'def': 21}",4,15,2,2,1.518,d,2014-11-08 17:30:00,0,1,0,1,0.163
a,0.402,1.479,0.402,1.479,"{'att': 184, 'def': 26}","{'att': 149, 'def': 34}",5,9,0,1,0.47,l,2014-11-22 15:00:00,0,0,1,0,-1.076
h,2.982,2.1,2.982,2.1,"{'att': 105, 'def': 13}","{'att': 175, 'def': 29}",7,8,3,2,1.974,w,2014-11-29 15:00:00,1,0,0,3,0.882
a,0.79,1.542,0.79,1.542,"{'att': 335, 'def': 28}","{'att': 186, 'def': 24}",4,6,0,2,0.779,l,2014-12-02 19:45:00,0,0,1,0,-0.753
h,1.637,1.265,1.637,1.265,"{'att': 157, 'def': 14}","{'att': 161, 'def': 25}",11,12,2,0,1.654,w,2014-12-06 15:00:00,1,0,0,3,0.373
a,0.972,0.748,0.972,0.748,"{'att': 286, 'def': 28}","{'att': 232, 'def': 29}",4,5,1,3,1.552,l,2014-12-15 20:00:00,0,0,1,0,0.225
h,2.929,1.301,2.167,1.301,"{'att': 184, 'def': 22}","{'att': 157, 'def': 17}",4,12,3,2,2.501,w,2014-12-20 15:00:00,1,0,0,3,0.866
a,1.218,2.139,0.456,1.378,"{'att': 304, 'def': 35}","{'att': 221, 'def': 18}",7,11,1,2,0.653,l,2014-12-26 17:30:00,0,0,1,0,-0.921
h,0.406,0.329,0.406,0.329,"{'att': 112, 'def': 24}","{'att': 177, 'def': 22}",4,5,0,0,1.323,d,2014-12-28 15:00:00,0,1,0,1,0.077
h,3.162,1.697,3.162,1.697,"{'att': 293, 'def': 37}","{'att': 155, 'def': 15}",9,6,1,1,2.307,d,2015-01-01 15:00:00,0,1,0,1,1.465
a,1.696,2.191,0.934,2.191,"{'att': 138, 'def': 12}","{'att': 170, 'def': 27}",7,8,1,2,1.075,l,2015-01-10 15:00:00,0,0,1,0,-1.257
h,0.93,1.556,0.93,1.556,"{'att': 262, 'def': 25}","{'att': 172, 'def': 30}",6,8,0,2,0.864,l,2015-01-17 15:00:00,0,0,1,0,-0.627
a,1.116,0.783,1.116,0.783,"{'att': 192, 'def': 17}","{'att': 180, 'def': 24}",4,5,1,3,1.681,l,2015-01-31 15:00:00,0,0,1,0,0.333
h,1.03,0.964,1.03,0.964,"{'att': 212, 'def': 22}","{'att': 174, 'def': 27}",5,10,0,1,1.395,l,2015-02-07 15:00:00,0,0,1,0,0.066
a,1.269,1.808,1.269,1.808,"{'att': 252, 'def': 30}","{'att': 218, 'def': 27}",4,4,2,0,0.935,w,2015-02-10 19:45:00,1,0,0,3,-0.539
a,0.191,1.093,0.191,1.093,"{'att': 212, 'def': 22}","{'att': 167, 'def': 26}",0,6,1,2,0.478,l,2015-02-21 15:00:00,0,0,1,0,-0.902
h,0.319,2.165,0.319,2.165,"{'att': 255, 'def': 36}","{'att': 177, 'def': 20}",2,15,1,2,0.192,l,2015-03-04 19:45:00,0,0,1,0,-1.846
h,1.498,2.624,1.498,2.624,"{'att': 193, 'def': 25}","{'att': 100, 'def': 28}",8,4,1,2,0.672,l,2015-03-07 15:00:00,0,0,1,0,-1.126
a,0.266,2.201,0.266,2.201,"{'att': 110, 'def': 23}","{'att': 191, 'def': 21}",2,5,1,3,0.13,l,2015-03-14 12:45:00,0,0,1,0,-1.935
h,1.393,0.84,1.393,0.84,"{'att': 156, 'def': 31}","{'att': 151, 'def': 27}",18,9,1,2,1.824,l,2015-03-22 16:00:00,0,0,1,0,0.553
a,1.209,2.134,1.209,2.134,"{'att': 222, 'def': 21}","{'att': 182, 'def': 16}",5,9,4,1,0.76,w,2015-04-04 15:00:00,1,0,0,3,-0.924
a,1.431,1.867,1.431,1.867,"{'att': 195, 'def': 22}","{'att': 117, 'def': 18}",3,5,3,3,1.068,d,2015-04-07 19:45:00,0,1,0,1,-0.436
h,0.781,0.921,0.781,0.921,"{'att': 212, 'def': 30}","{'att': 116, 'def': 17}",2,8,0,1,1.184,l,2015-04-12 13:30:00,0,0,1,0,-0.14
h,2.281,0.824,1.52,0.824,"{'att': 98, 'def': 20}","{'att': 105, 'def': 22}",15,4,0,0,2.453,d,2015-04-25 15:00:00,0,1,0,1,0.696
a,0.386,2.287,0.386,1.526,"{'att': 236, 'def': 23}","{'att': 113, 'def': 21}",1,9,1,2,0.185,l,2015-05-02 15:00:00,0,0,1,0,-1.14
a,0.872,5.351,0.872,4.59,"{'att': 268, 'def': 21}","{'att': 169, 'def': 25}",1,13,0,6,0.01,l,2015-05-10 13:30:00,0,0,1,0,-3.718
h,0.47,2.112,0.47,2.112,"{'att': 118, 'def': 40}","{'att': 124, 'def': 31}",2,10,2,1,0.312,w,2015-05-16 15:00:00,1,0,0,3,-1.642
a,1.268,2.174,1.268,2.174,"{'att': 182, 'def': 27}","{'att': 223, 'def': 21}",1,3,1,5,0.765,l,2015-05-24 15:00:00,0,0,1,0,-0.907
