h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.552,1.332,1.552,1.332,"{'att': 401, 'def': 36}","{'att': 238, 'def': 21}",9,6,1,2,1.527,l,2014-08-17 13:30:00,0,0,1,0,0.221
h,0.666,0.666,0.666,0.666,"{'att': 201, 'def': 27}","{'att': 285, 'def': 23}",5,2,0,0,1.277,d,2014-08-23 15:00:00,0,1,0,1,0.0
a,1.575,0.635,1.575,0.635,"{'att': 184, 'def': 26}","{'att': 332, 'def': 12}",11,0,3,1,2.154,w,2014-08-30 15:00:00,1,0,0,3,0.94
h,2.117,1.15,2.117,1.15,"{'att': 354, 'def': 30}","{'att': 370, 'def': 18}",4,1,4,0,2.146,w,2014-09-13 15:00:00,1,0,0,3,0.967
a,0.75,0.52,0.75,0.52,"{'att': 266, 'def': 34}","{'att': 299, 'def': 17}",7,2,1,0,1.498,w,2014-09-20 15:00:00,1,0,0,3,0.23
h,2.345,0.456,2.345,0.456,"{'att': 210, 'def': 22}","{'att': 262, 'def': 18}",8,3,2,1,2.653,w,2014-09-27 15:00:00,1,0,0,3,1.888
a,1.146,0.899,1.146,0.899,"{'att': 177, 'def': 26}","{'att': 249, 'def': 21}",6,3,0,1,1.576,l,2014-10-05 14:05:00,0,0,1,0,0.247
h,3.711,0.922,3.711,0.922,"{'att': 259, 'def': 25}","{'att': 272, 'def': 11}",16,3,8,0,2.816,w,2014-10-18 15:00:00,1,0,0,3,2.789
h,1.376,0.868,1.376,0.868,"{'att': 187, 'def': 23}","{'att': 341, 'def': 16}",8,0,1,0,1.748,w,2014-10-25 15:00:00,1,0,0,3,0.508
a,1.905,0.257,1.905,0.257,"{'att': 239, 'def': 29}","{'att': 333, 'def': 13}",5,10,1,0,2.697,w,2014-11-01 15:00:00,1,0,0,3,1.648
h,1.005,0.54,1.005,0.54,"{'att': 170, 'def': 23}","{'att': 355, 'def': 17}",9,1,2,0,1.76,w,2014-11-08 15:00:00,1,0,0,3,0.465
a,0.863,1.132,0.863,1.132,"{'att': 124, 'def': 20}","{'att': 292, 'def': 14}",14,3,1,1,1.059,d,2014-11-24 20:00:00,0,1,0,1,-0.269
h,0.804,2.132,0.804,2.132,"{'att': 222, 'def': 24}","{'att': 282, 'def': 28}",3,8,0,3,0.436,l,2014-11-30 13:30:00,0,0,1,0,-1.328
a,0.571,2.373,0.571,2.373,"{'att': 274, 'def': 23}","{'att': 198, 'def': 24}",3,13,0,1,0.273,l,2014-12-03 19:45:00,0,0,1,0,-1.802
h,1.829,0.799,1.829,0.799,"{'att': 255, 'def': 38}","{'att': 290, 'def': 16}",9,2,1,2,2.16,l,2014-12-08 20:00:00,0,0,1,0,1.029
a,1.713,0.396,0.952,0.396,"{'att': 139, 'def': 19}","{'att': 249, 'def': 31}",7,2,0,1,2.496,l,2014-12-13 15:00:00,0,0,1,0,0.556
h,2.213,0.598,2.213,0.598,"{'att': 236, 'def': 29}","{'att': 195, 'def': 12}",4,2,3,0,2.561,w,2014-12-20 15:00:00,1,0,0,3,1.615
a,1.303,0.379,1.303,0.379,"{'att': 147, 'def': 12}","{'att': 277, 'def': 24}",3,4,3,1,2.19,w,2014-12-26 15:00:00,1,0,0,3,0.923
h,0.528,0.522,0.528,0.522,"{'att': 287, 'def': 24}","{'att': 230, 'def': 22}",1,21,1,1,1.317,d,2014-12-28 14:05:00,0,1,0,1,0.007
h,2.414,0.849,2.414,0.849,"{'att': 312, 'def': 30}","{'att': 238, 'def': 18}",5,4,2,0,2.464,w,2015-01-01 15:00:00,1,0,0,3,1.565
a,1.157,1.192,1.157,1.192,"{'att': 280, 'def': 14}","{'att': 192, 'def': 20}",5,4,1,0,1.297,w,2015-01-11 16:00:00,1,0,0,3,-0.035
a,0.432,0.857,0.432,0.857,"{'att': 307, 'def': 24}","{'att': 199, 'def': 26}",2,4,2,1,0.881,w,2015-01-17 17:30:00,1,0,0,3,-0.425
h,1.627,0.263,1.627,0.263,"{'att': 255, 'def': 23}","{'att': 351, 'def': 10}",11,1,0,1,2.493,l,2015-02-01 16:00:00,0,0,1,0,1.364
a,0.964,1.03,0.964,1.03,"{'att': 174, 'def': 27}","{'att': 212, 'def': 22}",10,5,1,0,1.278,w,2015-02-07 15:00:00,1,0,0,3,-0.066
h,1.684,0.125,1.684,0.125,"{'att': 119, 'def': 17}","{'att': 258, 'def': 16}",14,0,0,0,2.604,d,2015-02-11 19:45:00,0,1,0,1,1.559
h,0.869,0.696,0.869,0.696,"{'att': 207, 'def': 26}","{'att': 313, 'def': 21}",7,5,0,2,1.455,l,2015-02-22 16:15:00,0,0,1,0,0.173
a,0.58,1.089,0.58,1.089,"{'att': 131, 'def': 27}","{'att': 276, 'def': 17}",6,4,0,1,0.829,l,2015-02-28 15:00:00,0,0,1,0,-0.509
h,2.229,0.393,2.229,0.393,"{'att': 118, 'def': 26}","{'att': 229, 'def': 24}",7,4,1,0,2.682,w,2015-03-03 19:45:00,1,0,0,3,1.836
a,1.828,3.193,1.067,3.193,"{'att': 287, 'def': 33}","{'att': 204, 'def': 23}",11,18,1,1,0.547,d,2015-03-15 13:30:00,0,1,0,1,-2.126
h,1.921,1.05,1.921,1.05,"{'att': 187, 'def': 15}","{'att': 326, 'def': 19}",9,10,2,0,2.014,w,2015-03-21 15:00:00,1,0,0,3,0.871
a,0.534,1.02,0.534,1.02,"{'att': 173, 'def': 39}","{'att': 213, 'def': 25}",6,3,0,1,0.798,l,2015-04-04 15:00:00,0,0,1,0,-0.487
h,2.374,0.737,1.613,0.737,"{'att': 266, 'def': 25}","{'att': 353, 'def': 22}",9,3,2,0,2.555,w,2015-04-11 15:00:00,1,0,0,3,0.875
a,1.361,2.265,1.361,2.265,"{'att': 224, 'def': 28}","{'att': 234, 'def': 26}",10,2,1,2,0.681,l,2015-04-18 15:00:00,0,0,1,0,-0.903
