h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.782,0.876,0.782,0.876,"{'att': 308, 'def': 26}","{'att': 207, 'def': 30}",2,11,1,0,1.248,w,2015-08-08 18:00:00,1,0,0,3,-0.094
h,0.219,0.66,0.219,0.66,"{'att': 301, 'def': 30}","{'att': 285, 'def': 30}",3,5,0,1,0.782,l,2015-08-14 22:45:00,0,0,1,0,-0.441
a,0.765,1.238,0.765,1.238,"{'att': 178, 'def': 21}","{'att': 196, 'def': 24}",6,9,1,2,0.96,l,2015-08-22 18:00:00,0,0,1,0,-0.473
h,2.274,0.369,1.513,0.369,"{'att': 190, 'def': 22}","{'att': 294, 'def': 40}",12,3,2,2,2.725,d,2015-08-29 18:00:00,0,1,0,1,1.144
a,0.953,1.35,0.953,1.35,"{'att': 185, 'def': 22}","{'att': 236, 'def': 33}",5,11,2,3,1.034,l,2015-09-13 19:00:00,0,0,1,0,-0.397
h,0.877,0.633,0.877,0.633,"{'att': 153, 'def': 25}","{'att': 244, 'def': 29}",5,2,0,1,1.558,l,2015-09-19 18:00:00,0,0,1,0,0.244
a,0.892,1.783,0.892,1.783,"{'att': 317, 'def': 12}","{'att': 215, 'def': 29}",2,11,2,3,0.726,l,2015-09-26 18:00:00,0,0,1,0,-0.891
h,0.839,1.035,0.839,1.035,"{'att': 229, 'def': 30}","{'att': 258, 'def': 31}",7,3,0,1,1.166,l,2015-10-03 18:00:00,0,0,1,0,-0.196
a,0.796,1.229,0.796,1.229,"{'att': 205, 'def': 21}","{'att': 238, 'def': 44}",2,6,0,2,0.956,l,2015-10-17 18:00:00,0,0,1,0,-0.433
h,1.095,1.744,1.095,1.744,"{'att': 259, 'def': 25}","{'att': 175, 'def': 26}",4,4,1,2,0.811,l,2015-10-24 18:00:00,0,0,1,0,-0.648
a,0.326,1.144,0.326,1.144,"{'att': 301, 'def': 21}","{'att': 155, 'def': 26}",1,7,1,3,0.61,l,2015-11-03 00:00:00,0,0,1,0,-0.818
h,0.183,1.533,0.183,1.533,"{'att': 330, 'def': 10}","{'att': 185, 'def': 27}",1,12,0,0,0.244,d,2015-11-08 17:30:00,0,1,0,1,-1.35
a,0.322,2.831,0.322,2.831,"{'att': 413, 'def': 24}","{'att': 237, 'def': 21}",2,6,0,4,0.087,l,2015-11-21 19:00:00,0,0,1,0,-2.509
h,1.49,1.452,1.49,1.452,"{'att': 91, 'def': 18}","{'att': 312, 'def': 32}",6,7,2,3,1.402,l,2015-11-28 19:00:00,0,0,1,0,0.038
a,1.058,2.861,1.058,2.861,"{'att': 290, 'def': 12}","{'att': 162, 'def': 22}",2,8,1,1,0.356,d,2015-12-05 19:00:00,0,1,0,1,-1.803
h,1.009,1.685,1.009,0.924,"{'att': 317, 'def': 19}","{'att': 243, 'def': 24}",6,11,0,2,0.776,l,2015-12-13 17:30:00,0,0,1,0,0.085
a,0.404,1.282,0.404,1.282,"{'att': 167, 'def': 29}","{'att': 228, 'def': 21}",2,6,1,1,0.565,d,2015-12-19 21:30:00,0,1,0,1,-0.878
h,1.612,0.836,0.851,0.836,"{'att': 159, 'def': 22}","{'att': 231, 'def': 26}",7,1,1,1,2.029,d,2015-12-26 19:00:00,0,1,0,1,0.015
a,0.236,1.103,0.236,1.103,"{'att': 170, 'def': 30}","{'att': 217, 'def': 24}",0,3,0,2,0.499,l,2015-12-28 19:00:00,0,0,1,0,-0.867
a,0.28,0.761,0.28,0.761,"{'att': 212, 'def': 22}","{'att': 257, 'def': 23}",1,6,1,3,0.81,l,2016-01-02 19:00:00,0,0,1,0,-0.482
h,0.552,0.548,0.552,0.548,"{'att': 251, 'def': 24}","{'att': 204, 'def': 28}",6,1,1,0,1.263,w,2016-01-12 23:45:00,1,0,0,3,0.004
h,0.665,2.215,0.665,1.454,"{'att': 206, 'def': 19}","{'att': 256, 'def': 26}",8,5,1,1,0.293,d,2016-01-16 21:30:00,0,1,0,1,-0.789
a,0.562,0.232,0.562,0.232,"{'att': 132, 'def': 24}","{'att': 179, 'def': 19}",4,1,0,0,1.62,d,2016-01-23 19:00:00,0,1,0,1,0.331
a,0.108,2.346,0.108,2.346,"{'att': 344, 'def': 23}","{'att': 140, 'def': 30}",2,13,0,2,0.062,l,2016-02-02 23:45:00,0,0,1,0,-2.238
h,0.918,1.141,0.918,1.141,"{'att': 195, 'def': 22}","{'att': 175, 'def': 28}",1,5,2,0,1.14,w,2016-02-06 19:00:00,1,0,0,3,-0.223
h,0.175,2.008,0.175,2.008,"{'att': 385, 'def': 31}","{'att': 215, 'def': 33}",2,10,0,6,0.142,l,2016-02-14 18:05:00,0,0,1,0,-1.833
a,0.414,2.04,0.414,1.279,"{'att': 272, 'def': 23}","{'att': 179, 'def': 17}",3,9,1,2,0.167,l,2016-02-27 19:00:00,0,0,1,0,-0.865
h,0.602,2.637,0.602,2.637,"{'att': 353, 'def': 25}","{'att': 243, 'def': 15}",12,5,1,3,0.226,l,2016-03-01 23:45:00,0,0,1,0,-2.035
a,0.121,2.833,0.121,2.072,"{'att': 423, 'def': 11}","{'att': 183, 'def': 34}",2,25,0,4,0.046,l,2016-03-05 19:00:00,0,0,1,0,-1.95
h,1.84,2.001,1.84,2.001,"{'att': 338, 'def': 25}","{'att': 150, 'def': 23}",4,8,0,2,1.306,l,2016-03-13 20:00:00,0,0,1,0,-0.161
a,0.731,0.49,0.731,0.49,"{'att': 269, 'def': 40}","{'att': 159, 'def': 29}",2,6,0,1,1.534,l,2016-03-19 21:30:00,0,0,1,0,0.24
h,0.725,2.494,0.725,1.732,"{'att': 395, 'def': 26}","{'att': 212, 'def': 27}",6,8,0,4,0.249,l,2016-04-02 15:45:00,0,0,1,0,-1.007
h,0.221,1.004,0.221,1.004,"{'att': 307, 'def': 17}","{'att': 199, 'def': 36}",2,3,1,2,0.563,l,2016-04-09 18:00:00,0,0,1,0,-0.783
a,0.262,1.091,0.262,1.091,"{'att': 274, 'def': 13}","{'att': 173, 'def': 22}",1,14,0,1,0.561,l,2016-04-16 18:00:00,0,0,1,0,-0.829
h,1.472,3.665,1.472,3.665,"{'att': 321, 'def': 15}","{'att': 221, 'def': 37}",2,19,2,4,0.315,l,2016-04-23 18:00:00,0,0,1,0,-2.193
