h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,2.568,1.459,1.807,1.459,"{'att': 272, 'def': 25}","{'att': 172, 'def': 18}",5,6,4,2,2.132,w,2015-08-08 18:00:00,1,0,0,3,0.347
a,1.809,0.513,1.809,0.513,"{'att': 331, 'def': 22}","{'att': 102, 'def': 16}",5,10,2,1,2.513,w,2015-08-15 18:00:00,1,0,0,3,1.296
h,0.829,1.894,0.829,1.894,"{'att': 296, 'def': 19}","{'att': 94, 'def': 19}",5,5,1,1,0.583,d,2015-08-22 18:00:00,0,1,0,1,-1.065
a,0.919,0.321,0.158,0.321,"{'att': 217, 'def': 42}","{'att': 141, 'def': 20}",6,4,1,1,2.12,d,2015-08-29 18:00:00,0,1,0,1,-0.164
h,1.35,0.953,1.35,0.953,"{'att': 236, 'def': 33}","{'att': 185, 'def': 22}",11,5,3,2,1.665,w,2015-09-13 19:00:00,1,0,0,3,0.397
a,1.226,1.147,0.465,1.147,"{'att': 216, 'def': 36}","{'att': 160, 'def': 23}",3,2,2,2,1.432,d,2015-09-19 18:00:00,0,1,0,1,-0.683
h,1.385,3.896,1.385,3.896,"{'att': 310, 'def': 30}","{'att': 149, 'def': 22}",8,17,2,5,0.244,l,2015-09-26 18:00:00,0,0,1,0,-2.511
a,3.003,1.181,2.242,1.181,"{'att': 235, 'def': 23}","{'att': 104, 'def': 9}",5,5,2,1,2.536,w,2015-10-03 18:00:00,1,0,0,3,1.061
a,2.786,1.467,2.786,1.467,"{'att': 212, 'def': 32}","{'att': 145, 'def': 16}",8,5,2,2,2.238,d,2015-10-17 18:00:00,0,1,0,1,1.32
h,1.335,0.24,1.335,0.24,"{'att': 257, 'def': 19}","{'att': 256, 'def': 22}",2,5,1,0,2.633,w,2015-10-24 18:00:00,1,0,0,3,1.095
a,2.225,1.504,2.225,0.743,"{'att': 175, 'def': 25}","{'att': 180, 'def': 6}",4,9,3,2,1.925,w,2015-10-31 19:00:00,1,0,0,3,1.482
h,1.564,1.005,0.803,0.244,"{'att': 306, 'def': 29}","{'att': 166, 'def': 17}",0,3,2,1,1.837,w,2015-11-07 19:00:00,1,0,0,3,0.559
a,3.275,0.372,3.275,0.372,"{'att': 291, 'def': 36}","{'att': 177, 'def': 18}",12,1,3,0,2.93,w,2015-11-21 19:00:00,1,0,0,3,2.902
h,0.876,1.056,0.876,1.056,"{'att': 323, 'def': 21}","{'att': 110, 'def': 23}",3,3,1,1,1.168,d,2015-11-28 21:30:00,0,1,0,1,-0.18
a,2.21,0.781,2.21,0.781,"{'att': 347, 'def': 25}","{'att': 193, 'def': 19}",5,6,3,0,2.372,w,2015-12-05 19:00:00,1,0,0,3,1.429
h,0.709,2.269,0.709,2.269,"{'att': 264, 'def': 37}","{'att': 96, 'def': 23}",5,8,2,1,0.309,w,2015-12-15 00:00:00,1,0,0,3,-1.56
a,2.029,1.49,0.507,1.49,"{'att': 318, 'def': 38}","{'att': 132, 'def': 15}",6,9,3,2,1.848,w,2015-12-19 19:00:00,1,0,0,3,-0.983
a,0.505,1.379,0.505,1.379,"{'att': 279, 'def': 17}","{'att': 97, 'def': 26}",5,10,0,1,0.64,l,2015-12-26 19:00:00,0,0,1,0,-0.874
h,0.81,1.668,0.81,1.668,"{'att': 230, 'def': 20}","{'att': 130, 'def': 28}",4,13,0,0,0.704,d,2015-12-29 23:45:00,0,1,0,1,-0.857
h,2.285,1.259,1.524,1.259,"{'att': 265, 'def': 26}","{'att': 233, 'def': 21}",5,3,0,0,2.168,d,2016-01-02 19:00:00,0,1,0,1,0.265
a,0.589,1.23,0.589,1.23,"{'att': 222, 'def': 22}","{'att': 122, 'def': 25}",4,7,1,0,0.811,w,2016-01-14 00:00:00,1,0,0,3,-0.641
a,2.215,0.665,1.454,0.665,"{'att': 256, 'def': 26}","{'att': 206, 'def': 19}",5,8,1,1,2.567,d,2016-01-16 21:30:00,0,1,0,1,0.789
h,2.259,0.34,2.259,0.34,"{'att': 251, 'def': 23}","{'att': 177, 'def': 26}",6,3,3,0,2.718,w,2016-01-23 19:00:00,1,0,0,3,1.919
h,1.346,0.581,1.346,0.581,"{'att': 268, 'def': 25}","{'att': 133, 'def': 22}",0,11,2,0,2.071,w,2016-02-02 23:45:00,1,0,0,3,0.765
a,2.502,1.707,2.502,1.707,"{'att': 230, 'def': 19}","{'att': 111, 'def': 25}",6,15,3,1,1.916,w,2016-02-06 16:45:00,1,0,0,3,0.794
a,1.312,2.363,0.551,2.363,"{'att': 318, 'def': 35}","{'att': 102, 'def': 21}",2,23,1,2,0.698,l,2016-02-14 16:00:00,0,0,1,0,-1.812
h,1.764,0.815,1.764,0.815,"{'att': 130, 'def': 17}","{'att': 213, 'def': 20}",5,2,1,0,2.222,w,2016-02-27 19:00:00,1,0,0,3,0.95
h,3.046,1.295,3.046,1.295,"{'att': 107, 'def': 25}","{'att': 238, 'def': 15}",14,2,2,2,2.512,d,2016-03-01 23:45:00,0,1,0,1,1.751
a,1.47,0.829,1.47,0.829,"{'att': 222, 'def': 29}","{'att': 200, 'def': 23}",5,10,1,0,1.876,w,2016-03-05 21:30:00,1,0,0,3,0.641
h,0.847,0.519,0.847,0.519,"{'att': 255, 'def': 26}","{'att': 244, 'def': 20}",5,7,1,0,1.615,w,2016-03-14 00:00:00,1,0,0,3,0.328
a,1.203,0.784,1.203,0.784,"{'att': 250, 'def': 34}","{'att': 126, 'def': 26}",8,3,1,0,1.699,w,2016-03-19 19:00:00,1,0,0,3,0.419
h,1.387,0.67,1.387,0.67,"{'att': 179, 'def': 17}","{'att': 156, 'def': 10}",6,6,1,0,1.986,w,2016-04-03 16:30:00,1,0,0,3,0.717
a,2.601,0.872,2.601,0.872,"{'att': 158, 'def': 24}","{'att': 157, 'def': 25}",11,8,2,0,2.546,w,2016-04-10 16:30:00,1,0,0,3,1.728
h,1.953,1.568,1.192,0.807,"{'att': 216, 'def': 17}","{'att': 168, 'def': 29}",5,6,2,2,1.709,d,2016-04-17 16:30:00,0,1,0,1,0.385
h,3.316,0.576,3.316,0.576,"{'att': 372, 'def': 37}","{'att': 184, 'def': 39}",4,1,4,0,2.914,w,2016-04-24 19:15:00,1,0,0,3,2.739
a,1.166,1.185,1.166,1.185,"{'att': 273, 'def': 24}","{'att': 89, 'def': 23}",6,10,1,1,1.369,d,2016-05-01 17:05:00,0,1,0,1,-0.018
h,4.505,1.302,2.983,1.302,"{'att': 318, 'def': 19}","{'att': 166, 'def': 26}",9,6,3,1,2.828,w,2016-05-07 20:30:00,1,0,0,3,1.681
a,1.235,1.861,1.235,1.099,"{'att': 276, 'def': 38}","{'att': 237, 'def': 16}",9,18,1,1,0.891,d,2016-05-15 18:00:00,0,1,0,1,0.135
