h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.721,1.049,1.721,1.049,"{'att': 165, 'def': 16}","{'att': 230, 'def': 21}",2,5,1,0,1.935,w,2016-08-13 18:00:00,1,0,0,3,0.672
h,1.141,2.187,1.141,2.187,"{'att': 307, 'def': 30}","{'att': 303, 'def': 12}",11,5,0,2,0.609,l,2016-08-20 18:00:00,0,0,1,0,-1.045
a,0.328,2.48,0.328,1.602,"{'att': 204, 'def': 18}","{'att': 205, 'def': 35}",4,3,1,2,0.118,l,2016-08-27 18:00:00,0,0,1,0,-1.274
h,1.23,2.19,0.469,2.19,"{'att': 287, 'def': 28}","{'att': 234, 'def': 17}",3,14,2,2,0.739,d,2016-09-11 19:00:00,0,1,0,1,-1.721
a,0.491,2.152,0.491,2.152,"{'att': 237, 'def': 14}","{'att': 213, 'def': 25}",4,7,0,1,0.31,l,2016-09-18 17:15:00,0,0,1,0,-1.662
h,1.111,2.577,1.111,1.816,"{'att': 320, 'def': 28}","{'att': 229, 'def': 23}",5,23,1,3,0.43,l,2016-09-24 15:00:00,0,0,1,0,-0.705
h,2.658,2.022,2.658,1.261,"{'att': 291, 'def': 21}","{'att': 229, 'def': 25}",2,16,1,2,1.859,l,2016-10-01 15:30:00,0,0,1,0,1.397
a,1.75,3.505,1.75,3.505,"{'att': 240, 'def': 28}","{'att': 299, 'def': 23}",7,11,2,3,0.465,l,2016-10-15 18:00:00,0,0,1,0,-1.755
h,1.332,0.479,1.332,0.479,"{'att': 219, 'def': 29}","{'att': 214, 'def': 27}",5,6,0,0,2.141,d,2016-10-22 18:00:00,0,1,0,1,0.854
a,1.101,2.164,1.101,2.164,"{'att': 189, 'def': 24}","{'att': 269, 'def': 15}",4,10,1,3,0.614,l,2016-11-01 00:00:00,0,0,1,0,-1.063
h,0.513,1.0,0.513,1.0,"{'att': 452, 'def': 17}","{'att': 292, 'def': 25}",1,10,1,3,0.811,l,2016-11-06 19:00:00,0,0,1,0,-0.487
a,1.075,1.549,0.314,1.549,"{'att': 259, 'def': 20}","{'att': 141, 'def': 25}",3,2,1,1,0.923,d,2016-11-19 19:00:00,0,1,0,1,-1.235
h,3.396,2.282,3.396,2.282,"{'att': 134, 'def': 26}","{'att': 189, 'def': 22}",8,5,5,4,2.173,w,2016-11-26 19:00:00,1,0,0,3,1.114
a,0.034,3.977,0.034,3.216,"{'att': 339, 'def': 27}","{'att': 228, 'def': 27}",0,14,0,5,0.001,l,2016-12-03 19:00:00,0,0,1,0,-3.181
h,2.182,0.672,1.421,0.672,"{'att': 144, 'def': 25}","{'att': 260, 'def': 19}",5,5,3,0,2.509,w,2016-12-10 19:00:00,1,0,0,3,0.749
