h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,2.639,0.627,2.639,0.627,"{'att': 234, 'def': 25}","{'att': 267, 'def': 20}",10,9,4,0,2.658,w,2017-08-13 16:00:00,1,0,0,3,2.012
a,3.41,0.304,3.41,0.304,"{'att': 217, 'def': 26}","{'att': 341, 'def': 19}",4,4,4,0,2.964,w,2017-08-19 12:30:00,1,0,0,3,3.106
h,2.737,0.671,1.976,0.671,"{'att': 147, 'def': 18}","{'att': 325, 'def': 19}",13,3,2,0,2.719,w,2017-08-26 17:30:00,1,0,0,3,1.306
a,1.966,1.499,1.966,1.499,"{'att': 189, 'def': 17}","{'att': 310, 'def': 20}",9,1,2,2,1.702,d,2017-09-09 17:30:00,0,1,0,1,0.467
h,3.287,1.063,2.526,1.063,"{'att': 326, 'def': 31}","{'att': 218, 'def': 23}",5,1,4,0,2.689,w,2017-09-17 16:00:00,1,0,0,3,1.463
a,1.072,0.802,1.072,0.802,"{'att': 290, 'def': 19}","{'att': 179, 'def': 20}",8,5,1,0,1.658,w,2017-09-23 15:00:00,1,0,0,3,0.27
h,3.475,0.244,3.475,0.244,"{'att': 200, 'def': 19}","{'att': 376, 'def': 26}",9,3,4,0,2.944,w,2017-09-30 15:00:00,1,0,0,3,3.231
a,0.23,1.927,0.23,1.927,"{'att': 336, 'def': 25}","{'att': 192, 'def': 22}",3,9,0,0,0.223,d,2017-10-14 12:30:00,0,1,0,1,-1.697
a,0.807,1.267,0.807,1.267,"{'att': 79, 'def': 21}","{'att': 398, 'def': 19}",6,5,1,2,0.875,l,2017-10-21 15:00:00,0,0,1,0,-0.46
h,0.943,1.087,0.943,1.087,"{'att': 240, 'def': 23}","{'att': 175, 'def': 24}",4,6,1,0,1.181,w,2017-10-28 12:30:00,1,0,0,3,-0.144
a,0.774,1.842,0.774,1.842,"{'att': 212, 'def': 33}","{'att': 169, 'def': 29}",5,7,0,1,0.587,l,2017-11-05 16:30:00,0,0,1,0,-1.068
h,2.574,1.087,2.574,1.087,"{'att': 192, 'def': 20}","{'att': 346, 'def': 16}",14,6,4,1,2.38,w,2017-11-18 17:30:00,1,0,0,3,1.487
h,1.501,0.565,1.501,0.565,"{'att': 245, 'def': 21}","{'att': 283, 'def': 19}",7,5,1,0,2.248,w,2017-11-25 15:00:00,1,0,0,3,0.936
a,1.635,1.293,1.635,0.532,"{'att': 262, 'def': 16}","{'att': 196, 'def': 22}",5,4,4,2,1.618,w,2017-11-28 20:00:00,1,0,0,3,1.103
a,2.068,4.241,2.068,4.241,"{'att': 294, 'def': 15}","{'att': 92, 'def': 20}",8,32,3,1,0.275,w,2017-12-02 17:30:00,1,0,0,3,-2.172
h,1.438,2.03,1.438,2.03,"{'att': 324, 'def': 25}","{'att': 178, 'def': 28}",2,14,1,2,0.9,l,2017-12-10 16:30:00,0,0,1,0,-0.593
h,1.24,0.816,1.24,0.816,"{'att': 233, 'def': 26}","{'att': 360, 'def': 14}",13,6,1,0,1.748,w,2017-12-13 20:00:00,1,0,0,3,0.425
a,0.899,1.076,0.899,1.076,"{'att': 240, 'def': 18}","{'att': 302, 'def': 24}",4,3,2,1,1.088,w,2017-12-17 14:15:00,1,0,0,3,-0.177
a,2.153,1.565,2.153,1.565,"{'att': 245, 'def': 18}","{'att': 229, 'def': 28}",10,5,2,2,1.822,d,2017-12-23 19:45:00,0,1,0,1,0.588
h,1.808,0.786,1.808,0.786,"{'att': 121, 'def': 14}","{'att': 297, 'def': 14}",14,3,2,2,2.157,d,2017-12-26 15:00:00,0,1,0,1,1.021
h,1.872,0.85,1.872,0.85,"{'att': 221, 'def': 22}","{'att': 268, 'def': 18}",11,6,0,0,2.16,d,2017-12-30 17:30:00,0,1,0,1,1.022
a,1.262,1.24,1.262,1.24,"{'att': 163, 'def': 20}","{'att': 286, 'def': 18}",5,8,2,0,1.397,w,2018-01-01 17:30:00,1,0,0,3,0.023
h,1.948,1.476,1.948,1.476,"{'att': 249, 'def': 26}","{'att': 366, 'def': 13}",16,7,3,0,1.718,w,2018-01-15 20:00:00,1,0,0,3,0.472
a,0.861,0.568,0.861,0.568,"{'att': 226, 'def': 19}","{'att': 219, 'def': 17}",8,6,1,0,1.588,w,2018-01-20 15:00:00,1,0,0,3,0.293
a,0.818,2.012,0.818,2.012,"{'att': 267, 'def': 27}","{'att': 267, 'def': 35}",4,15,0,2,0.56,l,2018-01-31 20:00:00,0,0,1,0,-1.194
h,1.634,0.13,0.744,0.13,"{'att': 143, 'def': 18}","{'att': 442, 'def': 23}",14,4,2,0,2.774,w,2018-02-03 15:00:00,1,0,0,3,0.613
a,1.72,0.677,1.72,0.677,"{'att': 170, 'def': 22}","{'att': 322, 'def': 24}",13,4,0,1,2.179,l,2018-02-11 14:15:00,0,0,1,0,1.043
h,1.3,1.69,1.3,1.69,"{'att': 317, 'def': 31}","{'att': 203, 'def': 21}",7,8,2,1,1.029,w,2018-02-25 14:05:00,1,0,0,3,-0.389
a,1.254,0.741,1.254,0.741,"{'att': 109, 'def': 17}","{'att': 335, 'def': 22}",13,4,3,2,1.816,w,2018-03-05 20:00:00,1,0,0,3,0.513
h,0.845,0.777,0.845,0.777,"{'att': 273, 'def': 17}","{'att': 134, 'def': 23}",3,9,2,1,1.412,w,2018-03-10 12:30:00,1,0,0,3,0.068
h,2.144,0.139,2.144,0.139,"{'att': 217, 'def': 25}","{'att': 450, 'def': 18}",16,4,2,0,2.792,w,2018-03-31 15:00:00,1,0,0,3,2.005
a,1.217,3.43,1.217,3.43,"{'att': 364, 'def': 29}","{'att': 170, 'def': 24}",3,17,3,2,0.25,w,2018-04-07 16:30:00,1,0,0,3,-2.213
h,0.64,0.825,0.64,0.825,"{'att': 156, 'def': 27}","{'att': 376, 'def': 19}",11,1,0,1,1.101,l,2018-04-15 15:00:00,0,0,1,0,-0.185
a,1.616,1.183,1.616,1.183,"{'att': 237, 'def': 27}","{'att': 314, 'def': 15}",12,1,2,0,1.73,w,2018-04-18 18:45:00,1,0,0,3,0.433
h,1.547,0.652,1.547,0.652,"{'att': 279, 'def': 32}","{'att': 367, 'def': 21}",8,5,2,1,2.161,w,2018-04-29 15:30:00,1,0,0,3,0.895
a,0.652,0.923,0.652,0.923,"{'att': 160, 'def': 19}","{'att': 378, 'def': 17}",11,3,0,1,1.017,l,2018-05-04 20:00:00,0,0,1,0,-0.27
a,0.596,0.783,0.596,0.783,"{'att': 275, 'def': 28}","{'att': 298, 'def': 31}",6,5,0,0,1.126,d,2018-05-10 19:45:00,0,1,0,1,-0.187
h,0.458,0.654,0.458,0.654,"{'att': 262, 'def': 14}","{'att': 250, 'def': 27}",5,5,1,0,1.083,w,2018-05-13 15:00:00,1,0,0,3,-0.196
