h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.635,2.344,0.635,2.344,"{'att': 413, 'def': 14}","{'att': 114, 'def': 16}",2,8,0,2,0.282,l,2017-08-13 13:30:00,0,0,1,0,-1.71
a,0.973,0.267,0.973,0.267,"{'att': 263, 'def': 19}","{'att': 218, 'def': 28}",5,2,0,1,2.047,l,2017-08-20 13:30:00,0,0,1,0,0.706
h,2.761,0.558,2.761,0.558,"{'att': 295, 'def': 26}","{'att': 97, 'def': 17}",7,0,3,0,2.784,w,2017-08-26 15:00:00,1,0,0,3,2.203
a,1.032,1.486,1.032,1.486,"{'att': 303, 'def': 32}","{'att': 152, 'def': 19}",2,6,1,0,0.951,w,2017-09-10 16:00:00,1,0,0,3,-0.454
h,2.66,0.676,2.66,0.676,"{'att': 208, 'def': 20}","{'att': 137, 'def': 19}",3,5,2,1,2.657,w,2017-09-16 15:00:00,1,0,0,3,1.984
a,1.37,0.507,1.37,0.507,"{'att': 234, 'def': 16}","{'att': 221, 'def': 14}",11,5,0,1,2.137,l,2017-09-24 16:00:00,0,0,1,0,0.863
h,0.28,1.645,0.28,1.645,"{'att': 342, 'def': 16}","{'att': 148, 'def': 21}",2,8,1,1,0.291,d,2017-10-01 16:30:00,0,1,0,1,-1.364
a,0.951,1.714,0.951,0.953,"{'att': 359, 'def': 20}","{'att': 185, 'def': 26}",6,9,2,2,0.746,d,2017-10-15 16:00:00,0,1,0,1,-0.002
h,0.27,0.567,0.27,0.567,"{'att': 180, 'def': 25}","{'att': 270, 'def': 26}",4,3,1,0,0.932,w,2017-10-21 15:00:00,1,0,0,3,-0.297
a,0.516,1.027,0.516,1.027,"{'att': 237, 'def': 20}","{'att': 297, 'def': 20}",5,6,0,1,0.815,l,2017-10-30 20:00:00,0,0,1,0,-0.511
h,0.676,1.287,0.676,1.287,"{'att': 187, 'def': 21}","{'att': 189, 'def': 19}",4,12,0,1,0.826,l,2017-11-04 15:00:00,0,0,1,0,-0.611
a,1.087,2.574,1.087,2.574,"{'att': 346, 'def': 16}","{'att': 192, 'def': 20}",6,14,1,4,0.451,l,2017-11-18 17:30:00,0,0,1,0,-1.487
h,0.86,2.058,0.86,2.058,"{'att': 237, 'def': 25}","{'att': 254, 'def': 28}",10,7,0,3,0.538,l,2017-11-25 15:00:00,0,0,1,0,-1.198
a,1.134,0.845,1.134,0.845,"{'att': 216, 'def': 21}","{'att': 221, 'def': 23}",3,2,2,2,1.618,d,2017-11-28 20:00:00,0,1,0,1,0.289
a,0.52,3.078,0.52,2.317,"{'att': 436, 'def': 31}","{'att': 229, 'def': 25}",0,20,1,3,0.106,l,2017-12-02 12:30:00,0,0,1,0,-1.797
h,0.965,0.444,0.965,0.444,"{'att': 313, 'def': 33}","{'att': 172, 'def': 17}",5,4,2,3,1.87,l,2017-12-09 17:30:00,0,0,1,0,0.521
h,0.571,1.387,0.571,1.387,"{'att': 249, 'def': 21}","{'att': 273, 'def': 26}",2,1,0,1,0.506,l,2017-12-13 19:45:00,0,0,1,0,-0.817
