h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.568,1.642,0.568,1.642,"{'att': 239, 'def': 33}","{'att': 277, 'def': 22}",3,8,1,5,0.549,l,2021-08-14 11:30:00,0,0,1,0,-1.074
h,0.966,1.857,0.966,1.096,"{'att': 114, 'def': 21}","{'att': 374, 'def': 22}",4,6,2,2,0.644,d,2021-08-21 14:00:00,0,1,0,1,-0.13
a,1.521,1.711,1.521,1.711,"{'att': 122, 'def': 15}","{'att': 346, 'def': 24}",9,2,1,1,1.154,d,2021-08-29 13:00:00,0,1,0,1,-0.19
h,0.653,4.402,0.653,4.402,"{'att': 304, 'def': 8}","{'att': 252, 'def': 15}",8,15,0,3,0.045,l,2021-09-12 15:30:00,0,0,1,0,-3.749
a,1.43,1.177,1.43,1.177,"{'att': 144, 'def': 26}","{'att': 338, 'def': 20}",13,10,1,1,1.558,d,2021-09-17 19:00:00,0,1,0,1,0.253
h,1.197,1.99,1.197,1.99,"{'att': 191, 'def': 14}","{'att': 244, 'def': 12}",8,5,1,2,0.824,l,2021-09-25 14:00:00,0,0,1,0,-0.793
h,1.574,0.193,1.574,0.193,"{'att': 108, 'def': 16}","{'att': 291, 'def': 21}",9,4,1,0,2.513,w,2021-10-02 14:00:00,1,0,0,3,1.381
a,0.446,1.831,0.446,1.831,"{'att': 174, 'def': 31}","{'att': 260, 'def': 34}",4,4,0,1,0.348,l,2021-10-16 14:00:00,0,0,1,0,-1.385
h,1.713,0.859,0.952,0.859,"{'att': 144, 'def': 40}","{'att': 280, 'def': 18}",4,2,1,1,2.089,d,2021-10-23 14:00:00,0,1,0,1,0.093
a,1.169,0.662,1.169,0.662,"{'att': 150, 'def': 35}","{'att': 192, 'def': 22}",5,2,2,1,1.823,w,2021-10-31 14:00:00,1,0,0,3,0.507
h,1.966,0.795,1.966,0.795,"{'att': 193, 'def': 22}","{'att': 224, 'def': 18}",5,4,1,1,2.34,d,2021-11-07 14:00:00,0,1,0,1,1.17
a,1.467,2.317,1.467,2.317,"{'att': 230, 'def': 31}","{'att': 307, 'def': 32}",5,8,1,2,0.754,l,2021-11-21 16:30:00,0,0,1,0,-0.851
