h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.436,1.206,1.436,1.206,"{'att': 355, 'def': 28}","{'att': 246, 'def': 24}",13,8,2,0,1.558,w,2022-08-05 19:00:00,1,0,0,3,0.23
h,3.011,0.691,3.011,0.691,"{'att': 279, 'def': 27}","{'att': 196, 'def': 14}",10,5,4,2,2.749,w,2022-08-13 14:00:00,1,0,0,3,2.32
a,1.711,0.211,1.711,0.211,"{'att': 218, 'def': 25}","{'att': 360, 'def': 23}",8,1,3,0,2.601,w,2022-08-20 16:30:00,1,0,0,3,1.499
h,2.474,0.926,2.474,0.926,"{'att': 103, 'def': 19}","{'att': 327, 'def': 22}",17,1,2,1,2.438,w,2022-08-27 16:30:00,1,0,0,3,1.548
h,2.8,0.297,2.8,0.297,"{'att': 168, 'def': 17}","{'att': 278, 'def': 19}",18,3,2,1,2.853,w,2022-08-31 18:30:00,1,0,0,3,2.503
a,1.422,2.029,1.422,2.029,"{'att': 152, 'def': 18}","{'att': 241, 'def': 15}",16,5,1,3,0.943,l,2022-09-04 15:30:00,0,0,1,0,-0.607
a,1.32,0.54,1.32,0.54,"{'att': 181, 'def': 18}","{'att': 277, 'def': 24}",9,3,3,0,2.009,w,2022-09-18 11:00:00,1,0,0,3,0.78
h,2.484,1.503,2.484,0.742,"{'att': 187, 'def': 18}","{'att': 240, 'def': 13}",12,2,3,1,2.105,w,2022-10-01 11:30:00,1,0,0,3,1.743
h,2.82,0.765,2.059,0.765,"{'att': 285, 'def': 17}","{'att': 174, 'def': 16}",14,4,3,2,2.775,w,2022-10-09 15:30:00,1,0,0,3,1.293
a,0.822,2.022,0.822,1.261,"{'att': 199, 'def': 19}","{'att': 340, 'def': 28}",5,8,1,0,0.517,w,2022-10-16 13:00:00,1,0,0,3,-0.439
a,1.579,0.623,1.579,0.623,"{'att': 220, 'def': 23}","{'att': 316, 'def': 15}",8,7,1,1,2.154,d,2022-10-23 13:00:00,0,1,0,1,0.956
h,3.007,0.206,3.007,0.206,"{'att': 148, 'def': 19}","{'att': 315, 'def': 12}",21,2,5,0,2.908,w,2022-10-30 14:00:00,1,0,0,3,2.801
a,2.378,0.279,2.378,0.279,"{'att': 185, 'def': 31}","{'att': 248, 'def': 29}",3,5,1,0,2.816,w,2022-11-06 12:00:00,1,0,0,3,2.1
a,2.28,0.512,2.28,0.512,"{'att': 184, 'def': 14}","{'att': 308, 'def': 17}",4,4,2,0,2.655,w,2022-11-12 19:45:00,1,0,0,3,1.768
h,1.888,1.027,1.888,0.265,"{'att': 197, 'def': 26}","{'att': 371, 'def': 19}",14,1,3,1,2.035,w,2022-12-26 20:00:00,1,0,0,3,1.623
a,3.221,1.157,3.221,1.157,"{'att': 372, 'def': 24}","{'att': 130, 'def': 16}",8,9,4,2,2.653,w,2022-12-31 17:30:00,1,0,0,3,2.064
h,0.971,0.96,0.971,0.96,"{'att': 112, 'def': 15}","{'att': 262, 'def': 22}",9,4,0,0,1.306,d,2023-01-03 19:45:00,0,1,0,1,0.011
a,2.042,1.71,2.042,1.71,"{'att': 253, 'def': 22}","{'att': 220, 'def': 13}",8,8,2,0,1.623,w,2023-01-15 16:30:00,1,0,0,3,0.332
h,2.903,0.272,2.903,0.272,"{'att': 213, 'def': 18}","{'att': 248, 'def': 18}",15,1,3,2,2.863,w,2023-01-22 16:30:00,1,0,0,3,2.63
a,0.69,2.092,0.69,2.092,"{'att': 104, 'def': 18}","{'att': 378, 'def': 21}",11,4,0,1,0.362,l,2023-02-04 12:30:00,0,0,1,0,-1.402
h,1.367,2.175,1.367,2.175,"{'att': 97, 'def': 15}","{'att': 192, 'def': 16}",21,15,1,1,0.745,d,2023-02-11 15:00:00,0,1,0,1,-0.808
h,1.701,2.008,0.94,2.008,"{'att': 158, 'def': 18}","{'att': 322, 'def': 26}",9,7,1,3,1.145,l,2023-02-15 18:30:00,0,0,1,0,-1.068
a,2.86,0.336,2.86,0.336,"{'att': 174, 'def': 19}","{'att': 279, 'def': 19}",14,2,4,2,2.829,w,2023-02-18 12:30:00,1,0,0,3,2.524
a,0.722,0.02,0.722,0.02,"{'att': 151, 'def': 19}","{'att': 283, 'def': 18}",10,2,1,0,2.059,w,2023-02-25 15:00:00,1,0,0,3,0.702
h,3.069,1.604,3.069,1.604,"{'att': 130, 'def': 17}","{'att': 418, 'def': 19}",13,5,4,0,2.379,w,2023-03-01 20:00:00,1,0,0,3,1.465
h,2.463,1.743,2.463,1.743,"{'att': 80, 'def': 20}","{'att': 213, 'def': 15}",31,3,3,2,1.847,w,2023-03-04 15:00:00,1,0,0,3,0.72
a,2.644,0.618,2.644,0.618,"{'att': 254, 'def': 23}","{'att': 341, 'def': 20}",20,5,3,0,2.695,w,2023-03-12 14:00:00,1,0,0,3,2.025
h,1.536,1.192,1.536,1.192,"{'att': 203, 'def': 16}","{'att': 310, 'def': 18}",13,5,4,1,1.602,w,2023-03-19 14:00:00,1,0,0,3,0.344
h,3.295,0.498,2.534,0.498,"{'att': 152, 'def': 18}","{'att': 336, 'def': 20}",6,6,4,1,2.882,w,2023-04-01 14:00:00,1,0,0,3,2.037
a,1.536,4.64,1.536,3.879,"{'att': 278, 'def': 21}","{'att': 193, 'def': 26}",1,19,2,2,0.104,d,2023-04-09 15:30:00,0,1,0,1,-2.343
a,2.718,1.961,1.957,1.2,"{'att': 104, 'def': 16}","{'att': 316, 'def': 20}",10,4,2,2,1.978,d,2023-04-16 13:00:00,0,1,0,1,0.757
h,2.396,1.431,2.396,1.431,"{'att': 104, 'def': 25}","{'att': 265, 'def': 14}",23,3,3,3,2.036,d,2023-04-21 19:00:00,0,1,0,1,0.965
a,0.398,2.012,0.398,2.012,"{'att': 320, 'def': 19}","{'att': 293, 'def': 28}",6,9,1,4,0.299,l,2023-04-26 19:00:00,0,0,1,0,-1.613
h,2.783,0.785,2.783,0.785,"{'att': 299, 'def': 24}","{'att': 309, 'def': 13}",13,8,3,1,2.62,w,2023-05-02 19:00:00,1,0,0,3,1.998
a,1.291,1.372,1.291,1.372,"{'att': 207, 'def': 26}","{'att': 197, 'def': 24}",8,11,2,0,1.301,w,2023-05-07 15:30:00,1,0,0,3,-0.082
h,0.959,2.213,0.959,2.213,"{'att': 346, 'def': 33}","{'att': 191, 'def': 20}",8,2,0,3,0.52,l,2023-05-14 15:30:00,0,0,1,0,-1.254
a,0.49,1.14,0.49,1.14,"{'att': 53, 'def': 19}","{'att': 287, 'def': 17}",11,5,0,1,0.701,l,2023-05-20 16:30:00,0,0,1,0,-0.65
h,3.025,0.388,3.025,0.388,"{'att': 303, 'def': 24}","{'att': 223, 'def': 14}",12,3,5,0,2.869,w,2023-05-28 15:30:00,1,0,0,3,2.637
