h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.268,2.341,0.507,2.341,"{'att': 351, 'def': 19}","{'att': 114, 'def': 18}",4,11,2,2,0.581,d,2022-08-06 11:30:00,0,1,0,1,-1.834
a,1.088,0.975,0.327,0.975,"{'att': 309, 'def': 21}","{'att': 176, 'def': 15}",2,1,0,0,1.48,d,2022-08-13 14:00:00,0,1,0,1,-0.648
h,2.899,1.594,2.899,1.594,"{'att': 231, 'def': 24}","{'att': 145, 'def': 13}",7,8,3,2,2.297,w,2022-08-20 14:00:00,1,0,0,3,1.306
a,0.926,2.474,0.926,2.474,"{'att': 327, 'def': 22}","{'att': 103, 'def': 19}",1,17,1,2,0.397,l,2022-08-27 16:30:00,0,0,1,0,-1.548
h,1.071,1.754,1.071,0.992,"{'att': 310, 'def': 22}","{'att': 198, 'def': 30}",7,4,2,1,0.768,w,2022-08-30 18:30:00,1,0,0,3,0.079
a,0.382,2.678,0.382,2.678,"{'att': 292, 'def': 18}","{'att': 229, 'def': 19}",1,16,1,2,0.125,l,2022-09-03 14:00:00,0,0,1,0,-2.297
a,1.35,1.415,1.35,1.415,"{'att': 218, 'def': 18}","{'att': 306, 'def': 19}",2,2,3,2,1.305,w,2022-09-16 19:00:00,1,0,0,3,-0.066
h,0.684,4.672,0.684,4.672,"{'att': 354, 'def': 11}","{'att': 147, 'def': 18}",5,17,1,4,0.008,l,2022-10-01 14:00:00,0,0,1,0,-3.988
a,0.55,3.437,0.55,2.676,"{'att': 269, 'def': 15}","{'att': 277, 'def': 9}",5,7,1,3,0.062,l,2022-10-09 13:00:00,0,0,1,0,-2.126
h,1.617,1.628,0.856,1.628,"{'att': 132, 'def': 16}","{'att': 299, 'def': 20}",8,4,2,2,1.35,d,2022-10-15 14:00:00,0,1,0,1,-0.772
h,2.892,0.711,2.131,0.711,"{'att': 169, 'def': 15}","{'att': 279, 'def': 15}",8,2,3,0,2.73,w,2022-10-20 18:30:00,1,0,0,3,1.419
a,2.475,1.964,2.475,1.964,"{'att': 279, 'def': 19}","{'att': 181, 'def': 30}",3,8,3,2,1.74,w,2022-10-23 13:00:00,1,0,0,3,0.511
h,1.764,1.192,1.764,1.192,"{'att': 223, 'def': 20}","{'att': 249, 'def': 11}",11,2,0,0,1.792,d,2022-10-29 16:30:00,0,1,0,1,0.573
a,0.844,2.393,0.083,1.632,"{'att': 461, 'def': 13}","{'att': 193, 'def': 16}",1,11,1,2,0.289,l,2022-11-05 15:00:00,0,0,1,0,-1.549
h,1.702,3.377,1.702,3.377,"{'att': 249, 'def': 21}","{'att': 245, 'def': 12}",6,6,1,2,0.4,l,2022-11-13 16:30:00,0,0,1,0,-1.674
a,2.699,0.422,2.699,0.422,"{'att': 243, 'def': 28}","{'att': 326, 'def': 18}",13,2,3,0,2.777,w,2022-12-26 15:00:00,1,0,0,3,2.278
h,1.493,0.699,0.732,0.699,"{'att': 158, 'def': 21}","{'att': 299, 'def': 22}",6,2,2,1,2.126,w,2022-12-31 15:00:00,1,0,0,3,0.033
a,1.335,1.452,1.335,1.452,"{'att': 335, 'def': 22}","{'att': 175, 'def': 28}",4,6,1,0,1.271,w,2023-01-03 19:45:00,1,0,0,3,-0.117
h,0.711,2.399,0.711,2.399,"{'att': 321, 'def': 22}","{'att': 227, 'def': 26}",2,7,2,1,0.3,w,2023-01-12 19:00:00,1,0,0,3,-1.688
a,0.99,1.963,0.229,1.963,"{'att': 221, 'def': 15}","{'att': 148, 'def': 24}",3,13,0,1,0.628,l,2023-01-15 14:00:00,0,0,1,0,-1.734
h,1.093,0.994,1.093,0.994,"{'att': 269, 'def': 29}","{'att': 272, 'def': 21}",7,7,0,1,1.426,l,2023-01-23 20:00:00,0,0,1,0,0.1
a,0.493,1.415,0.493,1.415,"{'att': 434, 'def': 22}","{'att': 141, 'def': 33}",5,5,0,0,0.592,d,2023-02-03 20:00:00,0,1,0,1,-0.921
h,1.697,0.687,1.697,0.687,"{'att': 258, 'def': 23}","{'att': 229, 'def': 20}",6,6,2,0,2.198,w,2023-02-11 15:00:00,1,0,0,3,1.01
a,0.224,2.714,0.224,2.714,"{'att': 375, 'def': 17}","{'att': 186, 'def': 30}",0,10,1,0,0.09,w,2023-02-18 15:00:00,1,0,0,3,-2.49
h,0.913,0.997,0.913,0.997,"{'att': 256, 'def': 27}","{'att': 251, 'def': 29}",6,6,1,1,1.256,d,2023-02-24 20:00:00,0,1,0,1,-0.084
a,1.675,2.444,1.675,1.682,"{'att': 104, 'def': 23}","{'att': 236, 'def': 38}",3,7,2,3,0.818,l,2023-03-06 20:00:00,0,0,1,0,-0.007
h,0.618,2.644,0.618,2.644,"{'att': 341, 'def': 20}","{'att': 254, 'def': 23}",5,20,0,3,0.202,l,2023-03-12 14:00:00,0,0,1,0,-2.025
a,0.601,3.141,0.601,3.141,"{'att': 183, 'def': 26}","{'att': 289, 'def': 24}",6,10,1,2,0.073,l,2023-04-01 14:00:00,0,0,1,0,-2.539
h,0.457,1.233,0.457,1.233,"{'att': 77, 'def': 18}","{'att': 315, 'def': 19}",9,4,0,1,0.635,l,2023-04-08 14:00:00,0,0,1,0,-0.776
a,1.922,2.243,1.922,2.243,"{'att': 202, 'def': 15}","{'att': 217, 'def': 16}",8,5,3,1,1.141,w,2023-04-15 14:00:00,1,0,0,3,-0.321
h,1.438,1.075,1.438,1.075,"{'att': 207, 'def': 17}","{'att': 202, 'def': 32}",1,4,2,1,1.679,w,2023-04-22 11:30:00,1,0,0,3,0.363
a,0.08,0.839,0.08,0.839,"{'att': 260, 'def': 32}","{'att': 245, 'def': 16}",1,7,0,1,0.511,l,2023-04-25 18:45:00,0,0,1,0,-0.759
h,0.432,2.323,0.432,1.562,"{'att': 398, 'def': 21}","{'att': 224, 'def': 24}",2,11,1,2,0.153,l,2023-04-30 13:00:00,0,0,1,0,-1.13
a,0.74,1.674,0.74,0.913,"{'att': 341, 'def': 12}","{'att': 279, 'def': 28}",4,10,0,1,0.582,l,2023-05-03 19:00:00,0,0,1,0,-0.172
h,1.753,2.926,1.753,1.316,"{'att': 197, 'def': 27}","{'att': 298, 'def': 28}",10,4,5,3,0.616,w,2023-05-08 14:00:00,1,0,0,3,0.437
a,1.271,0.15,1.271,0.15,"{'att': 181, 'def': 23}","{'att': 345, 'def': 27}",11,0,2,0,2.434,w,2023-05-13 14:00:00,1,0,0,3,1.121
h,1.955,1.708,1.194,1.708,"{'att': 201, 'def': 22}","{'att': 179, 'def': 15}",12,10,2,2,1.56,d,2023-05-20 14:00:00,0,1,0,1,-0.514
a,1.882,2.748,1.12,2.748,"{'att': 270, 'def': 16}","{'att': 238, 'def': 31}",8,14,1,2,0.846,l,2023-05-28 15:30:00,0,0,1,0,-1.627
