h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.341,1.268,2.341,0.507,"{'att': 114, 'def': 18}","{'att': 351, 'def': 19}",11,4,2,2,2.206,d,2022-08-06 11:30:00,0,1,0,1,1.834
h,2.236,1.645,2.236,1.645,"{'att': 140, 'def': 41}","{'att': 454, 'def': 11}",20,2,1,1,1.77,d,2022-08-15 19:00:00,0,1,0,1,0.591
a,1.523,2.018,1.523,2.018,"{'att': 125, 'def': 19}","{'att': 354, 'def': 20}",16,8,1,2,1.019,l,2022-08-22 19:00:00,0,0,1,0,-0.495
h,4.86,0.181,4.86,0.181,"{'att': 160, 'def': 18}","{'att': 355, 'def': 12}",18,4,9,0,2.997,w,2022-08-27 14:00:00,1,0,0,3,4.679
h,1.761,0.644,1.761,0.644,"{'att': 119, 'def': 12}","{'att': 361, 'def': 17}",13,2,2,1,2.257,w,2022-08-31 19:00:00,1,0,0,3,1.118
a,1.386,1.392,1.386,1.392,"{'att': 146, 'def': 24}","{'att': 254, 'def': 11}",12,10,0,0,1.339,d,2022-09-03 11:30:00,0,1,0,1,-0.006
h,2.152,2.366,2.152,2.366,"{'att': 259, 'def': 20}","{'att': 260, 'def': 15}",13,7,3,3,1.221,d,2022-10-01 14:00:00,0,1,0,1,-0.214
a,0.765,2.82,0.765,2.059,"{'att': 174, 'def': 16}","{'att': 285, 'def': 17}",4,14,2,3,0.138,l,2022-10-09 15:30:00,0,0,1,0,-1.293
h,1.999,0.911,1.999,0.911,"{'att': 456, 'def': 16}","{'att': 239, 'def': 19}",6,17,1,0,2.173,w,2022-10-16 15:30:00,1,0,0,3,1.088
h,2.241,2.486,2.241,1.725,"{'att': 319, 'def': 25}","{'att': 374, 'def': 14}",8,4,1,0,1.191,w,2022-10-19 18:30:00,1,0,0,3,0.515
a,2.198,2.502,2.198,2.502,"{'att': 109, 'def': 20}","{'att': 372, 'def': 15}",13,6,0,1,1.161,l,2022-10-22 11:30:00,0,0,1,0,-0.304
h,1.909,1.613,1.909,1.613,"{'att': 131, 'def': 12}","{'att': 410, 'def': 14}",14,6,1,2,1.576,l,2022-10-29 18:45:00,0,0,1,0,0.296
