h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,2.587,0.246,1.826,0.246,"{'att': 153, 'def': 6}","{'att': 520, 'def': 20}",11,2,2,0,2.865,w,2022-08-07 15:30:00,1,0,0,3,1.58
h,1.691,0.124,1.691,0.124,"{'att': 231, 'def': 19}","{'att': 307, 'def': 6}",11,0,4,0,2.604,w,2022-08-13 14:00:00,1,0,0,3,1.567
a,3.674,2.213,3.674,2.213,"{'att': 122, 'def': 18}","{'att': 350, 'def': 29}",9,9,3,3,2.24,d,2022-08-21 15:30:00,0,1,0,1,1.461
h,2.385,0.092,2.385,0.092,"{'att': 145, 'def': 21}","{'att': 336, 'def': 6}",18,1,4,2,2.87,w,2022-08-27 14:00:00,1,0,0,3,2.293
h,3.838,0.73,3.838,0.73,"{'att': 147, 'def': 23}","{'att': 464, 'def': 10}",13,1,6,0,2.875,w,2022-08-31 18:30:00,1,0,0,3,3.108
a,1.921,0.279,1.921,0.279,"{'att': 149, 'def': 11}","{'att': 483, 'def': 11}",12,2,1,1,2.644,d,2022-09-03 16:30:00,0,1,0,1,1.642
a,1.424,0.311,1.424,0.311,"{'att': 301, 'def': 21}","{'att': 419, 'def': 23}",8,4,3,0,2.367,w,2022-09-17 11:30:00,1,0,0,3,1.113
h,3.011,1.713,3.011,0.952,"{'att': 288, 'def': 19}","{'att': 372, 'def': 19}",17,5,6,3,2.243,w,2022-10-02 13:00:00,1,0,0,3,2.059
h,2.735,0.101,2.735,0.101,"{'att': 227, 'def': 15}","{'att': 508, 'def': 19}",12,0,4,0,2.879,w,2022-10-08 14:00:00,1,0,0,3,2.634
a,0.911,1.999,0.911,1.999,"{'att': 239, 'def': 19}","{'att': 456, 'def': 16}",17,6,0,1,0.618,l,2022-10-16 15:30:00,0,0,1,0,-1.088
h,1.862,0.529,1.101,0.529,"{'att': 276, 'def': 23}","{'att': 231, 'def': 17}",14,5,3,1,2.459,w,2022-10-22 14:00:00,1,0,0,3,0.573
a,0.704,0.694,0.704,0.694,"{'att': 254, 'def': 17}","{'att': 255, 'def': 8}",14,2,1,0,1.305,w,2022-10-29 11:30:00,1,0,0,3,0.01
h,2.393,0.844,1.632,0.083,"{'att': 193, 'def': 16}","{'att': 461, 'def': 13}",11,1,2,1,2.541,w,2022-11-05 15:00:00,1,0,0,3,1.549
h,1.605,3.29,1.605,3.29,"{'att': 63, 'def': 15}","{'att': 214, 'def': 13}",26,6,1,2,0.428,l,2022-11-12 12:30:00,0,0,1,0,-1.685
a,4.162,0.604,4.162,0.604,"{'att': 158, 'def': 20}","{'att': 459, 'def': 17}",13,7,3,1,2.904,w,2022-12-28 20:00:00,1,0,0,3,3.559
h,2.363,0.076,2.363,0.076,"{'att': 145, 'def': 29}","{'att': 339, 'def': 10}",13,2,1,1,2.861,d,2022-12-31 15:00:00,0,1,0,1,2.287
a,1.72,0.494,1.72,0.494,"{'att': 332, 'def': 26}","{'att': 326, 'def': 24}",10,5,1,0,2.42,w,2023-01-05 20:00:00,1,0,0,3,1.226
a,0.737,1.982,0.737,1.982,"{'att': 182, 'def': 11}","{'att': 461, 'def': 16}",10,9,1,2,0.399,l,2023-01-14 12:30:00,0,0,1,0,-1.245
h,2.342,1.165,2.342,1.165,"{'att': 265, 'def': 21}","{'att': 333, 'def': 17}",11,8,4,2,2.218,w,2023-01-19 19:00:00,1,0,0,3,1.177
h,3.328,0.469,2.566,0.469,"{'att': 301, 'def': 15}","{'att': 323, 'def': 17}",9,4,3,0,2.892,w,2023-01-22 14:00:00,1,0,0,3,2.097
a,0.774,1.422,0.774,1.422,"{'att': 174, 'def': 30}","{'att': 283, 'def': 14}",5,3,0,1,0.784,l,2023-02-05 16:30:00,0,0,1,0,-0.648
h,3.61,0.275,2.849,0.275,"{'att': 178, 'def': 22}","{'att': 354, 'def': 15}",7,4,3,1,2.952,w,2023-02-12 16:30:00,1,0,0,3,2.573
a,2.008,1.701,2.008,0.94,"{'att': 322, 'def': 26}","{'att': 158, 'def': 18}",7,9,3,1,1.579,w,2023-02-15 18:30:00,1,0,0,3,1.068
a,2.81,1.127,2.81,1.127,"{'att': 127, 'def': 17}","{'att': 317, 'def': 8}",16,1,1,1,2.652,d,2023-02-18 15:00:00,0,1,0,1,1.682
a,2.982,1.085,2.982,1.085,"{'att': 212, 'def': 28}","{'att': 453, 'def': 14}",15,4,4,1,2.6,w,2023-02-25 17:30:00,1,0,0,3,1.897
h,1.341,0.36,1.341,0.36,"{'att': 232, 'def': 22}","{'att': 320, 'def': 22}",12,7,2,0,2.197,w,2023-03-04 12:30:00,1,0,0,3,0.982
a,2.188,0.185,1.427,0.185,"{'att': 163, 'def': 30}","{'att': 296, 'def': 17}",8,0,1,0,2.814,w,2023-03-11 17:30:00,1,0,0,3,1.242
h,3.012,0.318,3.012,0.318,"{'att': 220, 'def': 20}","{'att': 458, 'def': 18}",18,3,4,1,2.877,w,2023-04-01 11:30:00,1,0,0,3,2.694
a,3.06,0.493,2.299,0.493,"{'att': 160, 'def': 18}","{'att': 494, 'def': 9}",11,1,4,1,2.871,w,2023-04-08 16:30:00,1,0,0,3,1.806
h,1.607,1.927,0.846,1.927,"{'att': 192, 'def': 20}","{'att': 414, 'def': 19}",2,7,3,1,1.088,w,2023-04-15 16:30:00,1,0,0,3,-1.081
h,2.012,0.398,2.012,0.398,"{'att': 293, 'def': 28}","{'att': 320, 'def': 19}",9,6,4,1,2.544,w,2023-04-26 19:00:00,1,0,0,3,1.613
a,2.323,0.432,1.562,0.432,"{'att': 224, 'def': 24}","{'att': 398, 'def': 21}",11,2,2,1,2.749,w,2023-04-30 13:00:00,1,0,0,3,1.13
h,2.999,0.492,2.999,0.492,"{'att': 164, 'def': 24}","{'att': 393, 'def': 12}",15,2,3,0,2.807,w,2023-05-03 19:00:00,1,0,0,3,2.507
h,2.835,0.141,2.074,0.141,"{'att': 90, 'def': 12}","{'att': 434, 'def': 19}",14,0,2,1,2.915,w,2023-05-06 14:00:00,1,0,0,3,1.933
a,1.043,1.186,1.043,1.186,"{'att': 223, 'def': 13}","{'att': 381, 'def': 15}",9,1,3,0,1.196,w,2023-05-14 13:00:00,1,0,0,3,-0.143
h,1.206,1.156,1.206,1.156,"{'att': 223, 'def': 23}","{'att': 434, 'def': 19}",12,7,1,0,1.387,w,2023-05-21 15:00:00,1,0,0,3,0.049
a,1.93,2.115,1.93,2.115,"{'att': 196, 'def': 15}","{'att': 392, 'def': 33}",9,6,1,1,1.27,d,2023-05-24 19:00:00,0,1,0,1,-0.185
a,1.186,1.439,1.186,1.439,"{'att': 176, 'def': 12}","{'att': 260, 'def': 32}",11,12,0,1,1.129,l,2023-05-28 15:30:00,0,0,1,0,-0.252
