h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,4.367,1.886,3.606,1.125,"{'att': 110, 'def': 16}","{'att': 369, 'def': 16}",17,5,4,1,2.725,w,2023-08-12 14:00:00,1,0,0,3,2.482
a,3.156,2.688,3.156,2.688,"{'att': 263, 'def': 35}","{'att': 327, 'def': 24}",14,6,4,1,1.675,w,2023-08-19 14:00:00,1,0,0,3,0.467
h,1.374,2.953,1.374,2.953,"{'att': 80, 'def': 21}","{'att': 283, 'def': 10}",23,7,1,3,0.438,l,2023-08-26 16:30:00,0,0,1,0,-1.578
h,1.323,0.905,1.323,0.905,"{'att': 273, 'def': 27}","{'att': 360, 'def': 30}",9,7,3,1,1.729,w,2023-09-02 16:30:00,1,0,0,3,0.418
a,1.939,0.72,1.939,0.72,"{'att': 289, 'def': 22}","{'att': 517, 'def': 23}",4,5,3,1,2.316,w,2023-09-16 14:00:00,1,0,0,3,1.219
h,2.145,1.59,2.145,1.59,"{'att': 156, 'def': 28}","{'att': 352, 'def': 35}",8,4,3,1,1.81,w,2023-09-24 13:00:00,1,0,0,3,0.555
a,1.728,1.907,1.728,1.907,"{'att': 146, 'def': 34}","{'att': 321, 'def': 33}",11,15,1,6,1.243,l,2023-09-30 11:30:00,0,0,1,0,-0.179
h,2.232,2.51,2.232,1.749,"{'att': 324, 'def': 21}","{'att': 277, 'def': 36}",4,15,2,2,1.184,d,2023-10-08 13:00:00,0,1,0,1,0.483
a,0.964,0.963,0.964,0.963,"{'att': 337, 'def': 23}","{'att': 350, 'def': 24}",4,7,1,2,1.333,l,2023-10-21 14:00:00,0,0,1,0,0.001
h,1.32,0.553,1.32,0.553,"{'att': 183, 'def': 24}","{'att': 570, 'def': 29}",8,9,1,1,1.991,d,2023-10-29 14:00:00,0,1,0,1,0.767
a,0.442,0.618,0.442,0.618,"{'att': 84, 'def': 9}","{'att': 534, 'def': 13}",11,0,1,1,1.064,d,2023-11-04 15:00:00,0,1,0,1,-0.175
h,1.086,0.844,1.086,0.844,"{'att': 201, 'def': 16}","{'att': 413, 'def': 33}",4,13,1,1,1.553,d,2023-11-12 14:00:00,0,1,0,1,0.242
