h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.453,1.908,1.453,1.146,"{'att': 182, 'def': 31}","{'att': 282, 'def': 20}",7,11,2,2,0.983,d,2023-08-13 13:00:00,0,1,0,1,0.307
h,2.539,2.446,2.539,2.446,"{'att': 197, 'def': 20}","{'att': 313, 'def': 25}",12,12,2,0,1.473,w,2023-08-19 16:30:00,1,0,0,3,0.093
a,2.261,0.484,2.261,0.484,"{'att': 200, 'def': 26}","{'att': 316, 'def': 31}",20,6,2,0,2.611,w,2023-08-26 11:30:00,1,0,0,3,1.778
a,2.398,1.666,2.398,1.666,"{'att': 271, 'def': 22}","{'att': 318, 'def': 38}",16,7,5,2,1.898,w,2023-09-02 14:00:00,1,0,0,3,0.732
h,2.159,0.791,2.159,0.791,"{'att': 133, 'def': 28}","{'att': 306, 'def': 21}",21,4,2,1,2.321,w,2023-09-16 14:00:00,1,0,0,3,1.368
a,2.212,2.343,2.212,1.582,"{'att': 187, 'def': 28}","{'att': 282, 'def': 31}",9,4,2,2,1.271,d,2023-09-24 13:00:00,0,1,0,1,0.63
h,2.188,1.123,2.188,1.123,"{'att': 218, 'def': 29}","{'att': 320, 'def': 20}",18,7,2,1,2.163,w,2023-09-30 16:30:00,1,0,0,3,1.065
a,2.379,0.848,2.379,0.848,"{'att': 99, 'def': 21}","{'att': 300, 'def': 25}",15,6,1,0,2.436,w,2023-10-07 11:30:00,1,0,0,3,1.531
h,1.635,0.746,1.635,0.746,"{'att': 284, 'def': 23}","{'att': 383, 'def': 28}",13,5,2,0,2.08,w,2023-10-23 19:00:00,1,0,0,3,0.889
a,0.989,0.562,0.989,0.562,"{'att': 95, 'def': 23}","{'att': 473, 'def': 34}",12,3,2,1,1.784,w,2023-10-27 19:00:00,1,0,0,3,0.427
h,0.959,4.059,0.959,3.297,"{'att': 310, 'def': 31}","{'att': 165, 'def': 30}",4,8,1,4,0.061,l,2023-11-06 20:00:00,0,0,1,0,-2.338
a,0.432,1.909,0.432,1.909,"{'att': 256, 'def': 29}","{'att': 381, 'def': 37}",5,6,1,2,0.334,l,2023-11-11 12:30:00,0,0,1,0,-1.477
