h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.321,1.142,0.438,1.142,"{'att': 338, 'def': 28}","{'att': 189, 'def': 30}",4,5,1,0,1.53,w,2014-08-23 18:00:00,1,0,0,3,-0.703
a,1.132,1.969,1.132,1.07,"{'att': 292, 'def': 19}","{'att': 182, 'def': 30}",4,5,0,3,0.709,l,2014-08-29 21:00:00,0,0,1,0,0.062
h,0.82,0.358,0.82,0.358,"{'att': 128, 'def': 13}","{'att': 241, 'def': 27}",7,1,0,0,1.753,d,2014-09-13 17:00:00,0,1,0,1,0.461
a,0.446,2.762,0.446,2.762,"{'att': 99, 'def': 18}","{'att': 264, 'def': 33}",6,2,2,2,0.063,d,2014-09-20 21:00:00,0,1,0,1,-2.316
h,0.279,0.646,0.279,0.646,"{'att': 293, 'def': 31}","{'att': 96, 'def': 21}",4,7,0,0,0.872,d,2014-09-24 21:00:00,0,1,0,1,-0.368
a,0.619,0.704,0.619,0.704,"{'att': 152, 'def': 25}","{'att': 226, 'def': 20}",4,6,0,1,1.227,l,2014-09-28 11:00:00,0,0,1,0,-0.085
h,2.2,0.852,1.457,0.852,"{'att': 186, 'def': 26}","{'att': 209, 'def': 25}",9,3,2,1,2.414,w,2014-10-04 21:00:00,1,0,0,3,0.605
a,1.413,0.396,0.67,0.396,"{'att': 254, 'def': 39}","{'att': 132, 'def': 35}",11,2,2,1,2.368,w,2014-10-18 21:00:00,1,0,0,3,0.274
h,3.904,0.395,3.161,0.395,"{'att': 228, 'def': 37}","{'att': 137, 'def': 29}",9,2,4,0,2.953,w,2014-10-26 11:00:00,1,0,0,3,2.766
a,1.468,0.113,1.468,0.113,"{'att': 207, 'def': 22}","{'att': 173, 'def': 27}",6,3,1,0,2.709,w,2014-11-01 21:00:00,1,0,0,3,1.355
h,2.156,0.783,1.413,0.783,"{'att': 185, 'def': 25}","{'att': 215, 'def': 22}",3,2,2,1,2.453,w,2014-11-08 21:00:00,1,0,0,3,0.63
a,0.172,2.305,0.172,2.305,"{'att': 198, 'def': 23}","{'att': 227, 'def': 41}",3,6,1,3,0.071,l,2014-11-22 15:00:00,0,0,1,0,-2.132
h,1.16,4.151,1.16,4.151,"{'att': 290, 'def': 26}","{'att': 185, 'def': 20}",2,5,1,2,0.095,l,2014-11-29 19:00:00,0,0,1,0,-2.991
a,0.375,2.644,0.375,1.901,"{'att': 245, 'def': 30}","{'att': 115, 'def': 26}",6,3,1,0,0.119,w,2014-12-06 21:00:00,1,0,0,3,-1.526
h,1.101,1.103,1.101,1.103,"{'att': 278, 'def': 27}","{'att': 166, 'def': 29}",6,5,1,0,1.365,w,2014-12-13 21:00:00,1,0,0,3,-0.001
a,1.435,0.508,1.435,0.508,"{'att': 146, 'def': 26}","{'att': 213, 'def': 30}",3,2,2,1,2.153,w,2014-12-21 18:00:00,1,0,0,3,0.927
h,0.575,1.381,0.575,0.637,"{'att': 66, 'def': 29}","{'att': 209, 'def': 30}",4,3,1,2,0.562,l,2015-01-03 21:00:00,0,0,1,0,-0.063
h,0.496,0.733,0.496,0.733,"{'att': 248, 'def': 29}","{'att': 205, 'def': 26}",5,1,1,1,1.051,d,2015-01-10 17:00:00,0,1,0,1,-0.236
a,0.364,1.945,0.364,1.945,"{'att': 227, 'def': 35}","{'att': 194, 'def': 26}",2,5,0,2,0.263,l,2015-01-18 20:00:00,0,0,1,0,-1.581
a,1.257,0.959,1.257,0.959,"{'att': 186, 'def': 31}","{'att': 217, 'def': 29}",2,5,1,1,1.666,d,2015-01-25 16:00:00,0,1,0,1,0.297
h,1.688,0.656,1.688,0.656,"{'att': 198, 'def': 37}","{'att': 168, 'def': 25}",2,7,1,0,2.228,w,2015-02-02 19:45:00,1,0,0,3,1.032
a,0.449,3.087,0.449,1.6,"{'att': 126, 'def': 27}","{'att': 209, 'def': 25}",2,4,1,4,0.05,l,2015-02-07 19:00:00,0,0,1,0,-1.151
h,1.561,0.698,0.817,0.698,"{'att': 94, 'def': 27}","{'att': 224, 'def': 17}",8,3,0,2,2.095,l,2015-02-14 21:00:00,0,0,1,0,0.119
a,1.639,1.222,1.639,1.222,"{'att': 290, 'def': 12}","{'att': 86, 'def': 35}",5,14,1,0,1.738,w,2015-02-21 15:00:00,1,0,0,3,0.417
h,1.617,2.021,1.617,2.021,"{'att': 191, 'def': 25}","{'att': 180, 'def': 30}",8,4,3,2,1.039,w,2015-02-28 21:00:00,1,0,0,3,-0.404
a,0.109,1.486,0.109,1.486,"{'att': 163, 'def': 27}","{'att': 98, 'def': 24}",1,5,0,1,0.249,l,2015-03-07 21:00:00,0,0,1,0,-1.378
h,1.643,0.926,1.643,0.926,"{'att': 215, 'def': 37}","{'att': 245, 'def': 34}",6,6,2,0,1.912,w,2015-03-15 16:00:00,1,0,0,3,0.717
a,0.787,0.578,0.787,0.578,"{'att': 132, 'def': 30}","{'att': 129, 'def': 42}",3,1,0,1,1.57,l,2015-03-21 17:00:00,0,0,1,0,0.209
h,1.942,0.433,1.942,0.433,"{'att': 161, 'def': 25}","{'att': 166, 'def': 33}",7,2,1,1,2.554,d,2015-04-04 21:00:00,0,1,0,1,1.51
a,0.429,0.79,0.429,0.79,"{'att': 193, 'def': 28}","{'att': 196, 'def': 23}",0,2,0,1,0.876,l,2015-04-07 21:00:00,0,0,1,0,-0.361
h,0.67,2.525,0.67,2.525,"{'att': 161, 'def': 24}","{'att': 196, 'def': 38}",6,8,2,2,0.194,d,2015-04-11 17:00:00,0,1,0,1,-1.855
a,1.043,3.037,1.043,2.293,"{'att': 350, 'def': 28}","{'att': 127, 'def': 24}",4,15,1,3,0.205,l,2015-04-18 19:00:00,0,0,1,0,-1.25
h,1.321,1.162,1.321,1.162,"{'att': 114, 'def': 24}","{'att': 199, 'def': 24}",5,4,1,1,1.481,d,2015-04-26 11:00:00,0,1,0,1,0.159
a,1.162,2.424,1.162,2.424,"{'att': 308, 'def': 32}","{'att': 137, 'def': 20}",5,14,0,1,0.497,l,2015-04-29 19:00:00,0,0,1,0,-1.262
h,3.77,1.58,3.027,1.58,"{'att': 163, 'def': 38}","{'att': 225, 'def': 21}",8,2,1,2,2.642,l,2015-05-03 20:00:00,0,0,1,0,1.447
a,2.144,1.846,2.144,1.846,"{'att': 111, 'def': 26}","{'att': 156, 'def': 19}",2,10,2,1,1.579,w,2015-05-10 18:00:00,1,0,0,3,0.297
a,0.853,1.159,0.853,1.159,"{'att': 202, 'def': 25}","{'att': 198, 'def': 23}",3,6,1,2,1.023,l,2015-05-17 18:00:00,0,0,1,0,-0.305
h,0.699,2.651,0.699,2.651,"{'att': 222, 'def': 25}","{'att': 161, 'def': 18}",9,4,2,3,0.186,l,2015-05-23 17:30:00,0,0,1,0,-1.952
