h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.749,1.172,1.749,1.172,"{'att': 213, 'def': 20}","{'att': 226, 'def': 24}",4,8,1,1,1.824,d,2014-08-23 20:00:00,0,1,0,1,0.577
h,1.969,1.132,1.07,1.132,"{'att': 182, 'def': 30}","{'att': 292, 'def': 19}",5,4,3,0,2.057,w,2014-08-29 21:00:00,1,0,0,3,-0.062
h,1.862,1.092,1.862,0.349,"{'att': 179, 'def': 23}","{'att': 295, 'def': 27}",7,5,3,1,2.038,w,2014-09-14 16:00:00,1,0,0,3,1.513
a,1.543,0.235,0.799,0.235,"{'att': 303, 'def': 23}","{'att': 224, 'def': 28}",4,1,3,0,2.592,w,2014-09-22 19:45:00,1,0,0,3,0.565
h,1.264,0.117,1.264,0.117,"{'att': 176, 'def': 19}","{'att': 313, 'def': 25}",2,3,3,0,2.361,w,2014-09-25 21:00:00,1,0,0,3,1.148
a,0.555,0.763,0.555,0.763,"{'att': 232, 'def': 18}","{'att': 199, 'def': 31}",2,4,1,1,1.145,d,2014-09-28 18:00:00,0,1,0,1,-0.208
h,1.019,1.688,1.019,0.945,"{'att': 219, 'def': 22}","{'att': 176, 'def': 31}",2,1,3,1,0.791,w,2014-10-04 15:00:00,1,0,0,3,0.074
a,0.564,0.995,0.564,0.995,"{'att': 151, 'def': 31}","{'att': 244, 'def': 23}",2,4,0,3,0.894,l,2014-10-19 16:00:00,0,0,1,0,-0.431
h,1.185,0.499,1.185,0.499,"{'att': 251, 'def': 26}","{'att': 244, 'def': 29}",3,3,3,1,1.938,w,2014-10-25 19:00:00,1,0,0,3,0.686
a,0.339,0.953,0.339,0.953,"{'att': 283, 'def': 28}","{'att': 152, 'def': 27}",2,9,3,1,0.706,w,2014-11-02 16:00:00,1,0,0,3,-0.614
h,0.766,0.768,0.766,0.768,"{'att': 234, 'def': 33}","{'att': 210, 'def': 30}",4,3,0,0,1.293,d,2014-11-09 18:00:00,0,1,0,1,-0.001
a,1.482,1.079,1.482,1.079,"{'att': 94, 'def': 22}","{'att': 275, 'def': 27}",10,3,1,2,1.666,l,2014-11-23 16:00:00,0,0,1,0,0.404
h,1.15,1.952,1.15,1.952,"{'att': 357, 'def': 16}","{'att': 134, 'def': 27}",4,12,0,1,0.715,l,2014-11-30 20:00:00,0,0,1,0,-0.802
a,0.652,1.18,0.652,1.18,"{'att': 149, 'def': 21}","{'att': 252, 'def': 38}",6,6,1,1,0.786,d,2014-12-07 20:00:00,0,1,0,1,-0.529
h,3.015,0.604,3.015,0.604,"{'att': 309, 'def': 26}","{'att': 175, 'def': 25}",4,1,3,0,2.82,w,2014-12-13 17:00:00,1,0,0,3,2.412
a,1.495,0.321,1.495,0.321,"{'att': 207, 'def': 15}","{'att': 120, 'def': 29}",4,2,1,0,2.555,w,2014-12-20 19:00:00,1,0,0,3,1.174
h,0.709,2.635,0.709,1.891,"{'att': 238, 'def': 35}","{'att': 138, 'def': 20}",3,7,2,1,0.245,w,2015-01-04 16:00:00,1,0,0,3,-1.182
a,0.298,2.226,0.298,1.483,"{'att': 273, 'def': 32}","{'att': 147, 'def': 37}",3,6,1,1,0.119,d,2015-01-10 19:00:00,0,1,0,1,-1.185
h,2.24,0.822,2.24,0.822,"{'att': 76, 'def': 26}","{'att': 270, 'def': 18}",12,1,3,2,2.422,w,2015-01-17 17:00:00,1,0,0,3,1.417
h,2.665,1.979,1.922,0.492,"{'att': 215, 'def': 37}","{'att': 168, 'def': 27}",7,7,3,1,1.872,w,2015-01-25 20:00:00,1,0,0,3,1.429
a,0.656,1.688,0.656,1.688,"{'att': 168, 'def': 25}","{'att': 198, 'def': 37}",7,2,0,1,0.549,l,2015-02-02 19:45:00,0,0,1,0,-1.032
a,1.495,1.579,1.495,1.579,"{'att': 136, 'def': 31}","{'att': 189, 'def': 31}",4,5,2,1,1.297,w,2015-02-08 18:00:00,1,0,0,3,-0.084
h,2.146,0.65,1.403,0.65,"{'att': 197, 'def': 33}","{'att': 253, 'def': 27}",8,1,1,0,2.509,w,2015-02-15 11:00:00,1,0,0,3,0.753
a,1.892,1.085,1.892,0.342,"{'att': 191, 'def': 30}","{'att': 208, 'def': 39}",12,4,2,1,1.964,w,2015-02-21 17:00:00,1,0,0,3,1.55
h,1.345,0.378,1.345,0.378,"{'att': 250, 'def': 23}","{'att': 202, 'def': 30}",4,3,2,0,2.18,w,2015-03-01 11:00:00,1,0,0,3,0.967
a,0.556,0.985,0.556,0.985,"{'att': 122, 'def': 26}","{'att': 211, 'def': 30}",2,7,1,1,0.839,d,2015-03-08 20:00:00,0,1,0,1,-0.429
h,2.871,0.182,2.128,0.182,"{'att': 238, 'def': 22}","{'att': 203, 'def': 31}",10,3,2,0,2.928,w,2015-03-13 19:45:00,1,0,0,3,1.946
a,2.375,0.247,2.375,0.247,"{'att': 250, 'def': 20}","{'att': 286, 'def': 28}",8,5,4,0,2.819,w,2015-03-20 19:45:00,1,0,0,3,2.128
h,1.269,0.279,1.269,0.279,"{'att': 134, 'def': 26}","{'att': 201, 'def': 33}",5,7,0,0,2.286,d,2015-04-05 16:00:00,0,1,0,1,0.991
a,1.129,1.308,1.129,1.308,"{'att': 183, 'def': 24}","{'att': 167, 'def': 20}",3,4,1,1,1.138,d,2015-04-09 19:00:00,0,1,0,1,-0.179
h,0.823,0.342,0.823,0.342,"{'att': 204, 'def': 25}","{'att': 270, 'def': 26}",5,2,3,0,1.799,w,2015-04-13 19:30:00,1,0,0,3,0.481
a,1.384,2.051,0.641,2.051,"{'att': 392, 'def': 26}","{'att': 148, 'def': 35}",5,11,0,2,0.818,l,2015-04-18 15:00:00,0,0,1,0,-1.411
h,1.97,0.21,1.227,0.21,"{'att': 142, 'def': 22}","{'att': 290, 'def': 31}",4,3,4,0,2.747,w,2015-04-27 19:45:00,1,0,0,3,1.017
a,1.258,0.487,1.258,0.487,"{'att': 180, 'def': 31}","{'att': 161, 'def': 24}",8,4,1,1,2.025,d,2015-04-30 19:00:00,0,1,0,1,0.771
h,1.408,0.996,1.408,0.996,"{'att': 144, 'def': 20}","{'att': 346, 'def': 25}",5,1,3,1,1.734,w,2015-05-03 18:00:00,1,0,0,3,0.412
a,1.599,2.732,1.599,1.989,"{'att': 256, 'def': 15}","{'att': 128, 'def': 21}",7,10,2,2,0.72,d,2015-05-09 19:00:00,0,1,0,1,-0.39
h,2.191,0.595,2.191,0.595,"{'att': 211, 'def': 34}","{'att': 216, 'def': 24}",13,6,1,1,2.487,d,2015-05-17 18:00:00,0,1,0,1,1.597
a,2.174,1.388,2.174,1.388,"{'att': 154, 'def': 31}","{'att': 127, 'def': 38}",3,4,3,2,2.032,w,2015-05-23 17:30:00,1,0,0,3,0.785
