h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.486,1.806,0.486,1.806,"{'att': 340, 'def': 12}","{'att': 117, 'def': 29}",1,17,1,2,0.298,l,2015-08-24 00:00:00,0,0,1,0,-1.32
a,0.069,0.825,0.069,0.825,"{'att': 297, 'def': 34}","{'att': 130, 'def': 35}",0,10,0,0,0.48,d,2015-08-31 00:30:00,0,1,0,1,-0.757
h,1.092,0.887,1.092,0.887,"{'att': 179, 'def': 20}","{'att': 197, 'def': 13}",2,7,1,1,1.573,d,2015-09-11 22:30:00,0,1,0,1,0.205
a,0.866,4.012,0.866,2.526,"{'att': 316, 'def': 17}","{'att': 154, 'def': 32}",2,13,1,4,0.074,l,2015-09-20 22:30:00,0,0,1,0,-1.659
h,0.537,1.401,0.537,1.401,"{'att': 132, 'def': 24}","{'att': 233, 'def': 42}",1,4,2,2,0.573,d,2015-09-23 22:00:00,0,1,0,1,-0.864
a,0.59,1.098,0.59,1.098,"{'att': 256, 'def': 13}","{'att': 165, 'def': 25}",3,8,0,3,0.883,l,2015-09-27 20:15:00,0,0,1,0,-0.508
h,1.061,0.115,1.061,0.115,"{'att': 224, 'def': 25}","{'att': 160, 'def': 25}",5,1,1,0,2.28,w,2015-10-04 20:15:00,1,0,0,3,0.947
a,1.551,1.603,1.551,1.603,"{'att': 312, 'def': 10}","{'att': 229, 'def': 32}",5,10,0,3,1.353,l,2015-10-17 18:00:00,0,0,1,0,-0.052
h,1.079,3.287,1.079,3.287,"{'att': 111, 'def': 29}","{'att': 172, 'def': 32}",6,4,0,4,0.23,l,2015-10-25 15:00:00,0,0,1,0,-2.208
a,1.145,2.261,1.145,1.518,"{'att': 250, 'def': 28}","{'att': 133, 'def': 24}",4,5,0,3,0.466,l,2015-10-31 21:15:00,0,0,1,0,-0.373
h,0.822,0.572,0.822,0.572,"{'att': 177, 'def': 24}","{'att': 214, 'def': 15}",6,1,1,1,1.519,d,2015-11-07 21:15:00,0,1,0,1,0.25
a,2.672,1.985,2.672,1.143,"{'att': 222, 'def': 21}","{'att': 203, 'def': 19}",7,9,3,0,1.958,w,2015-11-22 15:00:00,1,0,0,3,1.529
h,1.108,0.943,1.108,0.943,"{'att': 183, 'def': 21}","{'att': 220, 'def': 25}",4,5,0,1,1.497,l,2015-11-27 23:30:00,0,0,1,0,0.165
a,1.014,1.407,1.014,1.407,"{'att': 246, 'def': 27}","{'att': 148, 'def': 28}",2,4,1,1,0.998,d,2015-12-07 23:30:00,0,1,0,1,-0.393
