h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.003,2.675,1.003,2.675,"{'att': 99, 'def': 39}","{'att': 343, 'def': 21}",8,2,0,3,0.315,l,2018-08-17 23:15:00,0,0,1,0,-1.671
a,1.581,0.581,1.581,0.581,"{'att': 118, 'def': 22}","{'att': 326, 'def': 29}",10,2,0,0,2.227,d,2018-08-25 19:15:00,0,1,0,1,1.0
h,1.183,0.785,1.183,0.785,"{'att': 149, 'def': 21}","{'att': 303, 'def': 25}",5,2,1,0,1.716,w,2018-09-02 18:45:00,1,0,0,3,0.398
a,1.223,1.046,1.223,1.046,"{'att': 162, 'def': 24}","{'att': 435, 'def': 31}",5,4,0,0,1.479,d,2018-09-15 16:30:00,0,1,0,1,0.177
h,1.553,0.947,1.553,0.947,"{'att': 126, 'def': 15}","{'att': 298, 'def': 27}",7,4,2,2,1.86,d,2018-09-23 18:00:00,0,1,0,1,0.606
a,1.56,0.831,1.56,0.831,"{'att': 172, 'def': 26}","{'att': 341, 'def': 31}",5,5,1,0,1.986,w,2018-09-27 20:00:00,1,0,0,3,0.729
h,2.091,0.41,2.091,0.41,"{'att': 70, 'def': 17}","{'att': 406, 'def': 18}",10,1,1,0,2.617,w,2018-09-30 18:45:00,1,0,0,3,1.68
a,0.281,0.574,0.281,0.574,"{'att': 182, 'def': 14}","{'att': 385, 'def': 32}",1,10,0,1,0.924,l,2018-10-07 14:15:00,0,0,1,0,-0.292
h,0.821,0.502,0.821,0.502,"{'att': 206, 'def': 32}","{'att': 277, 'def': 12}",6,4,0,1,1.596,l,2018-10-21 18:45:00,0,0,1,0,0.319
a,0.554,2.531,0.554,2.531,"{'att': 80, 'def': 20}","{'att': 351, 'def': 34}",5,8,0,2,0.182,l,2018-10-28 10:00:00,0,0,1,0,-1.977
h,1.861,2.254,1.861,2.254,"{'att': 151, 'def': 24}","{'att': 266, 'def': 19}",8,8,3,3,1.116,d,2018-11-04 19:45:00,0,1,0,1,-0.393
a,2.641,4.118,2.641,3.374,"{'att': 274, 'def': 18}","{'att': 250, 'def': 38}",9,18,4,3,0.582,w,2018-11-11 15:15:00,1,0,0,3,-0.734
a,0.991,1.209,0.991,1.209,"{'att': 216, 'def': 22}","{'att': 409, 'def': 27}",12,4,1,2,1.159,l,2018-11-25 19:45:00,0,0,1,0,-0.218
h,1.314,1.392,1.314,1.392,"{'att': 232, 'def': 33}","{'att': 293, 'def': 26}",4,8,1,0,1.305,w,2018-12-02 11:00:00,1,0,0,3,-0.078
h,2.247,0.672,1.504,0.672,"{'att': 194, 'def': 26}","{'att': 349, 'def': 30}",2,3,2,0,2.514,w,2018-12-09 19:45:00,1,0,0,3,0.832
a,1.815,0.523,0.951,0.523,"{'att': 153, 'def': 19}","{'att': 290, 'def': 40}",9,4,3,1,2.484,w,2018-12-16 15:15:00,1,0,0,3,0.428
h,1.4,2.07,1.4,1.326,"{'att': 164, 'def': 15}","{'att': 325, 'def': 24}",3,6,1,1,0.784,d,2018-12-22 12:00:00,0,1,0,1,0.074
a,1.036,1.338,0.293,1.338,"{'att': 123, 'def': 12}","{'att': 383, 'def': 40}",2,4,1,2,1.016,l,2019-01-05 19:45:00,0,0,1,0,-1.045
h,0.689,0.758,0.689,0.758,"{'att': 149, 'def': 22}","{'att': 373, 'def': 31}",6,4,1,2,1.308,l,2019-01-13 19:45:00,0,0,1,0,-0.069
h,1.418,0.918,0.675,0.918,"{'att': 224, 'def': 32}","{'att': 338, 'def': 29}",7,9,3,2,1.81,w,2019-01-20 11:00:00,1,0,0,3,-0.243
a,0.322,1.091,0.322,1.091,"{'att': 150, 'def': 14}","{'att': 246, 'def': 39}",5,12,0,1,0.599,l,2019-01-27 00:00:00,0,0,1,0,-0.768
h,1.019,0.554,0.275,0.554,"{'att': 173, 'def': 12}","{'att': 387, 'def': 46}",2,10,1,0,1.887,w,2019-02-03 15:15:00,1,0,0,3,-0.278
a,0.126,2.081,0.126,2.081,"{'att': 153, 'def': 22}","{'att': 411, 'def': 40}",2,7,0,3,0.132,l,2019-02-10 11:00:00,0,0,1,0,-1.955
h,3.549,1.156,3.549,1.156,"{'att': 179, 'def': 21}","{'att': 348, 'def': 18}",13,5,1,1,2.746,d,2019-02-17 19:45:00,0,1,0,1,2.393
a,0.826,0.587,0.826,0.587,"{'att': 199, 'def': 5}","{'att': 268, 'def': 26}",3,2,2,0,1.607,w,2019-02-24 17:30:00,1,0,0,3,0.24
h,0.572,1.814,0.572,1.814,"{'att': 99, 'def': 14}","{'att': 299, 'def': 28}",5,10,1,2,0.437,l,2019-03-03 15:15:00,0,0,1,0,-1.241
a,1.423,0.337,1.423,0.337,"{'att': 208, 'def': 24}","{'att': 312, 'def': 25}",19,6,1,0,2.33,w,2019-03-10 11:00:00,1,0,0,3,1.086
