h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,3.35,2.392,3.35,1.65,"{'att': 252, 'def': 19}","{'att': 263, 'def': 20}",12,5,4,1,1.983,w,2018-08-19 21:15:00,1,0,0,3,1.7
h,1.972,0.671,1.972,0.671,"{'att': 262, 'def': 16}","{'att': 237, 'def': 26}",11,3,0,0,2.333,d,2018-08-26 21:15:00,0,1,0,1,1.3
a,0.785,1.183,0.785,1.183,"{'att': 303, 'def': 25}","{'att': 149, 'def': 21}",2,5,0,1,0.956,l,2018-09-02 18:45:00,0,0,1,0,-0.398
h,1.083,2.127,1.083,2.127,"{'att': 107, 'def': 26}","{'att': 295, 'def': 22}",20,4,0,2,0.634,l,2018-09-16 18:45:00,0,0,1,0,-1.045
a,3.401,2.248,3.401,1.505,"{'att': 235, 'def': 23}","{'att': 267, 'def': 15}",13,9,6,2,2.128,w,2018-09-23 10:00:00,1,0,0,3,1.896
h,2.293,1.554,2.293,1.554,"{'att': 300, 'def': 17}","{'att': 209, 'def': 17}",7,10,3,0,1.902,w,2018-09-26 20:00:00,1,0,0,3,0.739
a,1.985,0.564,1.242,0.564,"{'att': 263, 'def': 11}","{'att': 159, 'def': 34}",2,2,3,1,2.525,w,2018-09-29 16:30:00,1,0,0,3,0.678
h,2.237,0.896,2.237,0.896,"{'att': 242, 'def': 22}","{'att': 257, 'def': 21}",8,9,2,1,2.371,w,2018-10-07 16:30:00,1,0,0,3,1.341
a,1.898,3.219,1.898,2.476,"{'att': 289, 'def': 28}","{'att': 225, 'def': 21}",8,8,2,4,0.631,l,2018-10-20 18:45:00,0,0,1,0,-0.578
h,1.884,1.013,1.884,1.013,"{'att': 191, 'def': 16}","{'att': 327, 'def': 18}",9,5,2,1,2.072,w,2018-10-28 18:45:00,1,0,0,3,0.871
a,0.414,0.741,0.414,0.741,"{'att': 274, 'def': 28}","{'att': 236, 'def': 23}",2,6,0,0,0.939,d,2018-11-04 17:30:00,0,1,0,1,-0.327
h,3.954,0.686,3.954,0.686,"{'att': 270, 'def': 29}","{'att': 205, 'def': 25}",12,4,2,1,2.89,w,2018-11-11 17:30:00,1,0,0,3,3.267
h,1.404,0.533,1.404,0.533,"{'att': 262, 'def': 22}","{'att': 248, 'def': 27}",10,1,1,0,2.13,w,2018-11-25 15:15:00,1,0,0,3,0.87
a,1.645,1.021,1.645,1.021,"{'att': 182, 'def': 25}","{'att': 238, 'def': 38}",13,4,1,1,1.864,d,2018-12-02 19:45:00,0,1,0,1,0.624
a,1.647,1.443,1.647,1.443,"{'att': 230, 'def': 17}","{'att': 222, 'def': 29}",6,14,1,1,1.541,d,2018-12-08 15:15:00,0,1,0,1,0.204
h,2.282,0.812,1.539,0.812,"{'att': 247, 'def': 23}","{'att': 230, 'def': 26}",20,9,2,0,2.446,w,2018-12-16 11:00:00,1,0,0,3,0.727
a,0.698,1.133,0.698,1.133,"{'att': 211, 'def': 19}","{'att': 250, 'def': 21}",3,9,1,1,0.91,d,2018-12-23 15:15:00,0,1,0,1,-0.435
h,1.574,0.758,1.574,0.758,"{'att': 188, 'def': 26}","{'att': 258, 'def': 33}",8,2,1,1,2.033,d,2019-01-06 15:15:00,0,1,0,1,0.816
a,0.735,1.203,0.735,1.203,"{'att': 184, 'def': 21}","{'att': 247, 'def': 24}",7,6,0,2,0.897,l,2019-01-13 15:15:00,0,0,1,0,-0.468
a,0.397,1.599,0.397,1.599,"{'att': 291, 'def': 23}","{'att': 164, 'def': 30}",1,11,0,2,0.449,l,2019-01-19 15:15:00,0,0,1,0,-1.203
h,5.031,0.299,3.384,0.299,"{'att': 185, 'def': 25}","{'att': 224, 'def': 27}",13,5,5,0,2.994,w,2019-01-26 12:00:00,1,0,0,3,3.085
a,0.683,0.935,0.683,0.935,"{'att': 266, 'def': 23}","{'att': 339, 'def': 27}",9,5,0,1,1.049,l,2019-02-02 19:45:00,0,0,1,0,-0.252
h,1.549,1.44,1.549,1.44,"{'att': 138, 'def': 12}","{'att': 252, 'def': 25}",13,7,2,2,1.443,d,2019-02-10 17:30:00,0,1,0,1,0.109
a,2.494,1.854,2.494,1.854,"{'att': 198, 'def': 21}","{'att': 276, 'def': 20}",12,4,0,3,1.772,l,2019-02-17 17:30:00,0,0,1,0,0.64
h,1.645,1.738,1.645,1.738,"{'att': 310, 'def': 20}","{'att': 162, 'def': 12}",6,5,2,4,1.335,l,2019-02-23 15:15:00,0,0,1,0,-0.093
a,2.53,0.94,1.786,0.94,"{'att': 84, 'def': 31}","{'att': 338, 'def': 28}",10,4,1,2,2.573,l,2019-03-02 17:30:00,0,0,1,0,0.846
h,2.887,1.233,2.887,0.49,"{'att': 272, 'def': 24}","{'att': 195, 'def': 26}",14,0,5,2,2.462,w,2019-03-10 17:30:00,1,0,0,3,2.397
a,1.342,0.665,0.599,0.665,"{'att': 234, 'def': 24}","{'att': 259, 'def': 32}",4,5,1,0,1.997,w,2019-03-17 15:15:00,1,0,0,3,-0.066
h,0.745,0.923,0.745,0.18,"{'att': 187, 'def': 20}","{'att': 282, 'def': 26}",10,3,0,1,1.05,l,2019-03-31 14:15:00,0,0,1,0,0.565
h,2.028,0.59,2.028,0.59,"{'att': 157, 'def': 24}","{'att': 287, 'def': 25}",11,1,2,0,2.449,w,2019-04-04 18:30:00,1,0,0,3,1.438
a,2.243,1.331,2.243,1.331,"{'att': 188, 'def': 24}","{'att': 290, 'def': 26}",5,4,2,0,2.091,w,2019-04-07 15:15:00,1,0,0,3,0.912
h,2.321,1.093,2.321,1.093,"{'att': 309, 'def': 22}","{'att': 152, 'def': 20}",8,6,3,2,2.332,w,2019-04-13 19:45:00,1,0,0,3,1.228
a,0.625,2.727,0.625,1.24,"{'att': 122, 'def': 16}","{'att': 246, 'def': 31}",1,5,0,3,0.131,l,2019-04-21 13:00:00,0,0,1,0,-0.615
h,3.634,0.756,3.634,0.756,"{'att': 247, 'def': 21}","{'att': 181, 'def': 31}",10,3,5,0,2.873,w,2019-04-25 18:30:00,1,0,0,3,2.878
a,1.065,1.022,1.065,1.022,"{'att': 202, 'def': 34}","{'att': 284, 'def': 32}",5,9,0,1,1.416,l,2019-04-28 13:00:00,0,0,1,0,0.043
h,0.298,1.288,0.298,1.288,"{'att': 127, 'def': 25}","{'att': 254, 'def': 41}",6,6,0,3,0.45,l,2019-05-03 20:00:00,0,0,1,0,-0.99
a,0.658,1.43,0.658,1.43,"{'att': 255, 'def': 22}","{'att': 275, 'def': 23}",4,6,1,1,0.661,d,2019-05-12 17:30:00,0,1,0,1,-0.772
h,1.746,0.647,1.746,0.647,"{'att': 227, 'def': 18}","{'att': 186, 'def': 22}",6,7,2,0,2.37,w,2019-05-18 14:15:00,1,0,0,3,1.099
