h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.036,0.457,1.036,0.457,"{'att': 113, 'def': 16}","{'att': 345, 'def': 23}",5,3,0,1,1.871,l,2019-08-16 20:00:00,0,0,1,0,0.579
h,2.851,0.146,2.851,0.146,"{'att': 229, 'def': 46}","{'att': 358, 'def': 17}",23,0,5,2,2.89,w,2019-08-25 20:00:00,1,0,0,3,2.705
a,0.361,1.73,0.361,0.987,"{'att': 82, 'def': 20}","{'att': 396, 'def': 33}",2,5,2,2,0.304,d,2019-08-31 16:00:00,0,1,0,1,-0.626
h,2.611,1.271,2.611,1.271,"{'att': 253, 'def': 31}","{'att': 328, 'def': 17}",12,8,5,2,2.325,w,2019-09-14 19:00:00,1,0,0,3,1.34
a,0.558,1.873,0.558,1.13,"{'att': 116, 'def': 22}","{'att': 383, 'def': 26}",10,2,0,2,0.259,l,2019-09-21 19:00:00,0,0,1,0,-0.572
h,0.644,0.546,0.644,0.546,"{'att': 302, 'def': 22}","{'att': 348, 'def': 27}",15,4,2,1,1.398,w,2019-09-24 19:00:00,1,0,0,3,0.098
a,1.308,1.081,1.308,1.081,"{'att': 113, 'def': 20}","{'att': 271, 'def': 34}",3,7,2,0,1.547,w,2019-09-28 14:00:00,1,0,0,3,0.228
h,2.403,3.037,2.403,3.037,"{'att': 242, 'def': 23}","{'att': 343, 'def': 30}",5,8,4,0,1.0,w,2019-10-06 20:00:00,1,0,0,3,-0.633
a,1.725,0.213,1.725,0.213,"{'att': 231, 'def': 18}","{'att': 373, 'def': 23}",10,4,3,0,2.613,w,2019-10-19 12:00:00,1,0,0,3,1.513
h,3.779,1.202,3.779,1.202,"{'att': 242, 'def': 23}","{'att': 337, 'def': 26}",12,2,5,1,2.77,w,2019-10-29 20:15:00,1,0,0,3,2.576
a,2.135,0.927,1.392,0.927,"{'att': 150, 'def': 22}","{'att': 367, 'def': 15}",8,3,1,3,2.385,l,2019-11-02 15:00:00,0,0,1,0,0.464
h,1.496,0.317,0.753,0.317,"{'att': 259, 'def': 23}","{'att': 366, 'def': 20}",7,0,4,1,2.451,w,2019-11-09 20:00:00,1,0,0,3,0.436
a,1.682,0.484,1.682,0.484,"{'att': 82, 'def': 19}","{'att': 329, 'def': 26}",4,1,2,1,2.372,w,2019-11-23 12:00:00,1,0,0,3,1.198
a,1.188,1.164,1.188,1.164,"{'att': 179, 'def': 29}","{'att': 359, 'def': 21}",14,8,1,0,1.405,w,2019-12-01 20:00:00,1,0,0,3,0.025
h,4.282,1.022,4.282,1.022,"{'att': 208, 'def': 36}","{'att': 344, 'def': 17}",42,2,5,2,2.856,w,2019-12-07 20:00:00,1,0,0,3,3.26
a,1.183,2.879,1.183,2.136,"{'att': 333, 'def': 26}","{'att': 285, 'def': 21}",9,9,2,2,0.35,d,2019-12-14 15:00:00,0,1,0,1,-0.952
h,0.723,0.844,0.723,0.844,"{'att': 275, 'def': 17}","{'att': 386, 'def': 35}",11,7,0,0,1.236,d,2019-12-18 19:00:00,0,1,0,1,-0.121
h,1.432,0.432,0.689,0.432,"{'att': 186, 'def': 28}","{'att': 461, 'def': 21}",12,0,4,1,2.301,w,2019-12-21 15:00:00,1,0,0,3,0.257
a,2.31,0.731,2.31,0.731,"{'att': 149, 'def': 18}","{'att': 432, 'def': 29}",10,1,2,2,2.476,d,2020-01-04 20:00:00,0,1,0,1,1.579
h,1.433,0.188,1.433,0.188,"{'att': 98, 'def': 28}","{'att': 542, 'def': 24}",16,0,1,0,2.414,w,2020-01-19 20:00:00,1,0,0,3,1.245
a,1.153,1.438,1.153,0.695,"{'att': 185, 'def': 21}","{'att': 408, 'def': 11}",13,4,0,2,1.06,l,2020-01-25 15:00:00,0,0,1,0,0.458
h,3.387,1.219,3.387,1.219,"{'att': 229, 'def': 22}","{'att': 416, 'def': 17}",20,2,2,1,2.595,w,2020-02-02 20:00:00,1,0,0,3,2.169
a,1.855,1.059,1.855,0.316,"{'att': 165, 'def': 21}","{'att': 464, 'def': 45}",13,4,3,2,2.03,w,2020-02-09 20:00:00,1,0,0,3,1.539
h,1.88,1.186,1.88,1.186,"{'att': 75, 'def': 14}","{'att': 458, 'def': 59}",5,3,2,1,1.882,w,2020-02-15 15:00:00,1,0,0,3,0.694
h,4.661,0.478,4.661,0.478,"{'att': 148, 'def': 21}","{'att': 433, 'def': 41}",13,0,5,0,2.974,w,2020-02-22 15:00:00,1,0,0,3,4.183
a,1.523,1.062,1.523,1.062,"{'att': 255, 'def': 23}","{'att': 380, 'def': 27}",12,14,0,2,1.709,l,2020-03-01 20:00:00,0,0,1,0,0.461
h,2.21,0.55,1.467,0.55,"{'att': 267, 'def': 29}","{'att': 288, 'def': 19}",11,6,1,0,2.563,w,2020-03-07 17:30:00,1,0,0,3,0.916
a,2.699,0.649,2.699,0.649,"{'att': 185, 'def': 22}","{'att': 442, 'def': 21}",19,2,4,0,2.665,w,2020-06-13 20:00:00,1,0,0,3,2.05
h,1.531,0.856,0.788,0.856,"{'att': 138, 'def': 27}","{'att': 548, 'def': 24}",4,5,2,0,1.976,w,2020-06-16 20:00:00,1,0,0,3,-0.069
a,0.741,0.825,0.741,0.825,"{'att': 240, 'def': 16}","{'att': 345, 'def': 14}",6,0,0,0,1.192,d,2020-06-19 20:00:00,0,1,0,1,-0.084
h,1.838,0.65,1.838,0.65,"{'att': 129, 'def': 23}","{'att': 400, 'def': 23}",13,3,1,0,2.33,w,2020-06-23 20:00:00,1,0,0,3,1.188
a,2.135,1.938,2.135,1.938,"{'att': 152, 'def': 30}","{'att': 350, 'def': 22}",8,8,2,2,1.51,d,2020-06-27 15:00:00,0,1,0,1,0.197
h,1.807,1.781,1.064,0.295,"{'att': 146, 'def': 17}","{'att': 412, 'def': 25}",4,3,2,2,1.333,d,2020-06-30 20:00:00,0,1,0,1,0.769
a,2.753,0.962,2.753,0.962,"{'att': 227, 'def': 22}","{'att': 526, 'def': 18}",22,8,4,1,2.529,w,2020-07-05 20:00:00,1,0,0,3,1.791
h,0.898,0.831,0.898,0.831,"{'att': 146, 'def': 13}","{'att': 399, 'def': 14}",10,2,1,0,1.407,w,2020-07-08 20:00:00,1,0,0,3,0.067
a,1.021,0.85,1.021,0.85,"{'att': 218, 'def': 29}","{'att': 447, 'def': 21}",10,1,1,0,1.489,w,2020-07-11 17:30:00,1,0,0,3,0.172
h,1.15,0.673,1.15,0.673,"{'att': 94, 'def': 16}","{'att': 336, 'def': 12}",16,3,1,2,1.713,l,2020-07-16 19:00:00,0,0,1,0,0.477
a,3.628,0.274,3.628,0.274,"{'att': 214, 'def': 32}","{'att': 454, 'def': 26}",11,4,5,0,2.955,w,2020-07-19 19:00:00,1,0,0,3,3.354
