h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.218,0.247,1.218,0.247,"{'att': 159, 'def': 37}","{'att': 285, 'def': 31}",7,3,0,0,2.237,d,2021-08-16 18:00:00,0,1,0,1,0.971
a,0.597,1.689,0.597,1.689,"{'att': 158, 'def': 21}","{'att': 253, 'def': 17}",8,4,0,0,0.539,d,2021-08-21 17:30:00,0,1,0,1,-1.091
a,0.449,1.773,0.449,1.773,"{'att': 227, 'def': 13}","{'att': 307, 'def': 22}",4,14,2,2,0.368,d,2021-08-29 20:00:00,0,1,0,1,-1.324
a,1.634,0.529,1.634,0.529,"{'att': 159, 'def': 25}","{'att': 311, 'def': 26}",10,3,0,0,2.347,d,2021-09-19 12:00:00,0,1,0,1,1.105
h,2.779,1.096,2.779,1.096,"{'att': 211, 'def': 35}","{'att': 300, 'def': 26}",8,2,4,1,2.547,w,2021-09-22 20:00:00,1,0,0,3,1.683
a,0.666,1.536,0.666,1.536,"{'att': 222, 'def': 19}","{'att': 348, 'def': 35}",6,9,0,0,0.599,d,2021-09-25 19:00:00,0,1,0,1,-0.87
h,2.586,0.527,2.586,0.527,"{'att': 253, 'def': 38}","{'att': 365, 'def': 18}",7,3,2,0,2.7,w,2021-10-03 16:30:00,1,0,0,3,2.059
h,0.713,0.957,0.713,0.957,"{'att': 85, 'def': 16}","{'att': 330, 'def': 22}",10,4,1,2,1.059,l,2021-10-17 16:30:00,0,0,1,0,-0.244
a,0.606,2.643,0.606,1.157,"{'att': 254, 'def': 9}","{'att': 278, 'def': 28}",4,9,1,2,0.167,l,2021-10-23 19:00:00,0,0,1,0,-0.551
h,1.951,1.536,1.951,1.536,"{'att': 83, 'def': 19}","{'att': 317, 'def': 16}",16,4,3,3,1.656,d,2021-10-26 19:30:00,0,1,0,1,0.415
a,0.804,1.664,0.804,0.921,"{'att': 50, 'def': 24}","{'att': 277, 'def': 23}",5,0,0,2,0.616,l,2021-10-30 16:30:00,0,0,1,0,-0.116
h,1.493,0.153,1.493,0.153,"{'att': 161, 'def': 33}","{'att': 382, 'def': 39}",11,1,1,0,2.489,w,2021-11-07 13:00:00,1,0,0,3,1.339
a,2.719,0.91,2.719,0.91,"{'att': 261, 'def': 28}","{'att': 159, 'def': 30}",10,3,1,1,2.587,d,2021-11-20 13:00:00,0,1,0,1,1.81
h,1.56,3.372,1.56,2.629,"{'att': 210, 'def': 34}","{'att': 235, 'def': 18}",8,6,1,3,0.362,l,2021-11-27 20:00:00,0,0,1,0,-1.069
a,1.909,0.47,1.909,0.47,"{'att': 213, 'def': 26}","{'att': 236, 'def': 24}",7,2,0,1,2.58,l,2021-12-04 13:00:00,0,0,1,0,1.44
h,2.11,1.413,1.366,1.413,"{'att': 189, 'def': 31}","{'att': 230, 'def': 23}",5,6,2,0,1.911,w,2021-12-12 13:00:00,1,0,0,3,-0.046
a,3.022,1.346,3.022,1.346,"{'att': 136, 'def': 25}","{'att': 227, 'def': 23}",14,4,3,1,2.444,w,2021-12-18 15:15:00,1,0,0,3,1.677
h,3.88,0.31,3.88,0.31,"{'att': 188, 'def': 23}","{'att': 323, 'def': 20}",18,2,5,2,2.971,w,2021-12-21 20:00:00,1,0,0,3,3.57
h,4.19,0.423,4.19,0.423,"{'att': 215, 'def': 15}","{'att': 305, 'def': 28}",18,3,5,0,2.96,w,2022-01-03 18:00:00,1,0,0,3,3.767
h,2.561,0.882,1.818,0.882,"{'att': 198, 'def': 29}","{'att': 297, 'def': 17}",6,5,2,2,2.541,d,2022-01-09 20:00:00,0,1,0,1,0.936
a,0.755,0.204,0.755,0.204,"{'att': 212, 'def': 25}","{'att': 211, 'def': 20}",5,0,0,1,1.929,l,2022-01-16 18:00:00,0,0,1,0,0.551
h,2.198,1.6,1.455,1.6,"{'att': 220, 'def': 30}","{'att': 248, 'def': 30}",9,3,3,0,1.841,w,2022-01-22 15:15:00,1,0,0,3,-0.145
a,1.341,0.738,1.341,0.738,"{'att': 325, 'def': 32}","{'att': 193, 'def': 35}",4,5,2,0,1.907,w,2022-02-06 17:30:00,1,0,0,3,0.604
h,0.46,2.111,0.46,2.111,"{'att': 341, 'def': 15}","{'att': 230, 'def': 21}",7,4,0,0,0.298,d,2022-02-12 15:15:00,0,1,0,1,-1.651
