h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.484,1.14,1.484,1.14,"{'att': 219, 'def': 25}","{'att': 356, 'def': 24}",2,1,3,0,1.654,w,2022-08-15 17:30:00,1,0,0,3,0.344
h,1.585,1.982,1.585,1.982,"{'att': 346, 'def': 17}","{'att': 298, 'def': 18}",8,6,0,2,1.1,l,2022-08-21 17:30:00,0,0,1,0,-0.397
a,1.975,0.654,1.975,0.654,"{'att': 328, 'def': 17}","{'att': 145, 'def': 18}",4,6,1,0,2.35,w,2022-08-29 20:00:00,1,0,0,3,1.321
a,2.248,1.752,2.248,1.752,"{'att': 241, 'def': 18}","{'att': 197, 'def': 29}",6,8,1,1,1.726,d,2022-09-03 16:30:00,0,1,0,1,0.496
h,0.923,1.306,0.923,1.306,"{'att': 351, 'def': 20}","{'att': 285, 'def': 24}",6,10,4,1,1.011,w,2022-09-10 19:00:00,1,0,0,3,-0.382
h,1.104,1.093,1.104,1.093,"{'att': 379, 'def': 28}","{'att': 371, 'def': 22}",7,2,1,2,1.324,l,2022-09-18 19:00:00,0,0,1,0,0.012
a,2.121,0.363,2.121,0.363,"{'att': 339, 'def': 12}","{'att': 232, 'def': 32}",14,6,2,0,2.577,w,2022-10-01 16:30:00,1,0,0,3,1.758
h,2.198,0.722,2.198,0.722,"{'att': 397, 'def': 25}","{'att': 350, 'def': 32}",9,1,2,1,2.448,w,2022-10-08 14:15:00,1,0,0,3,1.476
a,0.463,1.333,0.463,1.333,"{'att': 232, 'def': 20}","{'att': 207, 'def': 29}",5,9,1,0,0.592,w,2022-10-15 19:00:00,1,0,0,3,-0.869
h,0.818,1.62,0.818,0.876,"{'att': 256, 'def': 21}","{'att': 331, 'def': 21}",3,4,1,1,0.67,d,2022-10-18 19:00:00,0,1,0,1,-0.059
a,0.585,1.331,0.585,1.331,"{'att': 333, 'def': 29}","{'att': 283, 'def': 23}",7,6,2,1,0.737,w,2022-10-23 14:15:00,1,0,0,3,-0.745
a,1.797,1.589,1.797,1.589,"{'att': 192, 'def': 22}","{'att': 290, 'def': 16}",8,5,2,3,1.547,l,2022-10-29 14:15:00,0,0,1,0,0.208
h,2.023,0.871,2.023,0.871,"{'att': 141, 'def': 23}","{'att': 271, 'def': 14}",15,2,1,1,2.171,d,2022-11-06 13:00:00,0,1,0,1,1.153
a,1.506,1.466,1.506,1.466,"{'att': 182, 'def': 26}","{'att': 303, 'def': 17}",12,9,0,1,1.353,l,2022-11-09 20:30:00,0,0,1,0,0.04
h,1.744,0.569,1.744,0.569,"{'att': 206, 'def': 24}","{'att': 382, 'def': 24}",6,1,2,0,2.302,w,2022-12-29 20:30:00,1,0,0,3,1.175
h,1.936,1.236,1.936,1.236,"{'att': 415, 'def': 34}","{'att': 199, 'def': 25}",14,7,0,1,1.896,l,2023-01-08 20:00:00,0,0,1,0,0.7
a,2.084,1.082,2.084,1.082,"{'att': 353, 'def': 20}","{'att': 269, 'def': 21}",11,4,1,1,2.106,d,2023-01-15 15:15:00,0,1,0,1,1.001
h,4.114,0.422,4.114,0.422,"{'att': 357, 'def': 20}","{'att': 277, 'def': 24}",17,5,3,0,2.976,w,2023-01-21 17:30:00,1,0,0,3,3.692
a,1.297,0.741,1.297,0.741,"{'att': 293, 'def': 13}","{'att': 287, 'def': 22}",3,4,1,0,1.818,w,2023-01-29 15:15:00,1,0,0,3,0.556
h,1.013,1.137,1.013,0.393,"{'att': 170, 'def': 23}","{'att': 344, 'def': 20}",9,4,1,1,1.17,d,2023-02-04 17:30:00,0,1,0,1,0.62
a,0.956,1.057,0.956,1.057,"{'att': 245, 'def': 30}","{'att': 299, 'def': 25}",6,5,1,0,1.236,w,2023-02-12 15:15:00,1,0,0,3,-0.101
h,1.065,1.008,1.065,1.008,"{'att': 250, 'def': 19}","{'att': 343, 'def': 19}",8,6,1,0,1.374,w,2023-02-19 17:30:00,1,0,0,3,0.057
a,0.218,1.563,0.218,1.563,"{'att': 307, 'def': 18}","{'att': 218, 'def': 22}",5,4,1,1,0.327,d,2023-02-25 17:30:00,0,1,0,1,-1.346
h,3.052,1.768,3.052,1.025,"{'att': 380, 'def': 21}","{'att': 334, 'def': 19}",11,4,6,1,2.327,w,2023-03-04 20:00:00,1,0,0,3,2.027
a,1.807,0.302,1.807,0.302,"{'att': 355, 'def': 17}","{'att': 285, 'def': 16}",6,4,1,0,2.693,w,2023-03-13 20:00:00,1,0,0,3,1.505
h,3.363,0.689,3.363,0.689,"{'att': 243, 'def': 23}","{'att': 380, 'def': 19}",9,2,3,0,2.827,w,2023-03-18 20:00:00,1,0,0,3,2.673
h,1.701,0.371,1.701,0.371,"{'att': 296, 'def': 35}","{'att': 304, 'def': 16}",6,3,1,0,2.451,w,2023-04-02 19:00:00,1,0,0,3,1.33
a,2.365,0.564,2.365,0.564,"{'att': 270, 'def': 13}","{'att': 356, 'def': 23}",12,10,2,1,2.592,w,2023-04-09 19:00:00,1,0,0,3,1.801
h,2.512,0.058,2.512,0.058,"{'att': 238, 'def': 25}","{'att': 362, 'def': 14}",17,0,2,1,2.914,w,2023-04-16 16:30:00,1,0,0,3,2.453
a,0.714,2.128,0.714,2.128,"{'att': 348, 'def': 26}","{'att': 198, 'def': 21}",10,11,0,1,0.417,l,2023-04-23 14:15:00,0,0,1,0,-1.414
h,2.615,0.741,2.615,0.741,"{'att': 142, 'def': 25}","{'att': 341, 'def': 13}",10,1,3,1,2.686,w,2023-04-26 17:30:00,1,0,0,3,1.874
a,2.756,1.466,2.756,0.723,"{'att': 283, 'def': 9}","{'att': 190, 'def': 20}",11,2,5,2,2.288,w,2023-04-30 19:00:00,1,0,0,3,2.033
h,4.26,0.026,3.516,0.026,"{'att': 254, 'def': 14}","{'att': 288, 'def': 13}",23,1,5,1,2.993,w,2023-05-03 20:00:00,1,0,0,3,3.49
a,1.448,2.285,1.448,2.285,"{'att': 297, 'def': 19}","{'att': 279, 'def': 30}",5,6,0,1,0.796,l,2023-05-14 14:15:00,0,0,1,0,-0.837
h,2.088,0.715,2.088,0.715,"{'att': 271, 'def': 12}","{'att': 356, 'def': 20}",8,5,3,0,2.381,w,2023-05-21 14:15:00,1,0,0,3,1.373
a,2.763,3.036,2.763,2.293,"{'att': 165, 'def': 16}","{'att': 379, 'def': 22}",7,14,3,3,1.242,d,2023-05-24 20:00:00,0,1,0,1,0.471
h,0.819,0.944,0.819,0.944,"{'att': 325, 'def': 19}","{'att': 313, 'def': 22}",2,5,2,1,1.208,w,2023-05-28 17:00:00,1,0,0,3,-0.125
a,1.161,2.064,1.161,2.064,"{'att': 285, 'def': 17}","{'att': 171, 'def': 25}",5,8,2,2,0.743,d,2023-06-04 18:00:00,0,1,0,1,-0.903
