h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.476,1.606,0.476,1.606,"{'att': 163, 'def': 15}","{'att': 132, 'def': 19}",1,8,0,0,0.48,d,2022-08-15 15:30:00,0,1,0,1,-1.129
h,1.468,2.216,1.468,0.73,"{'att': 227, 'def': 25}","{'att': 198, 'def': 24}",2,2,1,2,0.776,l,2022-08-20 17:30:00,0,0,1,0,0.738
a,0.856,0.865,0.856,0.865,"{'att': 293, 'def': 18}","{'att': 160, 'def': 28}",2,6,2,0,1.363,w,2022-08-27 17:30:00,1,0,0,3,-0.009
h,0.896,1.095,0.896,0.352,"{'att': 231, 'def': 30}","{'att': 208, 'def': 18}",6,4,1,1,1.097,d,2022-09-03 12:00:00,0,1,0,1,0.544
a,0.951,2.218,0.951,2.218,"{'att': 260, 'def': 16}","{'att': 181, 'def': 17}",1,16,1,4,0.54,l,2022-09-11 12:00:00,0,0,1,0,-1.267
h,0.969,0.298,0.969,0.298,"{'att': 306, 'def': 21}","{'att': 248, 'def': 25}",4,2,1,0,2.048,w,2022-09-17 12:00:00,1,0,0,3,0.671
h,0.925,0.636,0.925,0.636,"{'att': 439, 'def': 11}","{'att': 163, 'def': 25}",6,8,0,1,1.609,l,2022-10-01 19:00:00,0,0,1,0,0.289
a,2.697,0.335,1.211,0.335,"{'att': 190, 'def': 27}","{'att': 260, 'def': 14}",6,3,1,1,2.873,d,2022-10-10 19:00:00,0,1,0,1,0.876
h,1.41,0.177,1.41,0.177,"{'att': 277, 'def': 14}","{'att': 222, 'def': 20}",4,4,0,1,2.504,l,2022-10-15 16:30:00,0,0,1,0,1.234
a,1.094,2.164,1.094,2.164,"{'att': 182, 'def': 17}","{'att': 192, 'def': 26}",2,4,0,1,0.616,l,2022-10-19 18:00:00,0,0,1,0,-1.07
a,1.251,1.07,0.508,0.327,"{'att': 246, 'def': 15}","{'att': 138, 'def': 24}",4,6,2,1,1.485,w,2022-10-22 16:30:00,1,0,0,3,0.181
h,1.19,0.248,1.19,0.248,"{'att': 237, 'def': 21}","{'att': 243, 'def': 19}",8,6,1,1,2.428,d,2022-10-28 19:00:00,0,1,0,1,0.942
a,0.704,0.43,0.704,0.43,"{'att': 279, 'def': 14}","{'att': 114, 'def': 18}",4,5,2,0,1.649,w,2022-11-06 17:30:00,1,0,0,3,0.274
h,1.466,1.506,1.466,1.506,"{'att': 303, 'def': 17}","{'att': 182, 'def': 26}",9,12,1,0,1.34,w,2022-11-09 20:30:00,1,0,0,3,-0.04
a,0.36,1.328,0.36,1.328,"{'att': 253, 'def': 21}","{'att': 248, 'def': 21}",0,7,0,2,0.51,l,2022-12-30 16:00:00,0,0,1,0,-0.968
h,1.528,0.435,1.528,0.435,"{'att': 290, 'def': 25}","{'att': 183, 'def': 20}",4,2,1,0,2.274,w,2023-01-07 17:30:00,1,0,0,3,1.094
a,0.523,1.191,0.523,1.191,"{'att': 295, 'def': 22}","{'att': 174, 'def': 26}",2,7,0,1,0.729,l,2023-01-14 17:30:00,0,0,1,0,-0.668
h,0.404,0.425,0.404,0.425,"{'att': 342, 'def': 16}","{'att': 232, 'def': 19}",3,2,1,0,1.225,w,2023-01-20 20:00:00,1,0,0,3,-0.021
a,0.307,1.831,0.307,1.088,"{'att': 179, 'def': 15}","{'att': 279, 'def': 25}",2,6,0,2,0.215,l,2023-01-28 13:00:00,0,0,1,0,-0.781
h,0.242,1.398,0.242,0.655,"{'att': 340, 'def': 29}","{'att': 119, 'def': 29}",1,5,1,0,0.325,w,2023-02-05 13:00:00,1,0,0,3,-0.414
a,0.207,2.168,0.207,2.168,"{'att': 281, 'def': 22}","{'att': 187, 'def': 12}",5,7,0,2,0.1,l,2023-02-11 17:30:00,0,0,1,0,-1.961
h,2.744,1.019,2.744,1.019,"{'att': 273, 'def': 32}","{'att': 234, 'def': 18}",5,1,4,2,2.489,w,2023-02-18 17:30:00,1,0,0,3,1.725
a,0.558,1.994,0.558,1.994,"{'att': 163, 'def': 19}","{'att': 237, 'def': 30}",5,2,1,2,0.373,l,2023-02-25 13:00:00,0,0,1,0,-1.436
h,0.962,0.957,0.962,0.957,"{'att': 188, 'def': 22}","{'att': 229, 'def': 22}",7,5,0,1,1.353,l,2023-03-04 17:30:00,0,0,1,0,0.005
h,1.464,0.683,1.464,0.683,"{'att': 287, 'def': 24}","{'att': 128, 'def': 31}",5,6,1,1,2.139,d,2023-03-12 13:00:00,0,1,0,1,0.78
a,0.14,0.607,0.14,0.607,"{'att': 316, 'def': 22}","{'att': 192, 'def': 25}",5,6,0,1,0.705,l,2023-03-19 13:00:00,0,0,1,0,-0.466
h,0.433,0.508,0.433,0.508,"{'att': 202, 'def': 23}","{'att': 130, 'def': 22}",5,2,0,0,1.187,d,2023-03-31 20:00:00,0,1,0,1,-0.075
a,1.983,0.949,1.24,0.949,"{'att': 280, 'def': 34}","{'att': 123, 'def': 17}",6,6,3,3,2.168,d,2023-04-09 12:00:00,0,1,0,1,0.291
a,1.184,0.469,1.184,0.469,"{'att': 249, 'def': 21}","{'att': 76, 'def': 17}",3,16,1,0,2.03,w,2023-04-17 19:00:00,1,0,0,3,0.714
h,1.917,0.119,1.917,0.119,"{'att': 210, 'def': 21}","{'att': 197, 'def': 24}",0,3,3,1,2.758,w,2023-04-23 16:30:00,1,0,0,3,1.798
a,0.741,2.615,0.741,2.615,"{'att': 341, 'def': 13}","{'att': 142, 'def': 25}",1,10,1,3,0.195,l,2023-04-26 17:30:00,0,0,1,0,-1.874
h,1.291,1.376,1.291,0.633,"{'att': 320, 'def': 14}","{'att': 131, 'def': 22}",6,4,1,1,1.252,d,2023-05-01 17:00:00,0,1,0,1,0.658
a,1.343,2.205,0.599,2.205,"{'att': 261, 'def': 20}","{'att': 149, 'def': 23}",5,10,1,2,0.732,l,2023-05-04 17:30:00,0,0,1,0,-1.606
h,1.602,0.611,1.602,0.611,"{'att': 216, 'def': 21}","{'att': 142, 'def': 15}",4,2,1,0,2.25,w,2023-05-12 19:00:00,1,0,0,3,0.991
a,0.36,1.707,0.36,1.707,"{'att': 257, 'def': 28}","{'att': 199, 'def': 21}",0,1,0,3,0.329,l,2023-05-20 16:30:00,0,0,1,0,-1.348
h,0.538,2.073,0.538,2.073,"{'att': 250, 'def': 20}","{'att': 177, 'def': 27}",3,7,1,0,0.315,w,2023-05-25 17:30:00,1,0,0,3,-1.535
a,0.124,4.408,0.124,4.408,"{'att': 214, 'def': 8}","{'att': 109, 'def': 16}",2,26,0,3,0.008,l,2023-05-28 17:00:00,0,0,1,0,-4.284
h,2.251,1.04,2.251,1.04,"{'att': 146, 'def': 13}","{'att': 192, 'def': 30}",4,2,3,0,2.276,w,2023-06-04 18:00:00,1,0,0,3,1.211
