h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.805,1.678,0.805,1.678,"{'att': 423, 'def': 22}","{'att': 102, 'def': 16}",7,11,0,0,0.698,d,2023-08-13 19:30:00,0,1,0,1,-0.874
a,0.755,1.866,0.755,1.866,"{'att': 367, 'def': 30}","{'att': 112, 'def': 14}",4,5,0,3,0.521,l,2023-08-20 15:30:00,0,0,1,0,-1.111
h,2.67,0.861,1.927,0.861,"{'att': 165, 'def': 17}","{'att': 136, 'def': 26}",5,5,1,0,2.581,w,2023-08-28 17:30:00,1,0,0,3,1.066
a,0.894,2.647,0.894,2.647,"{'att': 381, 'def': 19}","{'att': 82, 'def': 16}",2,16,1,2,0.319,l,2023-09-02 14:15:00,0,0,1,0,-1.753
h,0.736,1.296,0.736,0.553,"{'att': 236, 'def': 21}","{'att': 158, 'def': 17}",0,1,3,2,0.788,w,2023-09-17 12:00:00,1,0,0,3,0.184
a,1.594,2.134,0.851,1.391,"{'att': 272, 'def': 32}","{'att': 146, 'def': 21}",2,6,3,4,0.955,l,2023-09-24 12:00:00,0,0,1,0,-0.54
a,1.308,0.609,1.308,0.609,"{'att': 205, 'def': 25}","{'att': 203, 'def': 15}",2,2,2,2,1.978,d,2023-09-27 17:00:00,0,1,0,1,0.699
h,0.768,0.112,0.768,0.112,"{'att': 125, 'def': 37}","{'att': 216, 'def': 20}",13,3,0,0,1.97,d,2023-09-30 12:00:00,0,1,0,1,0.656
a,1.009,3.029,1.009,2.285,"{'att': 266, 'def': 17}","{'att': 60, 'def': 22}",5,9,2,2,0.209,d,2023-10-08 16:30:00,0,1,0,1,-1.277
h,1.867,1.428,1.867,1.428,"{'att': 250, 'def': 33}","{'att': 180, 'def': 27}",5,9,1,1,1.702,d,2023-10-21 14:15:00,0,1,0,1,0.439
a,0.292,0.722,0.292,0.722,"{'att': 167, 'def': 23}","{'att': 99, 'def': 14}",0,7,0,0,0.852,d,2023-10-28 16:30:00,0,1,0,1,-0.43
h,1.215,0.822,1.215,0.822,"{'att': 207, 'def': 23}","{'att': 145, 'def': 24}",2,4,1,0,1.665,w,2023-11-06 20:00:00,1,0,0,3,0.393
a,2.301,1.44,2.301,1.44,"{'att': 289, 'def': 25}","{'att': 129, 'def': 21}",1,3,1,1,2.126,d,2023-11-11 17:30:00,0,1,0,1,0.861
