h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.872,1.494,0.128,0.61,"{'att': 138, 'def': 20}","{'att': 361, 'def': 39}",2,4,1,1,0.676,d,2023-08-12 17:30:00,0,1,0,1,-0.481
a,0.742,1.503,0.742,0.76,"{'att': 215, 'def': 25}","{'att': 399, 'def': 33}",4,2,0,1,0.661,l,2023-08-18 19:30:00,0,0,1,0,-0.018
h,1.569,1.118,1.569,1.118,"{'att': 255, 'def': 27}","{'att': 260, 'def': 33}",5,2,0,0,1.748,d,2023-08-25 17:30:00,0,1,0,1,0.452
a,1.187,1.424,1.187,1.424,"{'att': 257, 'def': 24}","{'att': 256, 'def': 24}",5,14,0,1,1.153,l,2023-09-03 12:00:00,0,0,1,0,-0.237
a,1.035,2.431,1.035,2.431,"{'att': 152, 'def': 23}","{'att': 236, 'def': 30}",6,5,0,1,0.498,l,2023-09-17 16:30:00,0,0,1,0,-1.395
h,0.701,0.038,0.701,0.038,"{'att': 147, 'def': 16}","{'att': 281, 'def': 32}",5,3,1,0,2.053,w,2023-09-24 16:30:00,1,0,0,3,0.663
a,0.618,2.715,0.618,2.715,"{'att': 308, 'def': 20}","{'att': 420, 'def': 16}",8,15,0,2,0.233,l,2023-09-27 17:00:00,0,0,1,0,-2.097
h,1.464,1.543,0.721,1.543,"{'att': 130, 'def': 27}","{'att': 458, 'def': 24}",7,3,2,1,1.254,w,2023-10-02 19:00:00,1,0,0,3,-0.823
a,1.16,1.163,0.417,1.163,"{'att': 266, 'def': 28}","{'att': 268, 'def': 25}",5,4,2,1,1.354,w,2023-10-08 12:00:00,1,0,0,3,-0.746
h,1.186,1.256,0.442,0.513,"{'att': 220, 'def': 26}","{'att': 332, 'def': 24}",11,1,0,1,1.259,l,2023-10-22 12:00:00,0,0,1,0,-0.07
a,1.064,0.276,1.064,0.276,"{'att': 207, 'def': 27}","{'att': 328, 'def': 24}",4,3,2,1,2.114,w,2023-10-28 12:00:00,1,0,0,3,0.789
h,0.453,1.528,0.453,1.528,"{'att': 304, 'def': 28}","{'att': 333, 'def': 26}",4,6,2,1,0.525,w,2023-11-03 19:00:00,1,0,0,3,-1.075
a,0.292,1.441,0.292,1.441,"{'att': 197, 'def': 13}","{'att': 349, 'def': 31}",1,4,1,1,0.39,d,2023-11-11 17:30:00,0,1,0,1,-1.149
