h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.46,1.278,1.46,1.278,"{'att': 240, 'def': 39}","{'att': 210, 'def': 14}",4,3,1,1,1.484,d,2023-08-12 15:00:00,0,1,0,1,0.182
h,0.918,1.779,0.918,1.779,"{'att': 195, 'def': 26}","{'att': 215, 'def': 17}",2,6,1,1,0.667,d,2023-08-19 15:00:00,0,1,0,1,-0.862
a,1.118,1.569,1.118,1.569,"{'att': 260, 'def': 33}","{'att': 255, 'def': 27}",2,5,0,0,0.972,d,2023-08-25 17:30:00,0,1,0,1,-0.452
h,2.087,0.55,2.087,0.55,"{'att': 164, 'def': 22}","{'att': 329, 'def': 20}",9,1,5,3,2.514,w,2023-09-02 12:00:00,1,0,0,3,1.537
a,2.155,2.569,2.155,2.569,"{'att': 314, 'def': 21}","{'att': 310, 'def': 23}",7,11,1,2,1.092,l,2023-09-17 19:00:00,0,0,1,0,-0.414
h,2.134,1.594,1.391,0.851,"{'att': 146, 'def': 21}","{'att': 272, 'def': 32}",6,2,4,3,1.769,w,2023-09-24 12:00:00,1,0,0,3,0.54
a,0.294,0.357,0.294,0.357,"{'att': 186, 'def': 26}","{'att': 431, 'def': 29}",0,2,1,0,1.183,w,2023-09-27 19:30:00,1,0,0,3,-0.063
h,1.382,1.96,1.382,1.96,"{'att': 177, 'def': 26}","{'att': 221, 'def': 18}",6,5,3,0,0.926,w,2023-09-30 19:00:00,1,0,0,3,-0.578
a,0.928,2.942,0.928,2.199,"{'att': 189, 'def': 27}","{'att': 356, 'def': 12}",3,9,1,2,0.274,l,2023-10-08 14:15:00,0,0,1,0,-1.271
h,2.006,2.039,2.006,2.039,"{'att': 148, 'def': 17}","{'att': 214, 'def': 24}",10,1,1,0,1.372,w,2023-10-21 12:00:00,1,0,0,3,-0.034
a,1.932,0.844,1.188,0.844,"{'att': 249, 'def': 26}","{'att': 187, 'def': 31}",3,6,2,2,2.236,d,2023-10-29 15:15:00,0,1,0,1,0.344
h,0.847,1.22,0.847,1.22,"{'att': 241, 'def': 37}","{'att': 217, 'def': 15}",4,9,0,1,1.025,l,2023-11-04 20:00:00,0,0,1,0,-0.373
a,2.537,0.637,1.794,0.637,"{'att': 164, 'def': 25}","{'att': 176, 'def': 22}",6,0,3,1,2.707,w,2023-11-11 15:15:00,1,0,0,3,1.156
