h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.239,0.814,1.239,0.814,"{'att': 297, 'def': 14}","{'att': 168, 'def': 24}",1,3,3,0,1.714,w,2014-08-09 20:00:00,1,0,0,3,0.425
h,0.274,0.946,0.274,0.186,"{'att': 394, 'def': 37}","{'att': 190, 'def': 21}",0,1,0,1,0.515,l,2014-08-15 19:30:00,0,0,1,0,0.088
a,1.803,1.872,1.803,1.872,"{'att': 269, 'def': 15}","{'att': 167, 'def': 21}",4,2,2,0,1.285,w,2014-08-23 19:00:00,1,0,0,3,-0.069
h,0.419,1.174,0.419,0.414,"{'att': 353, 'def': 18}","{'att': 116, 'def': 27}",1,10,0,1,0.56,l,2014-08-30 19:00:00,0,0,1,0,0.006
a,0.542,1.409,0.542,1.409,"{'att': 294, 'def': 11}","{'att': 175, 'def': 18}",1,8,0,1,0.624,l,2014-09-13 19:00:00,0,0,1,0,-0.867
a,0.665,3.643,0.665,2.123,"{'att': 293, 'def': 19}","{'att': 146, 'def': 28}",3,7,3,3,0.08,d,2014-09-20 19:00:00,0,1,0,1,-1.458
h,0.943,2.147,0.943,2.147,"{'att': 544, 'def': 26}","{'att': 188, 'def': 23}",2,6,0,2,0.579,l,2014-09-24 20:00:00,0,0,1,0,-1.204
a,0.375,0.519,0.375,0.519,"{'att': 250, 'def': 24}","{'att': 271, 'def': 22}",1,6,0,0,1.096,d,2014-09-28 16:00:00,0,1,0,1,-0.143
h,0.496,2.731,0.496,2.731,"{'att': 320, 'def': 40}","{'att': 106, 'def': 24}",1,8,1,2,0.182,l,2014-10-04 16:00:00,0,0,1,0,-2.235
a,0.603,1.389,0.603,0.629,"{'att': 243, 'def': 29}","{'att': 192, 'def': 13}",3,5,1,1,0.621,d,2014-10-19 16:00:00,0,1,0,1,-0.026
h,2.029,1.135,1.269,0.375,"{'att': 287, 'def': 26}","{'att': 247, 'def': 20}",3,4,2,1,2.102,w,2014-10-25 19:00:00,1,0,0,3,0.895
a,0.791,2.324,0.791,1.564,"{'att': 126, 'def': 23}","{'att': 210, 'def': 31}",1,4,2,3,0.362,l,2014-11-01 19:00:00,0,0,1,0,-0.773
h,0.55,0.719,0.55,0.719,"{'att': 165, 'def': 28}","{'att': 211, 'def': 32}",7,5,1,2,1.115,l,2014-11-08 19:00:00,0,0,1,0,-0.169
a,0.457,3.048,0.457,3.048,"{'att': 310, 'def': 39}","{'att': 147, 'def': 25}",4,14,2,2,0.098,d,2014-11-22 19:00:00,0,1,0,1,-2.591
h,2.348,0.618,2.348,0.618,"{'att': 167, 'def': 25}","{'att': 205, 'def': 24}",5,4,1,1,2.602,d,2014-11-29 19:00:00,0,1,0,1,1.73
a,0.586,2.556,0.586,1.796,"{'att': 200, 'def': 24}","{'att': 239, 'def': 23}",1,7,1,5,0.185,l,2014-12-03 18:00:00,0,0,1,0,-1.21
h,1.739,2.423,0.979,1.663,"{'att': 225, 'def': 27}","{'att': 139, 'def': 30}",4,6,2,3,0.898,l,2014-12-06 19:00:00,0,0,1,0,-0.684
a,0.374,4.088,0.374,2.471,"{'att': 440, 'def': 27}","{'att': 168, 'def': 28}",4,8,0,3,0.017,l,2014-12-12 19:30:00,0,0,1,0,-2.097
h,0.447,1.176,0.447,1.176,"{'att': 134, 'def': 29}","{'att': 228, 'def': 32}",1,2,1,1,0.465,d,2014-12-20 19:00:00,0,1,0,1,-0.729
a,0.195,1.186,0.195,1.186,"{'att': 331, 'def': 30}","{'att': 204, 'def': 26}",1,6,0,1,0.396,l,2015-01-10 19:00:00,0,0,1,0,-0.991
h,3.058,1.566,2.298,0.806,"{'att': 278, 'def': 21}","{'att': 125, 'def': 24}",2,2,4,1,2.494,w,2015-01-17 19:00:00,1,0,0,3,1.492
a,1.21,0.821,1.21,0.821,"{'att': 224, 'def': 15}","{'att': 159, 'def': 18}",5,7,4,1,1.676,w,2015-01-25 16:00:00,1,0,0,3,0.389
