h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.167,1.025,0.167,1.025,"{'att': 306, 'def': 14}","{'att': 296, 'def': 25}",2,3,0,1,0.491,l,2014-08-09 20:00:00,0,0,1,0,-0.858
h,0.909,1.004,0.909,1.004,"{'att': 267, 'def': 29}","{'att': 255, 'def': 17}",2,2,0,1,1.217,l,2014-08-16 19:00:00,0,0,1,0,-0.095
a,1.832,0.907,1.832,0.907,"{'att': 270, 'def': 22}","{'att': 153, 'def': 36}",3,6,1,0,2.165,w,2014-08-24 13:00:00,1,0,0,3,0.925
h,2.678,1.286,1.157,1.286,"{'att': 222, 'def': 18}","{'att': 267, 'def': 22}",4,3,4,2,2.38,w,2014-08-30 19:00:00,1,0,0,3,-0.128
a,0.303,0.689,0.303,0.689,"{'att': 292, 'def': 26}","{'att': 158, 'def': 17}",3,3,1,1,0.857,d,2014-09-13 19:00:00,0,1,0,1,-0.387
h,0.881,1.038,0.881,1.038,"{'att': 260, 'def': 23}","{'att': 211, 'def': 22}",1,6,0,1,1.224,l,2014-09-21 16:00:00,0,0,1,0,-0.157
a,0.86,0.968,0.86,0.968,"{'att': 235, 'def': 28}","{'att': 297, 'def': 28}",3,1,1,2,1.258,l,2014-09-24 18:00:00,0,0,1,0,-0.108
h,0.519,0.375,0.519,0.375,"{'att': 271, 'def': 22}","{'att': 250, 'def': 24}",6,1,0,0,1.413,d,2014-09-28 16:00:00,0,1,0,1,0.143
a,0.191,2.264,0.191,2.264,"{'att': 262, 'def': 14}","{'att': 285, 'def': 33}",2,6,0,2,0.094,l,2014-10-04 19:00:00,0,0,1,0,-2.073
h,0.888,2.323,0.888,1.563,"{'att': 441, 'def': 19}","{'att': 152, 'def': 27}",2,9,1,3,0.421,l,2014-10-17 19:30:00,0,0,1,0,-0.675
a,1.222,0.868,1.222,0.868,"{'att': 350, 'def': 7}","{'att': 126, 'def': 30}",3,14,2,0,1.678,w,2014-10-24 19:30:00,1,0,0,3,0.354
a,1.101,1.558,1.101,1.558,"{'att': 209, 'def': 33}","{'att': 165, 'def': 26}",5,6,1,2,0.996,l,2014-11-02 20:00:00,0,0,1,0,-0.457
h,1.042,1.519,0.282,1.519,"{'att': 210, 'def': 31}","{'att': 206, 'def': 24}",3,3,1,2,0.877,l,2014-11-08 16:00:00,0,0,1,0,-1.237
a,0.382,2.01,0.382,2.01,"{'att': 325, 'def': 28}","{'att': 186, 'def': 24}",4,11,0,1,0.312,l,2014-11-22 19:00:00,0,0,1,0,-1.628
h,1.528,0.819,1.528,0.819,"{'att': 123, 'def': 20}","{'att': 208, 'def': 29}",2,2,2,0,1.926,w,2014-11-29 19:00:00,1,0,0,3,0.709
a,1.293,1.076,0.408,0.315,"{'att': 199, 'def': 25}","{'att': 228, 'def': 23}",2,4,0,2,1.508,l,2014-12-02 20:00:00,0,0,1,0,0.092
h,1.19,0.723,1.19,0.723,"{'att': 144, 'def': 24}","{'att': 203, 'def': 23}",6,4,1,1,1.753,d,2014-12-07 16:00:00,0,1,0,1,0.466
a,1.34,2.022,1.34,2.022,"{'att': 114, 'def': 39}","{'att': 168, 'def': 30}",1,6,3,3,0.787,d,2014-12-13 19:00:00,0,1,0,1,-0.683
h,1.451,0.64,0.691,0.64,"{'att': 250, 'def': 35}","{'att': 170, 'def': 24}",6,2,2,0,2.124,w,2014-12-19 19:30:00,1,0,0,3,0.051
a,0.493,2.276,0.493,1.516,"{'att': 137, 'def': 27}","{'att': 254, 'def': 22}",4,5,0,2,0.238,l,2015-01-10 19:00:00,0,0,1,0,-1.022
h,0.971,1.172,0.971,0.412,"{'att': 241, 'def': 32}","{'att': 148, 'def': 24}",1,0,0,2,1.092,l,2015-01-17 16:00:00,0,0,1,0,0.56
a,2.562,0.962,2.562,0.962,"{'att': 205, 'def': 25}","{'att': 110, 'def': 20}",3,4,0,0,2.453,d,2015-01-25 16:00:00,0,1,0,1,1.6
h,2.088,0.855,1.328,0.095,"{'att': 157, 'def': 24}","{'att': 216, 'def': 27}",10,1,1,1,2.376,d,2015-01-31 19:00:00,0,1,0,1,1.233
a,1.667,1.531,0.907,1.531,"{'att': 289, 'def': 26}","{'att': 190, 'def': 31}",5,10,3,3,1.443,d,2015-02-06 19:30:00,0,1,0,1,-0.624
h,1.381,0.818,1.381,0.818,"{'att': 135, 'def': 25}","{'att': 251, 'def': 25}",8,2,0,2,1.838,l,2015-02-14 19:00:00,0,0,1,0,0.563
a,1.379,1.847,0.441,1.087,"{'att': 190, 'def': 24}","{'att': 240, 'def': 34}",3,3,1,4,0.894,l,2015-02-21 19:00:00,0,0,1,0,-0.646
h,0.982,1.356,0.982,1.356,"{'att': 153, 'def': 33}","{'att': 174, 'def': 19}",6,3,0,1,1.016,l,2015-02-28 19:00:00,0,0,1,0,-0.374
a,0.623,4.748,0.623,3.988,"{'att': 335, 'def': 10}","{'att': 179, 'def': 29}",2,13,1,4,0.024,l,2015-03-07 16:00:00,0,0,1,0,-3.364
h,0.675,0.619,0.675,0.619,"{'att': 92, 'def': 25}","{'att': 131, 'def': 25}",4,7,1,0,1.355,w,2015-03-14 19:00:00,1,0,0,3,0.055
h,0.346,0.383,0.346,0.383,"{'att': 115, 'def': 24}","{'att': 70, 'def': 12}",2,3,0,4,1.185,l,2015-03-22 20:00:00,0,0,1,0,-0.038
a,1.436,1.843,1.436,1.843,"{'att': 240, 'def': 32}","{'att': 112, 'def': 15}",4,6,1,2,1.07,l,2015-04-05 13:00:00,0,0,1,0,-0.407
h,0.712,0.487,0.712,0.487,"{'att': 201, 'def': 38}","{'att': 157, 'def': 13}",4,3,0,0,1.542,d,2015-04-12 16:00:00,0,1,0,1,0.224
a,0.263,3.0,0.263,2.24,"{'att': 220, 'def': 22}","{'att': 220, 'def': 19}",2,5,1,3,0.05,l,2015-04-18 19:00:00,0,0,1,0,-1.977
h,0.485,2.344,0.485,2.344,"{'att': 268, 'def': 25}","{'att': 231, 'def': 26}",4,6,0,3,0.218,l,2015-04-26 16:00:00,0,0,1,0,-1.859
a,0.378,2.555,0.378,1.795,"{'att': 309, 'def': 27}","{'att': 196, 'def': 24}",1,9,1,3,0.096,l,2015-05-03 13:00:00,0,0,1,0,-1.417
h,0.265,1.726,0.265,1.726,"{'att': 252, 'def': 16}","{'att': 213, 'def': 16}",5,9,0,1,0.304,l,2015-05-10 13:00:00,0,0,1,0,-1.461
a,0.972,2.684,0.972,2.684,"{'att': 212, 'def': 16}","{'att': 304, 'def': 25}",2,9,1,2,0.351,l,2015-05-16 20:00:00,0,0,1,0,-1.712
h,0.955,1.002,0.955,1.002,"{'att': 373, 'def': 23}","{'att': 158, 'def': 31}",1,6,1,0,1.332,w,2015-05-23 20:00:00,1,0,0,3,-0.047
