h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.545,0.057,1.545,0.057,"{'att': 83, 'def': 23}","{'att': 379, 'def': 18}",5,0,0,0,2.642,d,2014-08-09 20:00:00,0,1,0,1,1.488
a,0.946,0.274,0.186,0.274,"{'att': 190, 'def': 21}","{'att': 394, 'def': 37}",1,0,1,0,2.191,w,2014-08-15 19:30:00,1,0,0,3,-0.088
h,0.782,0.336,0.782,0.336,"{'att': 206, 'def': 34}","{'att': 415, 'def': 14}",5,0,2,0,1.786,w,2014-08-23 19:00:00,1,0,0,3,0.446
a,0.209,1.741,0.209,1.741,"{'att': 282, 'def': 18}","{'att': 224, 'def': 26}",2,7,1,1,0.135,d,2014-08-30 16:00:00,0,1,0,1,-1.532
h,1.463,0.988,1.463,0.988,"{'att': 175, 'def': 26}","{'att': 292, 'def': 21}",2,2,2,0,1.771,w,2014-09-14 13:00:00,1,0,0,3,0.475
h,0.817,0.35,0.817,0.35,"{'att': 148, 'def': 22}","{'att': 273, 'def': 28}",7,3,0,0,1.78,d,2014-09-21 13:00:00,0,1,0,1,0.467
a,0.221,0.867,0.221,0.867,"{'att': 237, 'def': 34}","{'att': 198, 'def': 24}",5,3,0,1,0.621,l,2014-09-24 18:00:00,0,0,1,0,-0.646
h,0.669,0.465,0.669,0.465,"{'att': 192, 'def': 30}","{'att': 300, 'def': 24}",4,3,1,0,1.481,w,2014-09-27 19:00:00,1,0,0,3,0.204
a,0.368,2.337,0.368,2.337,"{'att': 242, 'def': 39}","{'att': 276, 'def': 24}",3,4,0,3,0.131,l,2014-10-05 16:00:00,0,0,1,0,-1.969
h,1.909,1.147,1.909,1.147,"{'att': 118, 'def': 18}","{'att': 334, 'def': 21}",8,4,1,2,1.922,l,2014-10-18 19:00:00,0,0,1,0,0.762
a,0.388,2.168,0.388,2.168,"{'att': 296, 'def': 22}","{'att': 209, 'def': 24}",0,8,0,2,0.243,l,2014-10-26 13:00:00,0,0,1,0,-1.78
h,1.572,1.514,0.802,0.754,"{'att': 202, 'def': 14}","{'att': 284, 'def': 14}",3,0,1,1,1.374,d,2014-11-01 19:00:00,0,1,0,1,0.048
a,0.581,2.377,0.581,1.617,"{'att': 294, 'def': 21}","{'att': 257, 'def': 16}",1,2,0,2,0.239,l,2014-11-09 16:00:00,0,0,1,0,-1.036
a,0.282,1.241,0.282,1.241,"{'att': 260, 'def': 20}","{'att': 249, 'def': 21}",3,3,0,1,0.496,l,2014-11-30 13:00:00,0,0,1,0,-0.959
h,1.328,3.247,1.328,3.247,"{'att': 346, 'def': 24}","{'att': 180, 'def': 31}",1,9,1,1,0.318,d,2014-12-03 20:00:00,0,1,0,1,-1.918
