h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.625,2.093,0.865,1.333,"{'att': 370, 'def': 17}","{'att': 206, 'def': 30}",0,10,2,1,0.967,w,2014-08-10 20:00:00,1,0,0,3,-0.468
h,1.034,0.327,1.034,0.327,"{'att': 255, 'def': 24}","{'att': 364, 'def': 21}",4,1,0,0,2.054,d,2014-08-16 19:00:00,0,1,0,1,0.707
a,0.336,0.782,0.336,0.782,"{'att': 415, 'def': 14}","{'att': 206, 'def': 34}",0,5,0,2,0.815,l,2014-08-23 19:00:00,0,0,1,0,-0.446
h,2.05,0.607,2.05,0.607,"{'att': 160, 'def': 14}","{'att': 291, 'def': 23}",2,4,4,0,2.494,w,2014-08-30 19:00:00,1,0,0,3,1.442
a,0.378,1.487,0.378,1.487,"{'att': 202, 'def': 28}","{'att': 282, 'def': 32}",4,4,0,1,0.428,l,2014-09-13 19:00:00,0,0,1,0,-1.11
h,0.236,0.826,0.236,0.826,"{'att': 167, 'def': 12}","{'att': 422, 'def': 20}",1,3,0,1,0.631,l,2014-09-20 19:00:00,0,0,1,0,-0.59
a,0.45,2.156,0.45,2.156,"{'att': 430, 'def': 25}","{'att': 340, 'def': 12}",5,8,0,4,0.279,l,2014-09-24 18:00:00,0,0,1,0,-1.706
h,0.792,0.834,0.792,0.834,"{'att': 158, 'def': 17}","{'att': 290, 'def': 26}",6,2,0,2,1.23,l,2014-09-27 19:00:00,0,0,1,0,-0.043
a,0.692,0.307,0.692,0.307,"{'att': 302, 'def': 27}","{'att': 149, 'def': 29}",2,3,2,0,1.694,w,2014-10-04 19:00:00,1,0,0,3,0.385
h,0.18,1.46,0.18,1.46,"{'att': 298, 'def': 15}","{'att': 297, 'def': 27}",0,6,0,1,0.309,l,2014-10-18 16:00:00,0,0,1,0,-1.281
a,1.135,2.029,0.375,1.269,"{'att': 247, 'def': 20}","{'att': 287, 'def': 26}",4,3,1,2,0.642,l,2014-10-25 19:00:00,0,0,1,0,-0.895
h,1.172,1.725,1.172,1.725,"{'att': 292, 'def': 26}","{'att': 198, 'def': 22}",5,4,1,2,0.852,l,2014-11-01 16:00:00,0,0,1,0,-0.553
a,0.152,1.69,0.152,1.69,"{'att': 282, 'def': 16}","{'att': 250, 'def': 28}",2,2,0,1,0.236,l,2014-11-07 19:30:00,0,0,1,0,-1.537
h,2.01,0.382,2.01,0.382,"{'att': 186, 'def': 24}","{'att': 325, 'def': 28}",11,4,1,0,2.533,w,2014-11-22 19:00:00,1,0,0,3,1.628
a,2.606,2.683,1.846,2.683,"{'att': 274, 'def': 16}","{'att': 183, 'def': 27}",6,8,3,2,1.329,w,2014-11-29 19:00:00,1,0,0,3,-0.837
h,1.02,1.932,0.259,1.932,"{'att': 271, 'def': 21}","{'att': 167, 'def': 21}",4,8,1,1,0.68,d,2014-12-02 18:00:00,0,1,0,1,-1.673
a,1.505,2.729,1.505,2.729,"{'att': 308, 'def': 22}","{'att': 169, 'def': 27}",4,7,2,3,0.637,l,2014-12-06 19:00:00,0,0,1,0,-1.224
h,2.22,0.37,2.22,0.37,"{'att': 159, 'def': 16}","{'att': 214, 'def': 23}",7,1,3,1,2.665,w,2014-12-13 19:00:00,1,0,0,3,1.85
h,2.856,1.068,2.856,1.068,"{'att': 230, 'def': 31}","{'att': 305, 'def': 18}",7,2,1,2,2.49,l,2014-12-20 19:00:00,0,0,1,0,1.788
