h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.545,0.706,1.545,0.706,"{'att': 303, 'def': 20}","{'att': 147, 'def': 20}",8,2,2,0,2.033,w,2015-08-08 23:00:00,1,0,0,3,0.839
h,0.392,0.166,0.392,0.166,"{'att': 291, 'def': 21}","{'att': 288, 'def': 24}",2,3,0,0,1.446,d,2015-08-15 22:00:00,0,1,0,1,0.226
a,1.157,0.385,1.157,0.385,"{'att': 324, 'def': 15}","{'att': 111, 'def': 22}",1,3,2,0,2.101,w,2015-08-22 22:00:00,1,0,0,3,0.772
h,0.304,0.905,0.304,0.905,"{'att': 441, 'def': 20}","{'att': 181, 'def': 19}",0,2,1,1,0.652,d,2015-08-29 22:00:00,0,1,0,1,-0.601
a,0.736,1.36,0.736,1.36,"{'att': 318, 'def': 29}","{'att': 322, 'def': 31}",1,10,1,3,0.824,l,2015-09-12 22:00:00,0,0,1,0,-0.624
h,1.888,1.66,1.128,1.66,"{'att': 303, 'def': 19}","{'att': 147, 'def': 19}",3,4,1,0,1.53,w,2015-09-19 22:00:00,1,0,0,3,-0.532
h,0.594,0.18,0.594,0.18,"{'att': 293, 'def': 23}","{'att': 285, 'def': 28}",1,4,0,0,1.725,d,2015-09-22 21:00:00,0,1,0,1,0.415
a,1.095,1.571,0.335,0.811,"{'att': 387, 'def': 21}","{'att': 145, 'def': 26}",2,10,2,1,0.925,w,2015-09-27 16:00:00,1,0,0,3,-0.476
h,2.309,0.462,1.549,0.462,"{'att': 209, 'def': 25}","{'att': 244, 'def': 27}",5,7,1,0,2.672,w,2015-10-03 22:00:00,1,0,0,3,1.087
a,0.363,1.669,0.363,1.669,"{'att': 359, 'def': 27}","{'att': 250, 'def': 41}",2,9,2,1,0.386,w,2015-10-17 22:00:00,1,0,0,3,-1.307
h,0.32,1.038,0.32,1.038,"{'att': 220, 'def': 19}","{'att': 242, 'def': 26}",5,6,0,0,0.635,d,2015-10-24 22:00:00,0,1,0,1,-0.718
a,0.688,2.11,0.688,2.11,"{'att': 293, 'def': 30}","{'att': 269, 'def': 30}",0,5,0,1,0.329,l,2015-11-01 20:00:00,0,0,1,0,-1.422
h,1.617,0.803,0.857,0.803,"{'att': 352, 'def': 23}","{'att': 287, 'def': 33}",5,2,0,2,2.058,l,2015-11-06 23:30:00,0,0,1,0,0.054
a,0.379,0.509,0.379,0.509,"{'att': 255, 'def': 22}","{'att': 336, 'def': 22}",8,4,0,0,1.094,d,2015-11-22 17:00:00,0,1,0,1,-0.13
h,1.418,0.398,1.418,0.398,"{'att': 276, 'def': 30}","{'att': 273, 'def': 24}",5,4,2,0,2.321,w,2015-11-28 23:00:00,1,0,0,3,1.02
h,0.59,0.654,0.59,0.654,"{'att': 512, 'def': 10}","{'att': 122, 'def': 27}",3,5,0,0,1.245,d,2015-12-01 22:00:00,0,1,0,1,-0.064
a,0.698,0.7,0.698,0.7,"{'att': 364, 'def': 12}","{'att': 204, 'def': 34}",3,9,2,0,1.319,w,2015-12-05 20:00:00,1,0,0,3,-0.002
h,1.381,0.557,1.381,0.557,"{'att': 304, 'def': 34}","{'att': 275, 'def': 22}",0,0,1,1,2.096,d,2015-12-13 20:00:00,0,1,0,1,0.823
a,0.421,1.107,0.421,1.107,"{'att': 276, 'def': 22}","{'att': 191, 'def': 29}",5,4,0,1,0.722,l,2015-12-20 17:00:00,0,0,1,0,-0.686
h,1.189,1.047,1.189,1.047,"{'att': 178, 'def': 15}","{'att': 337, 'def': 24}",1,2,2,0,1.458,w,2016-01-09 23:00:00,1,0,0,3,0.141
a,0.622,1.808,0.622,0.288,"{'att': 415, 'def': 21}","{'att': 206, 'def': 28}",1,2,1,2,0.372,l,2016-01-15 23:30:00,0,0,1,0,0.334
a,0.339,2.629,0.339,2.629,"{'att': 680, 'def': 26}","{'att': 226, 'def': 34}",3,6,1,5,0.135,l,2016-01-23 20:00:00,0,0,1,0,-2.291
h,2.36,0.452,2.36,0.452,"{'att': 321, 'def': 23}","{'att': 213, 'def': 19}",0,1,3,0,2.763,w,2016-01-30 20:00:00,1,0,0,3,1.909
a,1.368,0.759,1.368,0.759,"{'att': 230, 'def': 15}","{'att': 202, 'def': 28}",5,8,1,2,1.932,l,2016-02-03 22:00:00,0,0,1,0,0.608
h,0.331,0.587,0.331,0.587,"{'att': 436, 'def': 26}","{'att': 165, 'def': 30}",3,8,0,3,0.993,l,2016-02-06 20:00:00,0,0,1,0,-0.256
a,0.656,0.707,0.656,0.707,"{'att': 397, 'def': 22}","{'att': 146, 'def': 22}",2,5,0,1,1.243,l,2016-02-12 23:30:00,0,0,1,0,-0.051
