h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.033,0.267,1.033,0.267,"{'att': 135, 'def': 33}","{'att': 367, 'def': 12}",3,3,0,1,2.047,l,2018-08-11 21:00:00,0,0,1,0,0.765
a,0.569,1.201,0.569,0.44,"{'att': 180, 'def': 21}","{'att': 380, 'def': 34}",5,0,1,1,0.676,d,2018-08-18 21:00:00,0,1,0,1,0.128
h,1.707,1.942,1.707,1.942,"{'att': 240, 'def': 21}","{'att': 361, 'def': 34}",3,11,0,4,1.172,l,2018-08-25 21:00:00,0,0,1,0,-0.236
a,0.413,1.937,0.413,1.937,"{'att': 309, 'def': 23}","{'att': 236, 'def': 31}",1,11,1,0,0.328,w,2018-08-31 21:45:00,1,0,0,3,-1.524
h,1.433,1.042,1.433,0.282,"{'att': 198, 'def': 22}","{'att': 290, 'def': 33}",4,3,2,1,1.634,w,2018-09-14 17:00:00,1,0,0,3,1.151
a,0.312,1.672,0.312,1.672,"{'att': 212, 'def': 23}","{'att': 398, 'def': 29}",1,4,0,1,0.288,l,2018-09-22 18:00:00,0,0,1,0,-1.36
a,1.508,0.867,1.508,0.867,"{'att': 227, 'def': 32}","{'att': 256, 'def': 24}",8,4,2,1,1.883,w,2018-09-25 17:00:00,1,0,0,3,0.641
h,0.349,3.196,0.349,3.196,"{'att': 387, 'def': 23}","{'att': 223, 'def': 29}",3,9,0,3,0.081,l,2018-09-29 15:15:00,0,0,1,0,-2.847
a,0.732,1.193,0.732,1.193,"{'att': 198, 'def': 42}","{'att': 348, 'def': 26}",6,6,1,1,0.928,d,2018-10-05 18:45:00,0,1,0,1,-0.46
h,0.665,0.477,0.665,0.477,"{'att': 249, 'def': 19}","{'att': 361, 'def': 18}",4,5,0,1,1.484,l,2018-10-21 19:00:00,0,0,1,0,0.187
a,1.167,1.678,1.167,1.678,"{'att': 268, 'def': 22}","{'att': 289, 'def': 27}",6,15,1,0,0.989,w,2018-10-28 15:00:00,1,0,0,3,-0.511
h,1.242,0.702,1.242,0.702,"{'att': 264, 'def': 18}","{'att': 337, 'def': 32}",3,4,1,0,1.943,w,2018-11-03 19:00:00,1,0,0,3,0.54
a,1.111,1.006,1.111,0.246,"{'att': 118, 'def': 23}","{'att': 345, 'def': 19}",4,0,1,0,1.369,w,2018-11-10 19:00:00,1,0,0,3,0.865
h,0.889,0.298,0.889,0.298,"{'att': 226, 'def': 18}","{'att': 292, 'def': 36}",3,6,2,0,1.918,w,2018-11-25 16:00:00,1,0,0,3,0.591
a,0.616,1.044,0.616,1.044,"{'att': 210, 'def': 19}","{'att': 527, 'def': 17}",1,3,0,0,0.889,d,2018-12-01 19:00:00,0,1,0,1,-0.428
h,2.322,0.255,2.322,0.255,"{'att': 237, 'def': 27}","{'att': 526, 'def': 22}",2,1,0,0,2.806,d,2018-12-04 18:00:00,0,1,0,1,2.067
h,2.25,1.545,1.49,1.545,"{'att': 196, 'def': 17}","{'att': 290, 'def': 24}",11,6,1,1,1.883,d,2018-12-16 00:00:00,0,1,0,1,-0.056
