h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.447,1.882,0.447,1.882,"{'att': 281, 'def': 26}","{'att': 182, 'def': 16}",5,17,1,3,0.353,l,2018-08-11 21:00:00,0,0,1,0,-1.434
h,0.391,0.35,0.391,0.35,"{'att': 205, 'def': 19}","{'att': 311, 'def': 10}",2,4,1,0,1.287,w,2018-08-18 21:00:00,1,0,0,3,0.041
a,1.676,1.032,0.916,1.032,"{'att': 326, 'def': 23}","{'att': 144, 'def': 19}",2,1,2,2,2.022,d,2018-08-26 22:00:00,0,1,0,1,-0.117
h,2.647,0.448,2.647,0.448,"{'att': 260, 'def': 21}","{'att': 210, 'def': 22}",4,3,2,0,2.762,w,2018-09-02 15:00:00,1,0,0,3,2.199
a,1.042,1.433,0.282,1.433,"{'att': 290, 'def': 33}","{'att': 198, 'def': 22}",3,4,1,2,1.052,l,2018-09-14 17:00:00,0,0,1,0,-1.151
h,1.292,1.573,1.292,1.573,"{'att': 291, 'def': 21}","{'att': 205, 'def': 21}",4,8,1,3,1.097,l,2018-09-23 13:00:00,0,0,1,0,-0.281
a,1.83,0.731,1.83,0.731,"{'att': 187, 'def': 21}","{'att': 189, 'def': 21}",3,2,1,2,2.228,l,2018-09-26 17:00:00,0,0,1,0,1.099
h,2.452,0.279,1.692,0.279,"{'att': 167, 'def': 26}","{'att': 291, 'def': 19}",5,0,1,1,2.818,d,2018-09-30 13:00:00,0,1,0,1,1.413
a,1.017,0.39,1.017,0.39,"{'att': 239, 'def': 23}","{'att': 280, 'def': 22}",3,6,2,1,1.99,w,2018-10-07 15:00:00,1,0,0,3,0.626
a,2.016,1.767,1.256,1.007,"{'att': 310, 'def': 28}","{'att': 272, 'def': 26}",1,4,1,1,1.568,d,2018-10-21 15:00:00,0,1,0,1,0.249
h,0.513,0.226,0.513,0.226,"{'att': 117, 'def': 32}","{'att': 328, 'def': 23}",9,3,0,2,1.564,l,2018-10-28 13:00:00,0,0,1,0,0.287
a,2.616,1.4,2.616,1.4,"{'att': 262, 'def': 23}","{'att': 183, 'def': 19}",7,5,2,1,2.244,w,2018-11-03 19:00:00,1,0,0,3,1.217
h,1.882,0.185,0.976,0.185,"{'att': 117, 'def': 21}","{'att': 206, 'def': 22}",10,1,1,1,2.804,d,2018-11-11 16:00:00,0,1,0,1,0.791
a,1.488,2.464,0.728,2.464,"{'att': 277, 'def': 20}","{'att': 215, 'def': 19}",2,2,2,2,0.657,d,2018-11-25 14:00:00,0,1,0,1,-1.737
h,0.58,3.478,0.58,1.958,"{'att': 301, 'def': 26}","{'att': 268, 'def': 11}",2,5,1,4,0.069,l,2018-12-02 16:00:00,0,0,1,0,-1.378
a,1.545,1.405,1.545,1.405,"{'att': 384, 'def': 29}","{'att': 174, 'def': 23}",4,9,2,0,1.481,w,2018-12-05 18:00:00,1,0,0,3,0.139
h,2.995,0.495,2.995,0.495,"{'att': 266, 'def': 11}","{'att': 269, 'def': 27}",5,1,2,0,2.818,w,2018-12-08 19:00:00,1,0,0,3,2.5
h,3.072,0.716,3.072,0.716,"{'att': 247, 'def': 28}","{'att': 234, 'def': 26}",7,4,4,0,2.798,w,2018-12-22 19:00:00,1,0,0,3,2.356
a,0.282,1.387,0.282,1.387,"{'att': 246, 'def': 26}","{'att': 203, 'def': 38}",1,13,1,0,0.446,w,2019-01-13 14:00:00,1,0,0,3,-1.105
a,1.42,1.14,1.42,1.14,"{'att': 160, 'def': 23}","{'att': 339, 'def': 20}",10,6,1,2,1.584,l,2019-01-16 18:00:00,0,0,1,0,0.28
h,0.768,0.34,0.768,0.34,"{'att': 216, 'def': 21}","{'att': 297, 'def': 23}",9,3,0,0,1.726,d,2019-01-20 14:00:00,0,1,0,1,0.429
a,0.998,2.858,0.998,2.858,"{'att': 413, 'def': 20}","{'att': 257, 'def': 24}",5,14,1,4,0.329,l,2019-01-27 20:00:00,0,0,1,0,-1.86
h,1.928,0.682,1.928,0.682,"{'att': 233, 'def': 18}","{'att': 260, 'def': 20}",6,1,1,0,2.358,w,2019-02-02 19:00:00,1,0,0,3,1.247
h,2.783,1.454,2.023,1.454,"{'att': 358, 'def': 19}","{'att': 201, 'def': 23}",7,8,3,0,2.358,w,2019-02-10 16:00:00,1,0,0,3,0.568
a,0.395,0.665,0.395,0.665,"{'att': 178, 'def': 25}","{'att': 342, 'def': 20}",7,3,0,2,0.964,l,2019-02-17 16:00:00,0,0,1,0,-0.27
h,1.062,0.465,1.062,0.465,"{'att': 154, 'def': 28}","{'att': 198, 'def': 24}",8,0,1,1,1.858,d,2019-02-24 16:00:00,0,1,0,1,0.597
h,1.893,0.179,1.893,0.179,"{'att': 212, 'def': 27}","{'att': 303, 'def': 16}",8,1,3,1,2.682,w,2019-03-10 16:00:00,1,0,0,3,1.714
a,0.836,1.521,0.836,1.521,"{'att': 226, 'def': 25}","{'att': 206, 'def': 26}",3,4,1,1,0.623,d,2019-03-17 16:00:00,0,1,0,1,-0.685
h,1.342,1.917,1.342,1.917,"{'att': 278, 'def': 25}","{'att': 177, 'def': 32}",6,9,0,1,0.949,l,2019-03-29 19:45:00,0,0,1,0,-0.575
a,2.126,1.974,1.366,1.974,"{'att': 245, 'def': 20}","{'att': 361, 'def': 25}",4,10,3,3,1.51,d,2019-04-06 19:00:00,0,1,0,1,-0.608
a,0.817,1.448,0.817,1.448,"{'att': 227, 'def': 24}","{'att': 316, 'def': 23}",3,5,1,3,0.876,l,2019-04-09 18:00:00,0,0,1,0,-0.632
