h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,1.295,1.524,1.295,1.524,"{'att': 252, 'def': 23}","{'att': 323, 'def': 34}",3,4,1,3,1.204,l,2019-08-10 19:00:00,0,0,1,0,-0.229
h,0.786,0.683,0.786,0.683,"{'att': 134, 'def': 20}","{'att': 381, 'def': 37}",1,5,1,1,1.379,d,2019-08-17 19:00:00,0,1,0,1,0.102
a,0.626,0.235,0.626,0.235,"{'att': 277, 'def': 32}","{'att': 345, 'def': 35}",3,3,2,0,1.681,w,2019-08-24 19:00:00,1,0,0,3,0.391
a,0.962,1.005,0.962,1.005,"{'att': 290, 'def': 23}","{'att': 283, 'def': 26}",7,2,1,1,1.273,d,2019-08-31 16:30:00,0,1,0,1,-0.043
h,1.515,0.945,1.515,0.945,"{'att': 317, 'def': 36}","{'att': 280, 'def': 31}",4,6,2,0,1.822,w,2019-09-14 18:00:00,1,0,0,3,0.57
h,1.564,1.384,1.564,1.384,"{'att': 225, 'def': 17}","{'att': 311, 'def': 14}",4,14,2,2,1.485,d,2019-09-21 18:00:00,0,1,0,1,0.18
a,0.663,1.331,0.663,1.331,"{'att': 228, 'def': 20}","{'att': 320, 'def': 28}",3,2,3,1,0.692,w,2019-09-25 17:00:00,1,0,0,3,-0.668
h,0.105,2.835,0.105,2.835,"{'att': 365, 'def': 15}","{'att': 232, 'def': 39}",0,22,0,1,0.041,l,2019-09-28 15:30:00,0,0,1,0,-2.73
a,1.08,0.846,1.08,0.846,"{'att': 101, 'def': 21}","{'att': 380, 'def': 32}",5,2,3,1,1.572,w,2019-10-05 19:00:00,1,0,0,3,0.234
h,0.899,0.869,0.899,0.109,"{'att': 199, 'def': 30}","{'att': 439, 'def': 40}",2,1,0,1,1.266,l,2019-10-20 14:00:00,0,0,1,0,0.79
a,0.294,1.567,0.294,0.807,"{'att': 176, 'def': 22}","{'att': 322, 'def': 36}",2,8,0,3,0.301,l,2019-10-26 16:30:00,0,0,1,0,-0.513
h,0.829,0.793,0.829,0.793,"{'att': 269, 'def': 18}","{'att': 251, 'def': 27}",5,4,2,0,1.374,w,2019-11-03 14:00:00,1,0,0,3,0.036
a,1.737,1.555,0.977,1.555,"{'att': 257, 'def': 33}","{'att': 409, 'def': 33}",2,4,1,1,1.513,d,2019-11-08 19:45:00,0,1,0,1,-0.577
h,1.483,1.434,0.723,1.434,"{'att': 259, 'def': 16}","{'att': 304, 'def': 33}",3,7,2,1,1.406,w,2019-11-24 14:00:00,1,0,0,3,-0.71
a,0.215,1.162,0.215,1.162,"{'att': 231, 'def': 27}","{'att': 277, 'def': 24}",2,2,1,1,0.444,d,2019-11-30 19:00:00,0,1,0,1,-0.948
h,2.1,0.193,2.1,0.193,"{'att': 146, 'def': 21}","{'att': 584, 'def': 21}",5,3,6,0,2.731,w,2019-12-03 18:00:00,1,0,0,3,1.907
a,0.158,2.048,0.158,2.048,"{'att': 256, 'def': 20}","{'att': 326, 'def': 35}",2,9,1,3,0.153,l,2019-12-08 20:00:00,0,0,1,0,-1.89
h,1.286,0.527,1.286,0.527,"{'att': 186, 'def': 22}","{'att': 452, 'def': 12}",5,3,0,1,2.064,l,2019-12-15 14:00:00,0,0,1,0,0.759
a,0.541,1.079,0.541,1.079,"{'att': 208, 'def': 37}","{'att': 285, 'def': 27}",3,7,0,1,0.818,l,2019-12-21 19:45:00,0,0,1,0,-0.538
h,0.714,2.431,0.714,2.431,"{'att': 315, 'def': 16}","{'att': 240, 'def': 32}",3,13,1,2,0.316,l,2020-01-11 16:30:00,0,0,1,0,-1.716
a,0.75,0.201,0.75,0.201,"{'att': 238, 'def': 29}","{'att': 402, 'def': 27}",1,0,1,0,1.932,w,2020-01-26 16:00:00,1,0,0,3,0.549
h,1.152,0.414,1.152,0.414,"{'att': 184, 'def': 27}","{'att': 233, 'def': 29}",1,3,0,0,2.077,d,2020-02-02 20:00:00,0,1,0,1,0.738
a,1.09,1.818,1.09,1.058,"{'att': 258, 'def': 28}","{'att': 277, 'def': 26}",4,3,1,1,0.762,d,2020-02-05 18:00:00,0,1,0,1,0.032
a,2.118,0.673,2.118,0.673,"{'att': 121, 'def': 27}","{'att': 401, 'def': 8}",7,2,2,1,2.464,w,2020-02-08 19:00:00,1,0,0,3,1.446
h,1.668,0.948,1.668,0.948,"{'att': 199, 'def': 32}","{'att': 436, 'def': 17}",3,2,2,2,2.021,d,2020-02-15 19:00:00,0,1,0,1,0.72
a,1.891,5.581,1.891,5.581,"{'att': 372, 'def': 34}","{'att': 133, 'def': 29}",2,15,3,4,0.085,l,2020-02-23 20:00:00,0,0,1,0,-3.69
h,2.022,0.407,2.022,0.407,"{'att': 374, 'def': 35}","{'att': 245, 'def': 26}",7,3,1,1,2.614,d,2020-03-01 15:05:00,0,1,0,1,1.615
a,0.924,0.712,0.924,0.712,"{'att': 275, 'def': 26}","{'att': 250, 'def': 25}",2,7,1,1,1.567,d,2020-03-08 13:00:00,0,1,0,1,0.213
