h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.492,1.787,0.492,1.787,"{'att': 398, 'def': 30}","{'att': 143, 'def': 28}",2,7,1,2,0.45,l,2020-08-29 15:00:00,0,0,1,0,-1.295
h,1.699,0.377,1.699,0.377,"{'att': 292, 'def': 25}","{'att': 138, 'def': 19}",8,0,3,1,2.412,w,2020-09-12 15:00:00,1,0,0,3,1.323
h,1.752,2.17,0.992,1.41,"{'att': 244, 'def': 22}","{'att': 236, 'def': 27}",3,10,2,1,1.041,w,2020-09-15 19:00:00,1,0,0,3,-0.419
h,1.944,0.772,1.944,0.772,"{'att': 359, 'def': 20}","{'att': 309, 'def': 18}",4,5,4,1,2.249,w,2020-09-20 13:00:00,1,0,0,3,1.172
a,2.312,1.609,1.552,1.609,"{'att': 168, 'def': 19}","{'att': 261, 'def': 27}",6,7,2,2,1.885,d,2020-09-27 13:00:00,0,1,0,1,-0.057
h,0.686,0.589,0.686,0.589,"{'att': 204, 'def': 19}","{'att': 219, 'def': 28}",6,4,0,1,1.377,l,2020-10-04 11:00:00,0,0,1,0,0.098
a,0.109,1.802,0.109,1.042,"{'att': 287, 'def': 8}","{'att': 64, 'def': 27}",0,19,1,1,0.133,d,2020-10-18 13:00:00,0,1,0,1,-0.933
h,0.139,4.333,0.139,2.813,"{'att': 411, 'def': 8}","{'att': 208, 'def': 16}",0,15,0,4,0.002,l,2020-10-25 14:00:00,0,0,1,0,-2.674
a,0.937,0.485,0.937,0.485,"{'att': 328, 'def': 26}","{'att': 231, 'def': 27}",7,5,1,0,1.767,w,2020-11-01 12:00:00,1,0,0,3,0.453
a,1.594,0.475,1.594,0.475,"{'att': 350, 'def': 13}","{'att': 293, 'def': 17}",3,4,2,0,2.315,w,2020-11-07 16:00:00,1,0,0,3,1.12
h,2.655,3.392,2.655,1.872,"{'att': 209, 'def': 16}","{'att': 321, 'def': 19}",7,11,4,3,0.958,w,2020-11-22 14:00:00,1,0,0,3,0.784
a,1.471,0.343,0.711,0.343,"{'att': 204, 'def': 23}","{'att': 301, 'def': 18}",3,6,1,0,2.435,w,2020-11-29 14:00:00,1,0,0,3,0.368
