h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.362,0.136,1.362,0.136,"{'att': 165, 'def': 22}","{'att': 416, 'def': 10}",15,1,0,0,2.418,d,2023-08-12 18:00:00,0,1,0,1,1.225
a,2.004,1.16,1.244,0.4,"{'att': 128, 'def': 19}","{'att': 473, 'def': 19}",9,2,1,1,2.033,d,2023-08-19 19:00:00,0,1,0,1,0.844
h,1.867,0.487,1.867,0.487,"{'att': 173, 'def': 22}","{'att': 498, 'def': 33}",16,4,3,1,2.393,w,2023-08-26 19:00:00,1,0,0,3,1.38
a,4.919,2.443,4.159,1.682,"{'att': 198, 'def': 16}","{'att': 509, 'def': 24}",17,8,4,1,2.624,w,2023-09-03 18:45:00,1,0,0,3,2.477
h,1.219,1.95,1.219,1.95,"{'att': 183, 'def': 24}","{'att': 402, 'def': 27}",11,7,2,3,0.861,l,2023-09-15 19:00:00,0,0,1,0,-0.731
h,2.002,0.569,2.002,0.569,"{'att': 122, 'def': 32}","{'att': 483, 'def': 23}",9,2,4,0,2.524,w,2023-09-24 18:45:00,1,0,0,3,1.434
a,2.991,1.16,2.991,1.16,"{'att': 128, 'def': 22}","{'att': 279, 'def': 17}",14,5,0,0,2.525,d,2023-09-30 15:00:00,0,1,0,1,1.831
a,3.131,1.344,3.131,1.344,"{'att': 224, 'def': 30}","{'att': 386, 'def': 30}",16,7,3,1,2.45,w,2023-10-08 18:45:00,1,0,0,3,1.787
h,2.519,0.224,1.759,0.224,"{'att': 102, 'def': 32}","{'att': 596, 'def': 16}",9,3,3,0,2.887,w,2023-10-21 15:00:00,1,0,0,3,1.534
a,2.098,1.682,1.203,1.682,"{'att': 196, 'def': 30}","{'att': 350, 'def': 36}",7,9,3,2,1.708,w,2023-10-29 12:00:00,1,0,0,3,-0.479
h,1.232,0.584,1.232,0.584,"{'att': 186, 'def': 25}","{'att': 470, 'def': 28}",13,3,3,0,1.872,w,2023-11-03 20:00:00,1,0,0,3,0.648
a,2.64,1.544,2.64,1.544,"{'att': 165, 'def': 26}","{'att': 374, 'def': 30}",8,5,3,0,2.132,w,2023-11-11 16:00:00,1,0,0,3,1.096
