h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.825,0.867,1.825,0.867,"{'att': 122, 'def': 30}","{'att': 243, 'def': 27}",13,1,0,1,2.073,l,2015-08-23 20:00:00,0,0,1,0,0.957
a,0.974,0.971,0.974,0.971,"{'att': 309, 'def': 26}","{'att': 199, 'def': 29}",5,3,1,2,1.394,l,2015-08-30 20:00:00,0,0,1,0,0.003
h,2.747,0.636,1.986,0.636,"{'att': 109, 'def': 34}","{'att': 347, 'def': 27}",10,2,1,1,2.747,d,2015-09-12 22:45:00,0,1,0,1,1.35
a,2.179,0.383,1.418,0.383,"{'att': 258, 'def': 30}","{'att': 276, 'def': 36}",3,5,2,0,2.735,w,2015-09-20 17:00:00,1,0,0,3,1.035
h,1.99,0.513,1.99,0.513,"{'att': 124, 'def': 26}","{'att': 283, 'def': 23}",17,2,1,1,2.399,d,2015-09-23 22:45:00,0,1,0,1,1.478
a,0.68,0.705,0.68,0.705,"{'att': 284, 'def': 25}","{'att': 306, 'def': 45}",5,3,1,2,1.27,l,2015-09-26 22:45:00,0,0,1,0,-0.025
h,3.402,0.139,2.641,0.139,"{'att': 205, 'def': 19}","{'att': 472, 'def': 27}",6,0,3,1,2.963,w,2015-10-04 20:00:00,1,0,0,3,2.501
a,0.9,0.36,0.9,0.36,"{'att': 254, 'def': 16}","{'att': 273, 'def': 27}",5,3,0,0,1.888,d,2015-10-18 22:45:00,0,1,0,1,0.54
h,3.138,0.113,2.377,0.113,"{'att': 169, 'def': 24}","{'att': 457, 'def': 28}",12,1,2,0,2.964,w,2015-10-25 18:00:00,1,0,0,3,2.264
a,0.553,0.327,0.553,0.327,"{'att': 145, 'def': 37}","{'att': 267, 'def': 34}",6,2,0,1,1.506,l,2015-10-28 23:45:00,0,0,1,0,0.226
h,1.472,0.754,1.472,0.754,"{'att': 230, 'def': 23}","{'att': 349, 'def': 19}",9,6,2,1,1.992,w,2015-10-31 21:00:00,1,0,0,3,0.718
a,2.153,0.479,2.153,0.479,"{'att': 258, 'def': 36}","{'att': 348, 'def': 30}",4,2,3,1,2.677,w,2015-11-08 18:00:00,1,0,0,3,1.674
h,1.01,0.58,1.01,0.58,"{'att': 237, 'def': 38}","{'att': 272, 'def': 25}",6,2,1,0,1.714,w,2015-11-21 23:45:00,1,0,0,3,0.43
a,1.603,0.459,1.603,0.459,"{'att': 212, 'def': 32}","{'att': 379, 'def': 33}",4,4,3,0,2.29,w,2015-11-29 23:45:00,1,0,0,3,1.144
a,0.337,0.395,0.337,0.395,"{'att': 382, 'def': 33}","{'att': 206, 'def': 52}",1,5,2,0,1.18,w,2015-12-04 23:45:00,1,0,0,3,-0.058
h,1.683,0.887,1.683,0.125,"{'att': 446, 'def': 28}","{'att': 199, 'def': 29}",9,0,3,1,2.055,w,2015-12-13 23:45:00,1,0,0,3,1.558
a,1.666,1.001,1.666,1.001,"{'att': 155, 'def': 27}","{'att': 388, 'def': 35}",2,4,3,2,1.96,w,2015-12-20 15:30:00,1,0,0,3,0.665
