h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.778,1.017,0.778,1.017,"{'att': 391, 'def': 35}","{'att': 167, 'def': 25}",4,4,2,0,1.111,w,2016-08-21 22:45:00,1,0,0,3,-0.239
a,0.796,0.764,0.796,0.764,"{'att': 358, 'def': 24}","{'att': 207, 'def': 18}",10,4,0,1,1.409,l,2016-08-28 22:45:00,0,0,1,0,0.032
h,2.007,0.746,2.007,0.746,"{'att': 256, 'def': 25}","{'att': 304, 'def': 18}",2,3,1,1,2.357,d,2016-09-11 17:00:00,0,1,0,1,1.261
a,2.501,0.754,2.501,0.754,"{'att': 137, 'def': 27}","{'att': 291, 'def': 27}",10,3,2,1,2.579,w,2016-09-18 14:30:00,1,0,0,3,1.748
h,0.195,0.435,0.195,0.435,"{'att': 227, 'def': 20}","{'att': 193, 'def': 22}",4,1,2,1,0.906,w,2016-09-21 22:45:00,1,0,0,3,-0.24
a,0.419,0.644,0.419,0.644,"{'att': 400, 'def': 24}","{'att': 358, 'def': 22}",4,12,0,2,1.059,l,2016-09-24 22:45:00,0,0,1,0,-0.226
a,1.814,0.518,1.814,0.518,"{'att': 327, 'def': 29}","{'att': 248, 'def': 19}",6,4,2,0,2.382,w,2016-10-01 20:00:00,1,0,0,3,1.296
h,0.254,1.598,0.254,1.598,"{'att': 297, 'def': 17}","{'att': 203, 'def': 20}",7,1,1,3,0.268,l,2016-10-16 22:45:00,0,0,1,0,-1.344
a,1.014,0.446,1.014,0.446,"{'att': 228, 'def': 39}","{'att': 199, 'def': 32}",3,2,0,0,1.892,d,2016-10-23 17:00:00,0,1,0,1,0.568
h,1.01,0.201,1.01,0.201,"{'att': 233, 'def': 28}","{'att': 328, 'def': 32}",8,2,1,1,2.16,d,2016-10-26 22:45:00,0,1,0,1,0.809
a,0.659,1.724,0.659,0.962,"{'att': 114, 'def': 25}","{'att': 331, 'def': 24}",6,1,0,2,0.481,l,2016-10-30 18:00:00,0,0,1,0,-0.303
h,1.106,2.137,0.345,2.137,"{'att': 321, 'def': 21}","{'att': 181, 'def': 23}",3,3,1,2,0.649,l,2016-11-06 18:00:00,0,0,1,0,-1.793
