h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.555,1.995,1.555,1.234,"{'att': 270, 'def': 20}","{'att': 205, 'def': 19}",7,4,2,2,0.985,d,2018-08-19 21:30:00,0,1,0,1,0.321
a,0.154,1.408,0.154,1.408,"{'att': 275, 'def': 17}","{'att': 212, 'def': 23}",1,3,0,1,0.319,l,2018-08-26 19:00:00,0,0,1,0,-1.254
h,1.906,2.184,1.906,2.184,"{'att': 314, 'def': 17}","{'att': 156, 'def': 26}",4,13,1,2,1.179,l,2018-09-01 18:30:00,0,0,1,0,-0.278
a,0.297,1.385,0.297,1.385,"{'att': 340, 'def': 17}","{'att': 143, 'def': 18}",2,11,1,0,0.5,w,2018-09-15 13:00:00,1,0,0,3,-1.088
h,2.041,0.719,2.041,0.719,"{'att': 276, 'def': 15}","{'att': 134, 'def': 19}",12,19,2,0,2.334,w,2018-09-22 13:00:00,1,0,0,3,1.321
a,0.085,2.859,0.085,2.859,"{'att': 401, 'def': 21}","{'att': 249, 'def': 25}",0,15,0,3,0.041,l,2018-09-26 19:00:00,0,0,1,0,-2.774
h,0.645,1.445,0.645,1.445,"{'att': 334, 'def': 17}","{'att': 149, 'def': 30}",4,14,1,0,0.728,w,2018-09-30 16:00:00,1,0,0,3,-0.8
a,1.16,1.532,1.16,1.532,"{'att': 243, 'def': 7}","{'att': 194, 'def': 22}",4,7,3,1,1.11,w,2018-10-07 10:30:00,1,0,0,3,-0.372
h,0.251,2.863,0.251,2.102,"{'att': 285, 'def': 14}","{'att': 161, 'def': 23}",3,9,0,2,0.06,l,2018-10-21 13:00:00,0,0,1,0,-1.851
a,1.376,2.985,1.376,2.985,"{'att': 287, 'def': 13}","{'att': 157, 'def': 29}",1,10,0,3,0.458,l,2018-10-27 13:00:00,0,0,1,0,-1.608
h,0.584,0.425,0.584,0.425,"{'att': 299, 'def': 26}","{'att': 196, 'def': 15}",4,4,0,0,1.483,d,2018-11-04 14:00:00,0,1,0,1,0.16
a,1.603,2.339,1.603,2.339,"{'att': 267, 'def': 20}","{'att': 116, 'def': 25}",4,8,2,1,0.824,w,2018-11-10 14:00:00,1,0,0,3,-0.736
h,2.214,1.519,2.214,0.758,"{'att': 339, 'def': 28}","{'att': 88, 'def': 19}",1,2,2,1,1.982,w,2018-11-25 11:30:00,1,0,0,3,1.455
a,1.251,1.353,1.251,0.591,"{'att': 280, 'def': 23}","{'att': 196, 'def': 21}",5,4,1,2,1.242,l,2018-12-02 11:30:00,0,0,1,0,0.66
h,1.572,1.484,1.572,1.484,"{'att': 216, 'def': 22}","{'att': 218, 'def': 23}",7,4,1,1,1.397,d,2018-12-09 14:00:00,0,1,0,1,0.088
a,0.712,1.717,0.712,1.717,"{'att': 376, 'def': 11}","{'att': 152, 'def': 28}",2,12,0,2,0.571,l,2018-12-16 14:00:00,0,0,1,0,-1.005
h,0.778,0.266,0.778,0.266,"{'att': 178, 'def': 25}","{'att': 305, 'def': 16}",4,1,0,0,1.856,d,2018-12-22 14:00:00,0,1,0,1,0.512
a,0.478,1.49,0.478,1.49,"{'att': 244, 'def': 17}","{'att': 129, 'def': 29}",1,8,1,0,0.605,w,2018-12-26 14:00:00,1,0,0,3,-1.012
h,0.478,1.718,0.478,1.718,"{'att': 309, 'def': 16}","{'att': 156, 'def': 27}",4,5,0,2,0.456,l,2018-12-29 14:00:00,0,0,1,0,-1.24
a,2.411,1.467,1.649,1.467,"{'att': 260, 'def': 25}","{'att': 179, 'def': 34}",4,12,2,1,2.154,w,2019-01-19 17:00:00,1,0,0,3,0.182
h,2.67,1.975,1.909,1.975,"{'att': 257, 'def': 16}","{'att': 156, 'def': 25}",4,3,2,3,1.867,l,2019-01-27 14:00:00,0,0,1,0,-0.066
a,1.174,2.161,1.174,2.161,"{'att': 274, 'def': 14}","{'att': 154, 'def': 17}",4,25,3,3,0.716,d,2019-02-02 19:30:00,0,1,0,1,-0.987
h,0.467,1.899,0.467,1.899,"{'att': 280, 'def': 26}","{'att': 157, 'def': 25}",2,22,0,1,0.356,l,2019-02-09 19:30:00,0,0,1,0,-1.433
a,0.408,2.214,0.408,2.214,"{'att': 262, 'def': 20}","{'att': 166, 'def': 31}",0,3,1,2,0.168,l,2019-02-16 17:00:00,0,0,1,0,-1.806
h,0.444,1.409,0.444,1.409,"{'att': 381, 'def': 19}","{'att': 185, 'def': 21}",4,8,0,4,0.585,l,2019-02-24 17:00:00,0,0,1,0,-0.965
a,1.878,2.526,1.878,1.765,"{'att': 251, 'def': 16}","{'att': 212, 'def': 27}",2,9,3,3,0.924,d,2019-03-02 14:00:00,0,1,0,1,0.113
h,1.505,0.596,1.505,0.596,"{'att': 269, 'def': 18}","{'att': 194, 'def': 27}",2,7,1,0,2.258,w,2019-03-09 17:00:00,1,0,0,3,0.909
a,0.362,1.765,0.362,1.004,"{'att': 290, 'def': 20}","{'att': 254, 'def': 18}",2,14,1,4,0.296,l,2019-03-17 14:00:00,0,0,1,0,-0.642
h,0.989,3.89,0.989,3.89,"{'att': 319, 'def': 17}","{'att': 146, 'def': 24}",2,14,1,3,0.101,l,2019-03-31 11:30:00,0,0,1,0,-2.9
