h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.696,2.253,1.696,2.253,"{'att': 193, 'def': 37}","{'att': 339, 'def': 14}",17,9,4,3,0.991,w,2020-09-26 18:45:00,1,0,0,3,-0.558
a,4.532,1.251,4.532,1.251,"{'att': 183, 'def': 25}","{'att': 427, 'def': 20}",12,2,5,2,2.902,w,2020-09-30 16:00:00,1,0,0,3,3.282
a,0.719,1.207,0.719,1.207,"{'att': 245, 'def': 26}","{'att': 310, 'def': 26}",8,1,1,1,0.926,d,2020-10-04 13:00:00,0,1,0,1,-0.488
h,2.547,2.062,2.547,1.156,"{'att': 191, 'def': 28}","{'att': 246, 'def': 28}",14,4,1,2,1.712,l,2020-10-17 16:00:00,0,0,1,0,1.39
a,1.638,0.013,1.638,0.013,"{'att': 284, 'def': 42}","{'att': 366, 'def': 22}",8,0,2,0,2.762,w,2020-10-24 16:00:00,1,0,0,3,1.626
h,3.052,0.761,3.052,0.761,"{'att': 145, 'def': 36}","{'att': 253, 'def': 9}",10,2,2,2,2.723,d,2020-10-31 17:00:00,0,1,0,1,2.291
a,0.815,0.955,0.815,0.955,"{'att': 259, 'def': 22}","{'att': 334, 'def': 21}",7,7,1,1,1.183,d,2020-11-08 14:00:00,0,1,0,1,-0.14
h,3.746,1.978,2.984,1.217,"{'att': 273, 'def': 43}","{'att': 318, 'def': 22}",15,8,4,2,2.486,w,2020-11-22 14:00:00,1,0,0,3,1.767
a,1.5,0.753,1.5,0.753,"{'att': 365, 'def': 19}","{'att': 226, 'def': 30}",10,13,3,0,2.018,w,2020-11-28 14:00:00,1,0,0,3,0.747
h,1.983,1.121,1.983,1.121,"{'att': 311, 'def': 15}","{'att': 238, 'def': 19}",6,6,3,1,1.99,w,2020-12-05 19:45:00,1,0,0,3,0.861
a,2.746,1.611,2.746,1.611,"{'att': 232, 'def': 33}","{'att': 355, 'def': 13}",7,5,3,1,2.181,w,2020-12-13 11:30:00,1,0,0,3,1.135
h,1.318,3.256,0.557,3.256,"{'att': 403, 'def': 26}","{'att': 284, 'def': 14}",6,10,1,0,0.259,w,2020-12-16 19:45:00,1,0,0,3,-2.699
h,1.263,0.779,0.502,0.779,"{'att': 389, 'def': 17}","{'att': 343, 'def': 21}",2,3,2,1,1.82,w,2020-12-20 14:00:00,1,0,0,3,-0.277
a,2.031,1.236,2.031,1.236,"{'att': 150, 'def': 27}","{'att': 309, 'def': 29}",9,2,2,1,2.005,w,2020-12-23 17:30:00,1,0,0,3,0.795
h,2.461,1.852,2.461,1.091,"{'att': 341, 'def': 19}","{'att': 302, 'def': 8}",9,5,6,2,1.782,w,2021-01-03 11:30:00,1,0,0,3,1.371
a,2.492,1.338,1.647,0.576,"{'att': 162, 'def': 21}","{'att': 280, 'def': 11}",7,4,1,2,2.211,l,2021-01-06 14:00:00,0,0,1,0,1.071
a,1.931,0.904,1.931,0.904,"{'att': 321, 'def': 22}","{'att': 360, 'def': 31}",13,4,2,2,2.116,d,2021-01-10 11:30:00,0,1,0,1,1.027
h,1.732,0.368,1.732,0.368,"{'att': 306, 'def': 15}","{'att': 316, 'def': 26}",8,3,2,0,2.466,w,2021-01-17 19:45:00,1,0,0,3,1.364
a,0.726,0.211,0.726,0.211,"{'att': 240, 'def': 30}","{'att': 350, 'def': 14}",11,3,0,0,1.853,d,2021-01-23 17:00:00,0,1,0,1,0.515
h,1.657,0.0,1.657,0.0,"{'att': 264, 'def': 29}","{'att': 362, 'def': 20}",10,4,4,0,2.725,w,2021-01-30 19:45:00,1,0,0,3,1.657
a,2.481,0.542,2.481,0.542,"{'att': 245, 'def': 17}","{'att': 316, 'def': 19}",10,2,2,0,2.66,w,2021-02-05 19:45:00,1,0,0,3,1.939
h,2.416,0.976,1.655,0.976,"{'att': 317, 'def': 8}","{'att': 226, 'def': 14}",10,11,3,1,2.445,w,2021-02-14 19:45:00,1,0,0,3,0.679
a,2.955,0.707,2.955,0.707,"{'att': 277, 'def': 13}","{'att': 223, 'def': 22}",8,12,3,0,2.718,w,2021-02-21 14:00:00,1,0,0,3,2.248
h,2.856,0.105,2.856,0.105,"{'att': 356, 'def': 26}","{'att': 322, 'def': 15}",15,0,3,0,2.894,w,2021-02-28 14:00:00,1,0,0,3,2.751
a,3.459,0.808,3.459,0.808,"{'att': 351, 'def': 29}","{'att': 307, 'def': 18}",11,3,2,1,2.8,w,2021-03-04 19:45:00,1,0,0,3,2.651
h,0.182,0.677,0.182,0.677,"{'att': 268, 'def': 24}","{'att': 304, 'def': 34}",4,4,1,0,0.732,w,2021-03-08 19:45:00,1,0,0,3,-0.495
a,2.515,1.355,1.753,1.355,"{'att': 169, 'def': 26}","{'att': 368, 'def': 13}",12,0,2,1,2.261,w,2021-03-14 14:00:00,1,0,0,3,0.399
a,2.124,1.269,2.124,1.269,"{'att': 287, 'def': 24}","{'att': 248, 'def': 20}",10,8,1,0,2.048,w,2021-04-03 18:45:00,1,0,0,3,0.855
h,1.277,0.868,1.277,0.868,"{'att': 442, 'def': 14}","{'att': 223, 'def': 21}",7,8,2,1,1.72,w,2021-04-07 18:45:00,1,0,0,3,0.409
h,1.256,0.242,1.256,0.242,"{'att': 341, 'def': 30}","{'att': 308, 'def': 9}",15,3,1,0,2.366,w,2021-04-11 10:30:00,1,0,0,3,1.014
a,1.02,0.584,1.02,0.584,"{'att': 337, 'def': 18}","{'att': 327, 'def': 19}",4,4,1,1,1.81,d,2021-04-18 18:45:00,0,1,0,1,0.436
a,2.884,0.032,2.884,0.032,"{'att': 227, 'def': 15}","{'att': 413, 'def': 8}",15,0,1,1,2.954,d,2021-04-21 18:45:00,0,1,0,1,2.852
h,0.86,1.061,0.86,1.061,"{'att': 276, 'def': 10}","{'att': 333, 'def': 17}",7,6,1,0,1.174,w,2021-04-25 13:00:00,1,0,0,3,-0.201
