h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.607,2.143,0.607,2.143,"{'att': 433, 'def': 20}","{'att': 197, 'def': 29}",1,10,0,3,0.298,l,2020-09-20 18:45:00,0,0,1,0,-1.536
h,1.361,1.275,1.361,1.275,"{'att': 303, 'def': 21}","{'att': 133, 'def': 16}",2,5,2,3,1.43,l,2020-09-26 16:00:00,0,0,1,0,0.086
a,2.181,2.028,1.42,2.028,"{'att': 287, 'def': 23}","{'att': 156, 'def': 19}",6,5,2,1,1.484,w,2020-10-02 18:45:00,1,0,0,3,-0.608
h,1.834,0.455,1.834,0.455,"{'att': 288, 'def': 20}","{'att': 291, 'def': 23}",8,8,3,0,2.489,w,2020-10-17 16:00:00,1,0,0,3,1.38
a,2.499,2.097,1.738,1.336,"{'att': 304, 'def': 30}","{'att': 189, 'def': 26}",3,12,3,1,1.701,w,2020-10-24 13:00:00,1,0,0,3,0.402
h,0.858,1.184,0.858,1.184,"{'att': 247, 'def': 33}","{'att': 313, 'def': 24}",7,5,1,1,1.046,d,2020-11-01 19:45:00,0,1,0,1,-0.326
a,0.134,1.9,0.134,1.138,"{'att': 365, 'def': 44}","{'att': 254, 'def': 27}",4,5,0,2,0.133,l,2020-11-07 14:00:00,0,0,1,0,-1.004
h,0.818,1.734,0.818,1.734,"{'att': 272, 'def': 28}","{'att': 182, 'def': 22}",2,4,1,2,0.634,l,2020-11-22 14:00:00,0,0,1,0,-0.916
a,1.381,1.639,1.381,1.639,"{'att': 325, 'def': 27}","{'att': 282, 'def': 27}",9,5,2,2,1.178,d,2020-11-30 17:30:00,0,1,0,1,-0.258
h,0.987,2.668,0.987,1.907,"{'att': 324, 'def': 19}","{'att': 129, 'def': 26}",3,12,1,2,0.356,l,2020-12-06 19:45:00,0,0,1,0,-0.92
a,0.714,1.518,0.714,1.518,"{'att': 437, 'def': 21}","{'att': 238, 'def': 21}",2,8,1,2,0.718,l,2020-12-13 14:00:00,0,0,1,0,-0.805
a,0.779,1.493,0.779,0.732,"{'att': 291, 'def': 38}","{'att': 140, 'def': 21}",10,5,2,1,0.663,w,2020-12-16 19:45:00,1,0,0,3,0.047
h,2.48,1.043,2.48,0.282,"{'att': 367, 'def': 47}","{'att': 189, 'def': 19}",3,4,3,1,2.554,w,2020-12-19 17:00:00,1,0,0,3,2.199
h,1.646,2.164,1.646,2.164,"{'att': 278, 'def': 34}","{'att': 187, 'def': 16}",9,9,2,3,0.998,l,2020-12-23 19:45:00,0,0,1,0,-0.518
