h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,1.134,1.782,1.134,1.02,"{'att': 320, 'def': 39}","{'att': 221, 'def': 25}",12,12,1,3,0.833,l,2021-08-21 18:45:00,0,0,1,0,0.114
a,1.103,1.816,1.103,1.816,"{'att': 186, 'def': 13}","{'att': 176, 'def': 19}",4,15,1,0,0.78,w,2021-08-28 18:45:00,1,0,0,3,-0.712
h,1.885,2.431,1.124,2.431,"{'att': 143, 'def': 26}","{'att': 291, 'def': 22}",13,2,1,2,0.992,l,2021-09-11 13:00:00,0,0,1,0,-1.307
h,0.927,1.349,0.927,1.349,"{'att': 158, 'def': 21}","{'att': 207, 'def': 22}",5,8,0,3,1.024,l,2021-09-19 10:30:00,0,0,1,0,-0.421
a,1.145,0.755,1.145,0.755,"{'att': 243, 'def': 27}","{'att': 231, 'def': 17}",5,11,2,0,1.697,w,2021-09-22 18:45:00,1,0,0,3,0.391
h,1.477,2.498,0.716,1.737,"{'att': 256, 'def': 25}","{'att': 106, 'def': 15}",7,9,4,2,0.667,w,2021-09-26 13:00:00,1,0,0,3,-1.021
a,0.438,1.855,0.438,1.855,"{'att': 340, 'def': 26}","{'att': 204, 'def': 17}",1,11,0,2,0.347,l,2021-10-03 16:00:00,0,0,1,0,-1.417
h,0.575,3.835,0.575,3.074,"{'att': 259, 'def': 26}","{'att': 229, 'def': 30}",5,13,1,4,0.046,l,2021-10-17 13:00:00,0,0,1,0,-2.499
a,2.83,1.372,2.069,1.372,"{'att': 263, 'def': 26}","{'att': 153, 'def': 18}",6,9,4,2,2.366,w,2021-10-23 13:00:00,1,0,0,3,0.697
h,0.543,3.079,0.543,3.079,"{'att': 366, 'def': 17}","{'att': 161, 'def': 26}",3,14,0,2,0.13,l,2021-10-27 18:45:00,0,0,1,0,-2.536
a,1.483,1.243,0.722,1.243,"{'att': 289, 'def': 30}","{'att': 205, 'def': 25}",6,9,2,1,1.572,w,2021-10-31 14:00:00,1,0,0,3,-0.521
h,0.745,1.697,0.745,0.936,"{'att': 218, 'def': 17}","{'att': 218, 'def': 46}",5,4,2,2,0.594,d,2021-11-05 19:45:00,0,1,0,1,-0.191
a,1.563,1.302,1.563,1.302,"{'att': 196, 'def': 19}","{'att': 180, 'def': 16}",5,10,1,2,1.628,l,2021-11-22 17:30:00,0,0,1,0,0.26
h,2.141,2.395,2.141,2.395,"{'att': 207, 'def': 32}","{'att': 270, 'def': 21}",4,11,2,1,1.216,w,2021-11-27 14:00:00,1,0,0,3,-0.254
a,0.972,1.378,0.972,1.378,"{'att': 130, 'def': 19}","{'att': 192, 'def': 16}",7,4,2,2,0.992,d,2021-12-02 17:30:00,0,1,0,1,-0.405
h,2.025,2.087,2.025,2.087,"{'att': 185, 'def': 23}","{'att': 278, 'def': 26}",12,13,3,1,1.349,w,2021-12-06 17:30:00,1,0,0,3,-0.062
a,0.644,1.617,0.644,1.617,"{'att': 265, 'def': 20}","{'att': 215, 'def': 20}",4,14,1,0,0.652,w,2021-12-12 17:00:00,1,0,0,3,-0.973
a,1.224,1.37,1.224,1.37,"{'att': 149, 'def': 24}","{'att': 304, 'def': 19}",7,5,1,1,1.2,d,2021-12-19 14:00:00,0,1,0,1,-0.146
