season,league,team,unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,unnamed:_24_level_0_matches,playing_time_mp
2008-2009,EPL,Manchester Utd,Nemanja Vidić,rs SRB,DF,26.0,34.0,33.0,2983.0,33.1,4.0,1.0,5.0,4.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15,Matches,0.0
2008-2009,EPL,Manchester Utd,Edwin van der Sar,nl NED,GK,37.0,33.0,33.0,2911.0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2008-2009,EPL,Manchester Utd,Cristiano Ronaldo,pt POR,"FW,MF",23.0,33.0,31.0,2743.0,30.5,18.0,6.0,24.0,14.0,4.0,4.0,6.0,1.0,0.0,0.0,0.0,0.59,0.2,0.79,0.46,0.66,Matches,0.0
2008-2009,EPL,Manchester Utd,Dimitar Berbatov,bg BUL,FW,27.0,31.0,29.0,2538.0,28.2,9.0,9.0,18.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.32,0.32,0.64,0.32,0.64,Matches,0.0
2008-2009,EPL,Manchester Utd,Patrice Evra,fr FRA,DF,27.0,28.0,28.0,2407.0,26.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,0.0
2008-2009,EPL,Manchester Utd,Wayne Rooney,eng ENG,"FW,MF",22.0,30.0,25.0,2265.0,25.2,12.0,7.0,19.0,12.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.48,0.28,0.75,0.48,0.75,Matches,0.0
2008-2009,EPL,Manchester Utd,Darren Fletcher,sct SCO,MF,24.0,26.0,25.0,2051.0,22.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,0.0
2008-2009,EPL,Manchester Utd,Rio Ferdinand,eng ENG,DF,29.0,24.0,24.0,2139.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2008-2009,EPL,Manchester Utd,Michael Carrick,eng ENG,MF,27.0,28.0,24.0,2041.0,22.7,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.18,0.22,0.4,0.18,0.4,Matches,0.0
2008-2009,EPL,Manchester Utd,Park Ji-sung,kr KOR,MF,27.0,25.0,21.0,1721.0,19.1,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches,0.0
2008-2009,EPL,Manchester Utd,John O'Shea,ie IRL,"DF,MF",27.0,30.0,20.0,1989.0,22.1,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,0.0
2008-2009,EPL,Manchester Utd,Carlos Tevez,ar ARG,"FW,MF",24.0,29.0,18.0,1858.0,20.6,5.0,3.0,8.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.24,0.15,0.39,0.24,0.39,Matches,0.0
2008-2009,EPL,Manchester Utd,Jonny Evans,nir NIR,DF,20.0,17.0,16.0,1422.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2008-2009,EPL,Manchester Utd,Ryan Giggs,wls WAL,"FW,MF",34.0,28.0,15.0,1509.0,16.8,2.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.42,0.54,0.12,0.54,Matches,0.0
2008-2009,EPL,Manchester Utd,Paul Scholes,eng ENG,MF,33.0,21.0,14.0,1269.0,14.1,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches,0.0
2008-2009,EPL,Manchester Utd,Gary Neville,eng ENG,DF,33.0,16.0,13.0,1074.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2008-2009,EPL,Manchester Utd,Rafael,br BRA,"DF,MF",18.0,16.0,12.0,1054.0,11.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,0.0
2008-2009,EPL,Manchester Utd,Anderson,br BRA,MF,20.0,17.0,11.0,930.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2008-2009,EPL,Manchester Utd,Nani,pt POR,"FW,MF",21.0,13.0,7.0,550.0,6.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16,0.33,0.49,0.16,0.49,Matches,0.0
2008-2009,EPL,Manchester Utd,Wes Brown,eng ENG,DF,28.0,8.0,6.0,596.0,6.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,0.0
2008-2009,EPL,Manchester Utd,Tomasz Kuszczak,pl POL,GK,26.0,4.0,3.0,329.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
