season,league,team,unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,unnamed:_24_level_0_matches,playing_time_mp
2014-2015,SeriaA,Juventus,Leonardo Bonucci,it ITA,DF,27.0,34.0,33.0,3015.0,33.5,3.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,0.0
2014-2015,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,36.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2014-2015,SeriaA,Juventus,Claudio Marchisio,it ITA,MF,28.0,35.0,33.0,2860.0,31.8,3.0,6.0,9.0,2.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.09,0.19,0.28,0.06,0.25,Matches,0.0
2014-2015,SeriaA,Juventus,Carlos Tevez,ar ARG,"FW,MF",30.0,32.0,29.0,2580.0,28.7,20.0,7.0,27.0,18.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.7,0.24,0.94,0.63,0.87,Matches,0.0
2014-2015,SeriaA,Juventus,Giorgio Chiellini,it ITA,DF,29.0,28.0,27.0,2448.0,27.2,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,0.0
2014-2015,SeriaA,Juventus,Roberto Pereyra,ar ARG,"FW,MF",23.0,35.0,27.0,2265.0,25.2,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.16,0.12,0.28,0.16,0.28,Matches,0.0
2014-2015,SeriaA,Juventus,Stephan Lichtsteiner,ch SUI,"DF,MF",30.0,32.0,26.0,2450.0,27.2,3.0,5.0,8.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.11,0.18,0.29,0.11,0.29,Matches,0.0
2014-2015,SeriaA,Juventus,Fernando Llorente,es ESP,FW,29.0,31.0,25.0,1947.0,21.6,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.05,0.37,0.32,0.37,Matches,0.0
2014-2015,SeriaA,Juventus,Paul Pogba,fr FRA,MF,21.0,26.0,24.0,2108.0,23.4,8.0,3.0,11.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.34,0.13,0.47,0.34,0.47,Matches,0.0
2014-2015,SeriaA,Juventus,Arturo Vidal,cl CHI,MF,27.0,28.0,23.0,2082.0,23.1,7.0,4.0,11.0,5.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.3,0.17,0.48,0.22,0.39,Matches,0.0
