season,league,team,unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,unnamed:_24_level_0_matches,playing_time_mp
2015-2016,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,29.0,34.0,34.0,3020.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Robert Lewandowski,pl POL,FW,26.0,32.0,29.0,2653.0,29.5,30.0,2.0,32.0,28.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.02,0.07,1.09,0.95,1.02,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,David Alaba,at AUT,DF,23.0,30.0,27.0,2492.0,27.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Thomas Müller,de GER,"MF,FW",25.0,31.0,26.0,2341.0,26.0,20.0,5.0,25.0,15.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.77,0.19,0.96,0.58,0.77,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Philipp Lahm,de GER,"DF,MF",31.0,26.0,25.0,2195.0,24.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Arturo Vidal,cl CHI,MF,28.0,30.0,24.0,2042.0,22.7,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.18,0.22,0.4,0.18,0.4,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Douglas Costa,br BRA,MF,24.0,27.0,23.0,1963.0,21.8,4.0,9.0,13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.41,0.6,0.18,0.6,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Xabi Alonso,es ESP,"MF,DF",33.0,26.0,23.0,1945.0,21.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Kingsley Coman,fr FRA,"MF,FW",19.0,23.0,20.0,1685.0,18.7,4.0,6.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.32,0.53,0.21,0.53,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Rafinha,br BRA,"DF,MF",29.0,25.0,18.0,1754.0,19.5,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,26.0,19.0,17.0,1348.0,15.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Thiago Alcántara,es ESP,MF,24.0,27.0,16.0,1643.0,18.3,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.11,0.16,0.27,0.11,0.27,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Joshua Kimmich,de GER,"DF,MF",20.0,23.0,15.0,1428.0,15.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Arjen Robben,nl NED,MF,31.0,15.0,14.0,1094.0,12.2,4.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.08,0.41,0.25,0.33,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Juan Bernat,es ESP,"DF,MF",22.0,16.0,13.0,1149.0,12.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Javi Martínez,es ESP,"DF,MF",26.0,16.0,11.0,1107.0,12.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Medhi Benatia,ma MAR,DF,28.0,14.0,11.0,977.0,10.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09,0.18,0.28,0.09,0.28,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Mario Götze,de GER,"FW,MF",23.0,14.0,11.0,957.0,10.6,3.0,4.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28,0.38,0.66,0.28,0.66,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Franck Ribéry,fr FRA,"MF,FW",32.0,13.0,6.0,685.0,7.6,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26,0.39,0.66,0.26,0.66,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Holger Badstuber,de GER,DF,26.0,7.0,5.0,471.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Sebastian Rode,de GER,MF,24.0,15.0,3.0,411.0,4.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22,0.22,0.44,0.22,0.44,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Serdar Tasci,de GER,DF,28.0,3.0,3.0,218.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,26.0,1.0,0.0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Dante,br BRA,DF,31.0,1.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Miloš Pantović,rs SRB,"FW,MF",19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Gianluca Gaudino,de GER,MF,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Pierre Højbjerg,dk DEN,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Jan Kirchhoff,de GER,"DF,MF",24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Tom Starke,de GER,GK,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Phillipp Steinhart,de GER,"DF,MF",23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Patrick Weihrauch,de GER,"FW,MF",21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Bayern Munich,Squad Total,0,0,26.8,34.0,374.0,3060.0,34.0,79.0,54.0,133.0,71.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,2.32,1.59,3.91,2.09,3.68,0,0.0
2015-2016,Bundesliga,Bayern Munich,Opponent Total,0,0,25.9,34.0,374.0,3060.0,34.0,16.0,13.0,29.0,15.0,1.0,2.0,51.0,0.0,0.0,0.0,0.0,0.47,0.38,0.85,0.44,0.82,0,0.0
2015-2016,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,24.0,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Dortmund,Mats Hummels,de GER,DF,26.0,30.0,29.0,2493.0,27.7,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07,0.07,0.14,0.07,0.14,Matches,0.0
2015-2016,Bundesliga,Dortmund,Henrikh Mkhitaryan,am ARM,"MF,FW",26.0,31.0,28.0,2571.0,28.6,11.0,15.0,26.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.39,0.53,0.91,0.39,0.91,Matches,0.0
2015-2016,Bundesliga,Dortmund,Pierre-Emerick Aubameyang,ga GAB,FW,26.0,31.0,28.0,2467.0,27.4,25.0,5.0,30.0,22.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.91,0.18,1.09,0.8,0.99,Matches,0.0
2015-2016,Bundesliga,Dortmund,Shinji Kagawa,jp JPN,MF,26.0,29.0,26.0,2164.0,24.0,9.0,7.0,16.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.37,0.29,0.67,0.37,0.67,Matches,0.0
2015-2016,Bundesliga,Dortmund,Julian Weigl,de GER,MF,19.0,30.0,25.0,2245.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,Bundesliga,Dortmund,Marco Reus,de GER,"MF,FW",26.0,26.0,24.0,1909.0,21.2,12.0,3.0,15.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.57,0.14,0.71,0.52,0.66,Matches,0.0
2015-2016,Bundesliga,Dortmund,Sokratis Papastathopoulos,gr GRE,DF,27.0,25.0,23.0,2113.0,23.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,0.0
