season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2015-2016,LaLiga,Barcelona,Luis Suárez,uy URU,FW,28.0,35.0,35.0,3150.0,35.0,40.0,17.0,57.0,37.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,1.14,0.49,1.63,1.06,1.54,Matches,0.0
2015-2016,LaLiga,Barcelona,Neymar,br BRA,FW,23.0,34.0,34.0,3056.0,34.0,24.0,10.0,34.0,19.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.71,0.29,1.0,0.56,0.85,Matches,0.0
2015-2016,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,27.0,35.0,34.0,2899.0,32.2,0.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,0.0
2015-2016,LaLiga,Barcelona,Claudio Bravo,cl CHI,GK,32.0,32.0,32.0,2877.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,LaLiga,Barcelona,Lionel Messi,ar ARG,FW,28.0,33.0,31.0,2729.0,30.3,26.0,14.0,40.0,23.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.86,0.46,1.32,0.76,1.22,Matches,0.0
2015-2016,LaLiga,Barcelona,Javier Mascherano,ar ARG,DF,31.0,32.0,31.0,2691.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,LaLiga,Barcelona,Gerard Piqué,es ESP,DF,28.0,30.0,30.0,2587.0,28.7,2.0,1.0,3.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches,0.0
2015-2016,LaLiga,Barcelona,Ivan Rakitić,hr CRO,MF,27.0,36.0,30.0,2569.0,28.5,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.25,0.07,0.32,0.25,0.32,Matches,0.0
2015-2016,LaLiga,Barcelona,Jordi Alba,es ESP,DF,26.0,31.0,29.0,2589.0,28.8,0.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,0.0
2015-2016,LaLiga,Barcelona,Andrés Iniesta,es ESP,MF,31.0,28.0,25.0,2245.0,24.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,0.0
2015-2016,LaLiga,Barcelona,Dani Alves,br BRA,DF,32.0,29.0,24.0,2145.0,23.8,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,0.0
2015-2016,LaLiga,Barcelona,Sergi Roberto,es ESP,"MF,DF",23.0,31.0,21.0,1917.0,21.3,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches,0.0
2015-2016,LaLiga,Barcelona,Jérémy Mathieu,fr FRA,DF,31.0,21.0,12.0,1264.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,0.0
2015-2016,LaLiga,Barcelona,Arda Turan,tr TUR,MF,28.0,18.0,9.0,817.0,9.1,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.22,0.33,0.55,0.22,0.55,Matches,0.0
2015-2016,LaLiga,Barcelona,Munir El Haddadi,ma MAR,"FW,MF",19.0,15.0,8.0,827.0,9.2,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.22,0.54,0.33,0.54,Matches,0.0
2015-2016,LaLiga,Barcelona,Aleix Vidal,es ESP,DF,25.0,9.0,6.0,544.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,0.0
2015-2016,LaLiga,Barcelona,Marc-André ter Stegen,de GER,GK,23.0,7.0,6.0,543.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2015-2016,LaLiga,Barcelona,Thomas Vermaelen,be BEL,DF,29.0,10.0,6.0,508.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches,0.0
2015-2016,LaLiga,Barcelona,Marc Bartra,es ESP,DF,24.0,13.0,4.0,503.0,5.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.18,0.54,0.36,0.54,Matches,0.0
2015-2016,LaLiga,Barcelona,Adriano,br BRA,DF,30.0,8.0,4.0,434.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches,0.0
2015-2016,LaLiga,Barcelona,Sandro Ramírez,es ESP,FW,20.0,10.0,4.0,349.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,0.0
2015-2016,LaLiga,Barcelona,Rafinha,br BRA,"FW,MF",22.0,6.0,3.0,281.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches,0.0
2015-2016,LaLiga,Barcelona,Gerard Gumbau,es ESP,MF,20.0,3.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
