season,league,team,unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,unnamed:_24_level_0_matches,playing_time_mp
2017-2018,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,24.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-2018,Ligue1,Paris S-G,Edinson Cavani,uy URU,FW,30.0,32.0,30.0,2581.0,28.7,28.0,6.0,34.0,25.0,3.0,5.0,3.0,0.0,30.0,43.0,168.0,0.98,0.21,1.19,0.87,1.08,0.0,0.0
2017-2018,Ligue1,Paris S-G,Presnel Kimpembe,fr FRA,DF,21.0,28.0,27.0,2423.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,36.0,108.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-2018,Ligue1,Paris S-G,Adrien Rabiot,fr FRA,MF,22.0,33.0,27.0,2362.0,26.2,1.0,5.0,6.0,1.0,0.0,0.0,2.0,0.0,84.0,199.0,60.0,0.04,0.19,0.23,0.04,0.23,0.0,0.0
2017-2018,Ligue1,Paris S-G,Ángel Di María,ar ARG,FW,29.0,30.0,26.0,2111.0,23.5,11.0,6.0,17.0,11.0,0.0,0.0,1.0,0.0,95.0,128.0,287.0,0.47,0.26,0.72,0.47,0.72,0.0,0.0
2017-2018,Ligue1,Paris S-G,Marquinhos,br BRA,DF,23.0,26.0,25.0,2262.0,25.1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,74.0,6.0,0.0,0.08,0.08,0.0,0.08,0.0,0.0
2017-2018,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,32.0,25.0,24.0,2115.0,23.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,16.0,112.0,1.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0
2017-2018,Ligue1,Paris S-G,Kylian Mbappé,fr FRA,FW,18.0,27.0,24.0,2094.0,23.3,13.0,8.0,21.0,13.0,0.0,0.0,2.0,0.0,98.0,60.0,282.0,0.56,0.34,0.9,0.56,0.9,0.0,0.0
2017-2018,Ligue1,Paris S-G,Dani Alves,br BRA,DF,34.0,25.0,23.0,2063.0,22.9,1.0,7.0,8.0,1.0,0.0,0.0,7.0,1.0,76.0,168.0,144.0,0.04,0.31,0.35,0.04,0.35,0.0,0.0
2017-2018,Ligue1,Paris S-G,Neymar,br BRA,FW,25.0,20.0,20.0,1786.0,19.8,19.0,13.0,32.0,15.0,4.0,4.0,5.0,1.0,152.0,204.0,226.0,0.96,0.66,1.61,0.76,1.41,0.0,0.0
2017-2018,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,24.0,22.0,20.0,1718.0,19.1,0.0,3.0,3.0,0.0,0.0,0.0,9.0,1.0,41.0,193.0,48.0,0.0,0.16,0.16,0.0,0.16,0.0,0.0
2017-2018,Ligue1,Paris S-G,Yuri Berchiche,es ESP,DF,27.0,22.0,19.0,1716.0,19.1,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,41.0,74.0,145.0,0.1,0.21,0.31,0.1,0.31,0.0,0.0
2017-2018,Ligue1,Paris S-G,Julian Draxler,de GER,"MF,FW",23.0,30.0,19.0,1704.0,18.9,4.0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,65.0,117.0,117.0,0.21,0.26,0.48,0.21,0.48,0.0,0.0
2017-2018,Ligue1,Paris S-G,Layvin Kurzawa,fr FRA,DF,24.0,20.0,19.0,1704.0,18.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,42.0,53.0,152.0,0.11,0.05,0.16,0.11,0.16,0.0,0.0
2017-2018,Ligue1,Paris S-G,Giovani Lo Celso,ar ARG,MF,21.0,33.0,18.0,1776.0,19.7,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,65.0,147.0,56.0,0.2,0.15,0.35,0.2,0.35,0.0,0.0
2017-2018,Ligue1,Paris S-G,Thomas Meunier,be BEL,DF,25.0,24.0,16.0,1578.0,17.5,4.0,4.0,8.0,4.0,0.0,0.0,3.0,0.0,70.0,79.0,146.0,0.23,0.23,0.46,0.23,0.46,0.0,0.0
2017-2018,Ligue1,Paris S-G,Javier Pastore,ar ARG,"MF,FW",28.0,25.0,14.0,1347.0,15.0,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,65.0,96.0,131.0,0.27,0.33,0.6,0.27,0.6,0.0,0.0
2017-2018,Ligue1,Paris S-G,Thiago Motta,it ITA,MF,34.0,19.0,14.0,1154.0,12.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,15.0,132.0,9.0,0.08,0.08,0.16,0.08,0.16,0.0,0.0
2017-2018,Ligue1,Paris S-G,Lassana Diarra,fr FRA,MF,32.0,10.0,8.0,606.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,14.0,39.0,7.0,0.0,0.15,0.15,0.0,0.15,0.0,0.0
2017-2018,Ligue1,Paris S-G,Christopher Nkunku,fr FRA,"FW,MF",19.0,20.0,6.0,631.0,7.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,18.0,31.0,47.0,0.57,0.0,0.57,0.57,0.57,0.0,0.0
2017-2018,Ligue1,Paris S-G,Kevin Trapp,de GER,GK,27.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-2018,Ligue1,Paris S-G,Timothy Weah,us USA,FW,17.0,3.0,1.0,122.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
