season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2017-2018,SeriaA,Juventus,Gonzalo Higuaín,ar ARG,FW,29.0,35.0,32.0,2815.0,31.3,16.0,5.0,21.0,15.0,1.0,2.0,4.0,0.0,68.0,62.0,195.0,0.51,0.16,0.67,0.48,0.64,0.0,0.0
2017-2018,SeriaA,Juventus,Miralem Pjanić,ba BIH,MF,27.0,31.0,28.0,2484.0,27.6,5.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,24.0,218.0,27.0,0.18,0.18,0.36,0.18,0.36,0.0,0.0
2017-2018,SeriaA,Juventus,Blaise Matuidi,fr FRA,MF,30.0,32.0,27.0,2354.0,26.2,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,29.0,141.0,109.0,0.11,0.04,0.15,0.11,0.15,0.0,0.0
2017-2018,SeriaA,Juventus,Mario Mandžukić,hr CRO,FW,31.0,32.0,27.0,2324.0,25.8,5.0,1.0,6.0,5.0,0.0,0.0,4.0,2.0,29.0,60.0,234.0,0.19,0.04,0.23,0.19,0.23,0.0,0.0
2017-2018,SeriaA,Juventus,Paulo Dybala,ar ARG,"MF,FW",23.0,33.0,26.0,2353.0,26.1,22.0,3.0,25.0,19.0,3.0,5.0,0.0,0.0,86.0,134.0,173.0,0.84,0.11,0.96,0.73,0.84,0.0,0.0
2017-2018,SeriaA,Juventus,Giorgio Chiellini,it ITA,DF,32.0,26.0,25.0,2161.0,24.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,34.0,123.0,9.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0
2017-2018,SeriaA,Juventus,Sami Khedira,de GER,MF,30.0,26.0,24.0,1912.0,21.2,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,37.0,83.0,66.0,0.42,0.09,0.52,0.42,0.52,0.0,0.0
2017-2018,SeriaA,Juventus,Alex Sandro,br BRA,DF,26.0,26.0,23.0,2117.0,23.5,4.0,3.0,7.0,4.0,0.0,0.0,8.0,0.0,93.0,136.0,168.0,0.17,0.13,0.3,0.17,0.3,0.0,0.0
2017-2018,SeriaA,Juventus,Daniele Rugani,it ITA,DF,23.0,22.0,22.0,1935.0,21.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,8.0,39.0,2.0,0.09,0.05,0.14,0.09,0.14,0.0,0.0
2017-2018,SeriaA,Juventus,Gianluigi Buffon,it ITA,GK,39.0,21.0,21.0,1862.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-2018,SeriaA,Juventus,Stephan Lichtsteiner,ch SUI,DF,33.0,27.0,21.0,1704.0,18.9,0.0,2.0,2.0,0.0,0.0,1.0,6.0,0.0,62.0,89.0,74.0,0.0,0.11,0.11,0.0,0.11,0.0,0.0
2017-2018,SeriaA,Juventus,Medhi Benatia,ma MAR,DF,30.0,20.0,19.0,1755.0,19.5,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,3.0,57.0,3.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0
2017-2018,SeriaA,Juventus,Douglas Costa,br BRA,"FW,MF",26.0,31.0,18.0,1795.0,19.9,4.0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,120.0,84.0,213.0,0.2,0.3,0.5,0.2,0.5,0.0,0.0
2017-2018,SeriaA,Juventus,Kwadwo Asamoah,gh GHA,DF,28.0,19.0,18.0,1568.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,49.0,98.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-2018,SeriaA,Juventus,Wojciech Szczęsny,pl POL,GK,27.0,17.0,17.0,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-2018,SeriaA,Juventus,Juan Cuadrado,co COL,"FW,MF",29.0,21.0,15.0,1353.0,15.0,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,58.0,60.0,144.0,0.27,0.27,0.53,0.27,0.53,0.0,0.0
2017-2018,SeriaA,Juventus,Andrea Barzagli,it ITA,DF,36.0,25.0,14.0,1447.0,16.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,81.0,7.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0
2017-2018,SeriaA,Juventus,Mattia De Sciglio,it ITA,DF,24.0,12.0,10.0,968.0,10.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,23.0,59.0,46.0,0.09,0.0,0.09,0.09,0.09,0.0,0.0
2017-2018,SeriaA,Juventus,Claudio Marchisio,it ITA,MF,31.0,15.0,9.0,817.0,9.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,67.0,10.0,0.0,0.11,0.11,0.0,0.11,0.0,0.0
