season,league,team,unnamed:_0_level_0_player,unnamed:_1_level_0_nation,unnamed:_2_level_0_pos,unnamed:_3_level_0_age,unnamed:_4_level_0_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,unnamed:_24_level_0_matches,playing_time_mp
2020-2021,LaLiga,Atlético Madrid,Jan Oblak,si SVN,GK,27.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Koke,es ESP,MF,28.0,37.0,34.0,3021.0,33.6,1.0,2.0,3.0,1.0,0.0,0.0,9.0,0.0,39.0,250.0,42.0,0.03,0.06,0.09,0.03,0.09,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Marcos Llorente,es ESP,"MF,FW",25.0,37.0,33.0,2956.0,32.8,12.0,11.0,23.0,12.0,0.0,0.0,6.0,0.0,90.0,140.0,215.0,0.37,0.33,0.7,0.37,0.7,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Stefan Savić,me MNE,DF,29.0,33.0,33.0,2953.0,32.8,1.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,30.0,103.0,2.0,0.03,0.0,0.03,0.03,0.03,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Mario Hermoso,es ESP,DF,25.0,31.0,30.0,2578.0,28.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,30.0,172.0,23.0,0.03,0.03,0.07,0.03,0.07,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Luis Suárez,uy URU,FW,33.0,32.0,30.0,2508.0,27.9,21.0,3.0,24.0,18.0,3.0,3.0,6.0,0.0,30.0,46.0,171.0,0.75,0.11,0.86,0.65,0.75,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Ángel Correa,ar ARG,"FW,MF",25.0,38.0,29.0,2393.0,26.6,9.0,8.0,17.0,9.0,0.0,0.0,3.0,0.0,64.0,84.0,186.0,0.34,0.3,0.64,0.34,0.64,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Kieran Trippier,eng ENG,DF,29.0,28.0,28.0,2475.0,27.5,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,43.0,169.0,196.0,0.0,0.22,0.22,0.0,0.22,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Yannick Carrasco,be BEL,"DF,MF",26.0,30.0,25.0,2179.0,24.2,6.0,10.0,16.0,6.0,0.0,0.0,6.0,0.0,146.0,86.0,212.0,0.25,0.41,0.66,0.25,0.66,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Felipe,br BRA,DF,31.0,31.0,23.0,2057.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Saúl Ñíguez,es ESP,"MF,DF",25.0,33.0,22.0,2033.0,22.6,2.0,1.0,3.0,2.0,0.0,1.0,10.0,0.0,19.0,82.0,93.0,0.09,0.04,0.13,0.09,0.13,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,José María Giménez,uy URU,DF,25.0,21.0,20.0,1765.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Thomas Lemar,fr FRA,MF,24.0,27.0,19.0,1366.0,15.2,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,37.0,78.0,102.0,0.07,0.2,0.26,0.07,0.26,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,João Félix,pt POR,"FW,MF",20.0,31.0,14.0,1572.0,17.5,7.0,5.0,12.0,6.0,1.0,2.0,6.0,0.0,49.0,73.0,94.0,0.4,0.29,0.69,0.34,0.63,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Renan Lodi,br BRA,"DF,FW",22.0,23.0,11.0,1129.0,12.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,44.0,36.0,126.0,0.08,0.16,0.24,0.08,0.24,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Héctor Herrera,mx MEX,MF,30.0,16.0,8.0,682.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,48.0,7.0,0.0,0.13,0.13,0.0,0.13,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Šime Vrsaljko,hr CRO,"FW,DF",28.0,9.0,6.0,519.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,24.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Geoffrey Kondogbia,cf CTA,MF,27.0,25.0,4.0,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2021,LaLiga,Atlético Madrid,Lucas Torreira,uy URU,MF,24.0,19.0,3.0,518.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,27.0,4.0,0.17,0.0,0.17,0.17,0.17,0.0,0.0
