h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.75585,1.19453,1.75585,1.19453,"{'att': 199, 'def': 35}","{'att': 227, 'def': 23}",3,5,2,2,1.8342999999999998,d,2014-08-23 14:30:00,0,1,0,1,0.5613199999999998
a,0.712547,2.53036,0.712547,2.53036,"{'att': 225, 'def': 24}","{'att': 91, 'def': 23}",3,8,2,4,0.2742,l,2014-08-30 14:30:00,0,0,1,0,-1.817813
h,1.71631,2.36643,0.958534,2.36643,"{'att': 174, 'def': 41}","{'att': 175, 'def': 22}",3,6,1,3,0.8809,l,2014-09-13 14:30:00,0,0,1,0,-1.4078959999999998
a,0.285542,0.869782,0.285542,0.869782,"{'att': 236, 'def': 23}","{'att': 224, 'def': 27}",0,11,2,2,0.7393000000000001,d,2014-09-19 19:30:00,0,1,0,1,-0.5842400000000001
h,0.428365,0.855691,0.428365,0.855691,"{'att': 312, 'def': 25}","{'att': 92, 'def': 31}",2,4,1,0,0.8993,w,2014-09-24 19:00:00,1,0,0,3,-0.427326
a,0.283655,1.25743,0.283655,0.499737,"{'att': 172, 'def': 24}","{'att': 141, 'def': 36}",1,3,0,1,0.3991,l,2014-09-28 14:30:00,0,0,1,0,-0.216082
h,2.36582,1.42919,1.60804,1.42919,"{'att': 291, 'def': 22}","{'att': 178, 'def': 30}",5,8,3,2,2.0811,w,2014-10-03 19:30:00,1,0,0,3,0.17884999999999995
a,0.848507,0.80457,0.848507,0.80457,"{'att': 200, 'def': 26}","{'att': 262, 'def': 24}",4,5,0,2,1.3195999999999999,l,2014-10-18 17:30:00,0,0,1,0,0.043937000000000004
h,2.51297,0.784655,2.51297,0.784655,"{'att': 244, 'def': 29}","{'att': 117, 'def': 39}",6,5,3,0,2.6318,w,2014-10-25 14:30:00,1,0,0,3,1.7283150000000003
a,0.925677,1.96835,0.925677,1.96835,"{'att': 164, 'def': 38}","{'att': 188, 'def': 21}",0,3,1,3,0.6108,l,2014-11-02 16:30:00,0,0,1,0,-1.0426730000000002
h,0.363993,1.09164,0.363993,1.09164,"{'att': 151, 'def': 20}","{'att': 125, 'def': 30}",3,4,0,2,0.6202,l,2014-11-07 19:30:00,0,0,1,0,-0.7276469999999999
a,0.473541,1.12625,0.473541,1.12625,"{'att': 346, 'def': 30}","{'att': 196, 'def': 25}",2,3,2,1,0.6920999999999999,w,2014-11-22 17:30:00,1,0,0,3,-0.652709
h,0.25622,1.94047,0.25622,1.94047,"{'att': 515, 'def': 25}","{'att': 111, 'def': 26}",1,19,0,1,0.22949999999999998,l,2014-11-29 14:30:00,0,0,1,0,-1.68425
a,1.42138,1.82786,0.663608,1.82786,"{'att': 360, 'def': 27}","{'att': 248, 'def': 23}",4,6,2,3,0.9763,l,2014-12-06 14:30:00,0,0,1,0,-1.164252
h,0.764752,0.842366,0.764752,0.842366,"{'att': 416, 'def': 15}","{'att': 131, 'def': 28}",2,8,1,0,1.2538,w,2014-12-13 14:30:00,1,0,0,3,-0.07761399999999996
a,2.04957,2.73817,2.04957,2.73817,"{'att': 344, 'def': 30}","{'att': 83, 'def': 37}",1,11,4,4,0.9496,d,2014-12-17 19:00:00,0,1,0,1,-0.6886000000000001
h,0.706377,3.62858,0.706377,2.11303,"{'att': 222, 'def': 33}","{'att': 185, 'def': 38}",6,7,0,5,0.0385,l,2014-12-21 14:30:00,0,0,1,0,-1.4066530000000002
