h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.14869,1.23291,1.14869,0.475136,"{'att': 292, 'def': 30}","{'att': 189, 'def': 18}",3,4,0,1,1.2159,l,2015-08-15 17:30:00,0,0,1,0,0.673554
a,1.26112,0.945278,1.26112,0.945278,"{'att': 206, 'def': 33}","{'att': 176, 'def': 30}",5,8,1,1,1.5781,d,2015-08-22 17:30:00,0,1,0,1,0.31584200000000007
h,0.832315,1.24787,0.832315,1.24787,"{'att': 100, 'def': 21}","{'att': 313, 'def': 20}",2,3,0,1,1.0005,l,2015-08-29 17:30:00,0,0,1,0,-0.415555
a,0.15319,3.85642,0.15319,3.09864,"{'att': 396, 'def': 12}","{'att': 82, 'def': 27}",1,15,1,2,0.0088,l,2015-09-12 17:30:00,0,0,1,0,-2.94545
h,2.24649,0.56218,1.48871,0.56218,"{'att': 298, 'def': 19}","{'att': 271, 'def': 24}",6,6,2,0,2.6057,w,2015-09-20 19:30:00,1,0,0,3,0.92653
a,1.92244,2.84575,0.406889,2.84575,"{'att': 298, 'def': 28}","{'att': 302, 'def': 32}",2,6,2,4,0.7775,l,2015-09-23 22:00:00,0,0,1,0,-2.4388609999999997
h,1.94324,1.5923,1.94324,0.834528,"{'att': 118, 'def': 23}","{'att': 316, 'def': 25}",8,5,1,3,1.597,l,2015-09-26 17:30:00,0,0,1,0,1.1087120000000001
a,0.119117,1.98173,0.119117,1.22395,"{'att': 301, 'def': 15}","{'att': 147, 'def': 37}",1,12,1,1,0.1105,d,2015-10-04 19:30:00,0,1,0,1,-1.1048330000000002
h,1.42706,2.54284,1.42706,2.54284,"{'att': 73, 'def': 12}","{'att': 367, 'def': 18}",7,1,0,2,0.5467,l,2015-10-17 17:30:00,0,0,1,0,-1.11578
a,0.293643,4.21104,0.293643,4.21104,"{'att': 331, 'def': 30}","{'att': 218, 'def': 22}",3,18,1,5,0.0049,l,2015-10-25 18:30:00,0,0,1,0,-3.917397
h,2.98084,1.72651,2.22306,1.72651,"{'att': 95, 'def': 27}","{'att': 290, 'def': 26}",7,9,3,3,2.2272,d,2015-10-31 18:30:00,0,1,0,1,0.4965499999999998
h,1.70717,1.31037,0.949392,1.31037,"{'att': 126, 'def': 25}","{'att': 287, 'def': 29}",5,5,1,2,1.6879,l,2015-11-08 20:30:00,0,0,1,0,-0.360978
a,2.23123,0.921864,2.23123,0.921864,"{'att': 327, 'def': 29}","{'att': 215, 'def': 28}",9,6,4,0,2.2908,w,2015-11-21 18:30:00,1,0,0,3,1.309366
h,1.26639,0.559526,1.26639,0.559526,"{'att': 356, 'def': 37}","{'att': 174, 'def': 13}",3,4,0,0,1.9687,d,2015-11-29 20:30:00,0,1,0,1,0.7068639999999999
a,2.1005,2.36543,2.1005,1.60766,"{'att': 205, 'def': 24}","{'att': 200, 'def': 24}",3,10,1,0,1.1951999999999998,w,2015-12-05 18:30:00,1,0,0,3,0.4928399999999997
h,1.2358,1.45492,1.2358,1.45492,"{'att': 298, 'def': 22}","{'att': 174, 'def': 24}",2,10,2,1,1.198,w,2015-12-13 18:30:00,1,0,0,3,-0.21911999999999998
a,2.50129,1.24397,2.50129,1.24397,"{'att': 298, 'def': 20}","{'att': 189, 'def': 22}",8,7,1,0,2.2346,w,2015-12-19 18:30:00,1,0,0,3,1.25732
a,0.704125,0.638542,0.704125,0.638542,"{'att': 405, 'def': 32}","{'att': 147, 'def': 21}",0,4,0,0,1.3584,d,2016-01-23 18:30:00,0,1,0,1,0.06558299999999995
h,0.609193,1.25574,0.609193,1.25574,"{'att': 204, 'def': 28}","{'att': 222, 'def': 21}",3,8,0,0,0.7772,d,2016-01-30 18:30:00,0,1,0,1,-0.6465470000000001
a,0.232784,2.8596,0.232784,2.10182,"{'att': 115, 'def': 29}","{'att': 207, 'def': 33}",1,7,1,2,0.0504,l,2016-02-06 18:30:00,0,0,1,0,-1.869036
h,0.310362,2.21151,0.310362,2.21151,"{'att': 484, 'def': 28}","{'att': 193, 'def': 23}",3,12,1,3,0.2094,l,2016-02-14 20:30:00,0,0,1,0,-1.901148
a,1.17413,0.433505,1.17413,0.433505,"{'att': 235, 'def': 34}","{'att': 270, 'def': 19}",2,8,1,0,2.0492999999999997,w,2016-02-21 20:30:00,1,0,0,3,0.7406249999999999
h,1.80948,1.80962,1.80948,1.80962,"{'att': 341, 'def': 29}","{'att': 308, 'def': 23}",7,6,2,2,1.3381,d,2016-02-28 18:30:00,0,1,0,1,-0.000140000000000029
a,1.8142,1.60086,1.05642,1.60086,"{'att': 291, 'def': 27}","{'att': 260, 'def': 23}",4,5,1,2,1.5257,l,2016-03-02 23:00:00,0,0,1,0,-0.54444
h,1.63701,1.46029,1.63701,0.702678,"{'att': 290, 'def': 18}","{'att': 235, 'def': 34}",1,7,3,3,1.4837,d,2016-03-05 18:30:00,0,1,0,1,0.934332
a,1.28135,1.35865,0.52357,1.35865,"{'att': 64, 'def': 18}","{'att': 264, 'def': 34}",3,0,2,2,1.2322,d,2016-03-12 18:30:00,0,1,0,1,-0.8350799999999999
h,1.01768,1.52542,1.01768,1.52542,"{'att': 633, 'def': 25}","{'att': 143, 'def': 13}",4,13,1,3,0.9164000000000001,l,2016-03-20 20:30:00,0,0,1,0,-0.5077400000000001
a,0.784999,3.6054,0.784999,3.6054,"{'att': 277, 'def': 28}","{'att': 243, 'def': 32}",5,11,2,4,0.1122,l,2016-04-02 17:30:00,0,0,1,0,-2.820401
a,0.923628,0.716015,0.923628,0.716015,"{'att': 208, 'def': 29}","{'att': 168, 'def': 26}",0,6,2,1,1.5623,w,2016-04-09 17:30:00,1,0,0,3,0.20761300000000005
h,1.28148,0.428691,1.28148,0.428691,"{'att': 202, 'def': 20}","{'att': 228, 'def': 21}",5,6,1,0,2.182,w,2016-04-16 17:30:00,1,0,0,3,0.852789
a,0.967552,1.38162,0.967552,1.38162,"{'att': 406, 'def': 31}","{'att': 160, 'def': 26}",0,7,2,0,1.0247,w,2016-04-23 17:30:00,1,0,0,3,-0.4140680000000001
h,0.88211,0.257362,0.88211,0.257362,"{'att': 184, 'def': 22}","{'att': 354, 'def': 18}",4,0,0,0,1.9167,d,2016-04-29 22:30:00,0,1,0,1,0.624748
a,0.557159,1.4111,0.557159,1.4111,"{'att': 365, 'def': 32}","{'att': 146, 'def': 24}",0,14,1,1,0.6435,d,2016-05-07 17:30:00,0,1,0,1,-0.8539410000000001
h,1.03269,2.0985,1.03269,2.0985,"{'att': 230, 'def': 34}","{'att': 265, 'def': 36}",2,6,1,3,0.5466,l,2016-05-14 17:30:00,0,0,1,0,-1.06581
