h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.42013,0.18521,2.42013,0.18521,"{'att': 321, 'def': 28}","{'att': 385, 'def': 19}",7,1,4,0,2.8414,w,2015-08-15 20:30:00,1,0,0,3,2.23492
a,3.63386,0.0514071,2.87608,0.0514071,"{'att': 122, 'def': 28}","{'att': 297, 'def': 32}",15,1,4,0,2.9779999999999998,w,2015-08-23 17:30:00,1,0,0,3,2.8246729
h,3.73248,0.633538,3.73248,0.633538,"{'att': 184, 'def': 34}","{'att': 307, 'def': 21}",10,1,3,1,2.9256,w,2015-08-30 17:30:00,1,0,0,3,3.0989419999999996
a,2.16909,0.582795,0.65354,0.582795,"{'att': 120, 'def': 20}","{'att': 323, 'def': 12}",18,1,4,2,2.6185000000000005,w,2015-09-12 17:30:00,1,0,0,3,0.07074500000000006
h,4.08165,0.927753,3.32388,0.927753,"{'att': 214, 'def': 37}","{'att': 309, 'def': 37}",14,5,3,0,2.8865,w,2015-09-20 19:30:00,1,0,0,3,2.396127
a,1.63998,1.18726,1.63998,1.18726,"{'att': 121, 'def': 25}","{'att': 420, 'def': 27}",11,4,1,1,1.7229999999999999,d,2015-09-23 22:00:00,0,1,0,1,0.45272
h,1.97055,0.508638,1.97055,0.508638,"{'att': 96, 'def': 26}","{'att': 368, 'def': 29}",17,1,2,2,2.5162,d,2015-09-27 19:30:00,0,1,0,1,1.4619119999999999
a,1.10489,3.72164,1.10489,2.96386,"{'att': 371, 'def': 28}","{'att': 264, 'def': 31}",3,11,1,5,0.1156,l,2015-10-04 19:30:00,0,0,1,0,-1.85897
a,3.64229,1.55155,2.86537,1.55155,"{'att': 307, 'def': 35}","{'att': 219, 'def': 41}",12,9,2,0,2.6053,w,2015-10-16 22:30:00,1,0,0,3,1.31382
h,4.21104,0.293643,4.21104,0.293643,"{'att': 218, 'def': 22}","{'att': 331, 'def': 30}",18,3,5,1,2.9914,w,2015-10-25 18:30:00,1,0,0,3,3.917397
a,3.35901,0.983033,3.35901,0.983033,"{'att': 149, 'def': 36}","{'att': 525, 'def': 25}",12,5,3,1,2.7806,w,2015-10-31 18:30:00,1,0,0,3,2.375977
h,2.14772,1.37138,2.14772,1.37138,"{'att': 259, 'def': 25}","{'att': 374, 'def': 22}",12,3,3,2,1.954,w,2015-11-08 18:30:00,1,0,0,3,0.77634
a,2.31377,1.47142,2.31377,0.713809,"{'att': 125, 'def': 28}","{'att': 379, 'def': 32}",10,2,1,3,1.9836,l,2015-11-20 23:45:00,0,0,1,0,1.599961
h,2.12434,0.700582,2.12434,0.700582,"{'att': 145, 'def': 23}","{'att': 481, 'def': 28}",6,5,4,1,2.3803,w,2015-11-29 18:30:00,1,0,0,3,1.423758
a,2.58853,1.78593,2.58853,1.02816,"{'att': 271, 'def': 25}","{'att': 211, 'def': 17}",5,5,2,1,2.0022,w,2015-12-05 21:30:00,1,0,0,3,1.56037
h,6.02931,0.133013,5.27153,0.133013,"{'att': 163, 'def': 21}","{'att': 328, 'def': 9}",22,0,4,1,3.0,w,2015-12-13 20:30:00,1,0,0,3,5.138517
a,0.750674,0.769926,0.750674,0.769926,"{'att': 122, 'def': 23}","{'att': 380, 'def': 25}",9,6,1,2,1.2801,l,2015-12-19 18:30:00,0,0,1,0,-0.019252000000000047
a,2.60367,0.969724,2.60367,0.969724,"{'att': 287, 'def': 35}","{'att': 260, 'def': 28}",13,9,3,1,2.4801,w,2016-01-23 21:30:00,1,0,0,3,1.6339460000000001
h,2.19495,0.145484,2.19495,0.145484,"{'att': 103, 'def': 30}","{'att': 292, 'def': 37}",5,1,2,0,2.8245,w,2016-01-30 18:30:00,1,0,0,3,2.049466
a,0.391491,0.881103,0.391491,0.881103,"{'att': 185, 'def': 34}","{'att': 400, 'def': 17}",7,3,0,0,0.8168,d,2016-02-06 18:30:00,0,1,0,1,-0.489612
h,1.23883,0.212153,1.23883,0.212153,"{'att': 184, 'def': 39}","{'att': 537, 'def': 9}",5,2,1,0,2.3404,w,2016-02-13 18:30:00,1,0,0,3,1.026677
a,1.25829,0.788355,1.25829,0.788355,"{'att': 209, 'def': 28}","{'att': 241, 'def': 39}",5,8,1,0,1.8058,w,2016-02-21 18:30:00,1,0,0,3,0.4699349999999999
h,2.47417,0.88117,2.47417,0.88117,"{'att': 139, 'def': 21}","{'att': 503, 'def': 22}",13,6,3,1,2.4421,w,2016-02-28 20:30:00,1,0,0,3,1.593
a,3.36158,0.422078,3.36158,0.422078,"{'att': 100, 'def': 26}","{'att': 385, 'def': 31}",13,4,2,0,2.9044,w,2016-03-02 23:00:00,1,0,0,3,2.939502
h,0.750153,1.15007,0.750153,1.15007,"{'att': 438, 'def': 17}","{'att': 242, 'def': 36}",6,4,0,0,1.0081,d,2016-03-05 21:30:00,0,1,0,1,-0.39991699999999997
h,3.95436,0.136645,3.95436,0.136645,"{'att': 215, 'def': 16}","{'att': 461, 'def': 30}",16,0,2,0,2.9783000000000004,w,2016-03-13 20:30:00,1,0,0,3,3.8177149999999997
a,1.52542,1.01768,1.52542,1.01768,"{'att': 143, 'def': 13}","{'att': 633, 'def': 25}",13,4,3,1,1.7735,w,2016-03-20 20:30:00,1,0,0,3,0.5077400000000001
h,2.84328,0.436067,2.84328,0.436067,"{'att': 155, 'def': 31}","{'att': 422, 'def': 20}",14,4,3,2,2.779,w,2016-04-02 20:30:00,1,0,0,3,2.407213
a,1.6976,1.23275,1.6976,0.474972,"{'att': 258, 'def': 23}","{'att': 188, 'def': 35}",9,6,2,2,1.7211,d,2016-04-10 17:30:00,0,1,0,1,1.222628
h,1.90773,0.617113,1.90773,0.617113,"{'att': 191, 'def': 25}","{'att': 392, 'def': 26}",11,2,3,0,2.4289,w,2016-04-17 17:30:00,1,0,0,3,1.290617
a,3.53521,0.479435,3.53521,0.479435,"{'att': 261, 'def': 22}","{'att': 367, 'def': 55}",14,3,3,0,2.9072000000000005,w,2016-04-23 17:30:00,1,0,0,3,3.055775
