h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.55238,0.573987,0.55238,0.573987,"{'att': 267, 'def': 25}","{'att': 110, 'def': 24}",4,11,1,0,1.2538,w,2017-08-19 14:30:00,1,0,0,3,-0.021607000000000043
a,1.64554,1.88741,1.64554,1.88741,"{'att': 322, 'def': 16}","{'att': 95, 'def': 11}",4,10,3,1,1.2,w,2017-08-25 19:30:00,1,0,0,3,-0.24187000000000003
h,1.17417,1.37657,1.17417,1.37657,"{'att': 279, 'def': 18}","{'att': 86, 'def': 23}",2,11,0,2,1.214,l,2017-09-08 19:30:00,0,0,1,0,-0.20240000000000014
a,0.453334,2.2982,0.453334,2.2982,"{'att': 279, 'def': 33}","{'att': 132, 'def': 23}",3,8,0,2,0.1503,l,2017-09-15 19:30:00,0,0,1,0,-1.8448660000000001
h,0.186271,3.18132,0.186271,3.18132,"{'att': 185, 'def': 31}","{'att': 166, 'def': 33}",4,10,0,3,0.0182,l,2017-09-20 19:30:00,0,0,1,0,-2.995049
a,0.443359,2.39337,0.443359,2.39337,"{'att': 186, 'def': 33}","{'att': 204, 'def': 34}",3,10,0,3,0.1855,l,2017-09-24 17:00:00,0,0,1,0,-1.950011
h,0.957096,0.426954,0.957096,0.426954,"{'att': 147, 'def': 21}","{'att': 194, 'def': 29}",5,4,0,0,1.8103,d,2017-09-30 17:30:00,0,1,0,1,0.5301419999999999
a,1.99466,1.24944,1.23689,1.24944,"{'att': 132, 'def': 29}","{'att': 203, 'def': 30}",3,6,2,3,1.9922,l,2017-10-14 14:30:00,0,0,1,0,-0.012550000000000061
h,0.162992,2.29592,0.162992,2.29592,"{'att': 351, 'def': 17}","{'att': 86, 'def': 21}",2,15,0,1,0.1163,l,2017-10-21 17:30:00,0,0,1,0,-2.132928
a,0.972895,0.827213,0.972895,0.827213,"{'att': 200, 'def': 26}","{'att': 184, 'def': 31}",6,4,1,2,1.4751,l,2017-10-28 14:30:00,0,0,1,0,0.14568199999999998
h,2.0244,1.21993,2.0244,0.462156,"{'att': 100, 'def': 22}","{'att': 339, 'def': 16}",12,1,3,1,1.9553,w,2017-11-04 14:30:00,1,0,0,3,1.562244
a,0.776725,2.0828,0.776725,1.32502,"{'att': 265, 'def': 42}","{'att': 273, 'def': 36}",5,4,0,2,0.4243,l,2017-11-19 14:30:00,0,0,1,0,-0.5482950000000001
h,1.8111,0.606966,1.8111,0.606966,"{'att': 248, 'def': 35}","{'att': 88, 'def': 26}",4,5,3,0,2.294,w,2017-11-26 14:30:00,1,0,0,3,1.2041339999999998
a,0.460208,0.981146,0.460208,0.981146,"{'att': 213, 'def': 36}","{'att': 147, 'def': 21}",4,8,0,0,0.851,d,2017-12-01 19:30:00,0,1,0,1,-0.5209379999999999
h,0.929827,0.0876003,0.929827,0.0876003,"{'att': 195, 'def': 29}","{'att': 251, 'def': 31}",9,1,0,0,2.2053,d,2017-12-09 14:30:00,0,1,0,1,0.8422267
