h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.782907,3.93387,0.782907,3.93387,"{'att': 410, 'def': 26}","{'att': 181, 'def': 22}",2,12,0,4,0.0764,l,2019-08-18 17:00:00,0,0,1,0,-3.150963
a,0.891198,1.37579,0.891198,1.37579,"{'att': 201, 'def': 29}","{'att': 165, 'def': 27}",2,3,1,1,0.909,d,2019-08-24 14:30:00,0,1,0,1,-0.484592
h,1.4209,1.60213,1.4209,1.60213,"{'att': 451, 'def': 19}","{'att': 107, 'def': 13}",2,12,3,1,1.1764000000000001,w,2019-08-31 17:30:00,1,0,0,3,-0.18123
h,1.98106,2.14722,1.22329,0.631742,"{'att': 228, 'def': 26}","{'att': 155, 'def': 17}",5,6,1,2,1.2346,l,2019-09-14 13:30:00,0,0,1,0,0.591548
a,0.125413,1.55742,0.125413,1.55742,"{'att': 563, 'def': 25}","{'att': 228, 'def': 24}",1,8,0,2,0.25939999999999996,l,2019-09-21 13:30:00,0,0,1,0,-1.432007
h,0.7564,2.31283,0.7564,2.31283,"{'att': 191, 'def': 14}","{'att': 237, 'def': 24}",4,2,1,2,0.3257,l,2019-09-27 18:30:00,0,0,1,0,-1.55643
a,0.511105,1.80334,0.511105,1.80334,"{'att': 215, 'def': 28}","{'att': 183, 'def': 20}",2,6,0,1,0.4405,l,2019-10-06 14:30:00,0,0,1,0,-1.2922349999999998
h,1.47678,0.565578,1.47678,0.565578,"{'att': 346, 'def': 29}","{'att': 190, 'def': 17}",8,6,2,0,2.1616,w,2019-10-19 14:30:00,1,0,0,3,0.911202
a,1.7324,2.88476,0.216846,2.88476,"{'att': 435, 'def': 28}","{'att': 195, 'def': 22}",0,15,1,2,0.6191,l,2019-10-26 14:30:00,0,0,1,0,-2.667914
h,1.31187,0.415645,0.554093,0.415645,"{'att': 221, 'def': 26}","{'att': 245, 'def': 9}",3,4,1,0,2.2744,w,2019-11-02 17:30:00,1,0,0,3,0.13844799999999996
a,1.5394,2.04684,1.5394,2.04684,"{'att': 262, 'def': 26}","{'att': 183, 'def': 29}",6,8,3,2,1.0050000000000001,w,2019-11-09 14:30:00,1,0,0,3,-0.5074399999999999
h,1.49758,0.95814,1.49758,0.95814,"{'att': 385, 'def': 25}","{'att': 163, 'def': 15}",4,7,2,0,1.8573,w,2019-11-23 14:30:00,1,0,0,3,0.5394399999999999
a,1.65551,1.27089,0.897809,1.27089,"{'att': 285, 'def': 23}","{'att': 223, 'def': 20}",1,9,1,2,1.6642000000000001,l,2019-11-29 19:30:00,0,0,1,0,-0.3730810000000001
h,1.7912,0.772348,1.7912,0.772348,"{'att': 168, 'def': 35}","{'att': 223, 'def': 30}",2,1,2,0,2.2051,w,2019-12-08 14:30:00,1,0,0,3,1.0188519999999999
a,1.79415,1.3758,1.79415,1.3758,"{'att': 261, 'def': 27}","{'att': 131, 'def': 28}",7,2,1,1,1.6577,d,2019-12-14 14:30:00,0,1,0,1,0.41835
h,1.53884,0.819222,1.53884,0.819222,"{'att': 197, 'def': 23}","{'att': 182, 'def': 13}",5,1,0,2,1.9353999999999998,l,2019-12-17 19:30:00,0,0,1,0,0.719618
a,1.9614,1.17089,1.9614,1.17089,"{'att': 222, 'def': 22}","{'att': 265, 'def': 16}",6,7,1,2,2.0159000000000002,l,2019-12-22 14:30:00,0,0,1,0,0.79051
a,1.02267,1.34573,1.02267,1.34573,"{'att': 359, 'def': 26}","{'att': 150, 'def': 17}",5,12,1,3,1.0971,l,2020-01-18 17:30:00,0,0,1,0,-0.3230600000000001
h,1.19907,2.47924,1.19907,2.47924,"{'att': 228, 'def': 22}","{'att': 171, 'def': 16}",3,3,2,0,0.506,w,2020-01-25 14:30:00,1,0,0,3,-1.2801699999999998
a,0.560146,3.29375,0.560146,2.53605,"{'att': 549, 'def': 28}","{'att': 234, 'def': 16}",0,7,0,5,0.0682,l,2020-02-01 14:30:00,0,0,1,0,-1.9759039999999999
a,2.25796,1.24914,2.25796,1.24914,"{'att': 458, 'def': 34}","{'att': 133, 'def': 18}",3,10,2,0,2.141,w,2020-02-08 14:30:00,1,0,0,3,1.0088200000000003
h,2.02125,1.55179,2.02125,1.55179,"{'att': 323, 'def': 40}","{'att': 131, 'def': 20}",5,7,2,3,1.7194,l,2020-02-15 14:30:00,0,0,1,0,0.4694600000000002
a,1.03525,2.42046,1.03525,2.42046,"{'att': 262, 'def': 22}","{'att': 112, 'def': 33}",5,9,2,1,0.42310000000000003,w,2020-02-24 19:30:00,1,0,0,3,-1.3852099999999998
h,1.04208,1.95508,1.04208,1.95508,"{'att': 285, 'def': 20}","{'att': 139, 'def': 25}",1,3,2,2,0.6626000000000001,d,2020-03-01 12:30:00,0,1,0,1,-0.913
a,0.805309,1.62613,0.805309,1.62613,"{'att': 216, 'def': 22}","{'att': 185, 'def': 16}",7,1,1,3,0.6263000000000001,l,2020-03-07 14:30:00,0,0,1,0,-0.820821
h,0.548769,1.39334,0.548769,0.635561,"{'att': 406, 'def': 20}","{'att': 138, 'def': 30}",4,10,0,2,0.5715,l,2020-05-17 16:00:00,0,0,1,0,-0.08679200000000009
